row_id,source_dataset,source_row_id,geometry_family,data_type,fluid,pressure_kPa,mass_flux_kg_m2s,quality,subcooling_K,subcooling_kJkg,diameter_mm,heated_length_mm,CHF_kW_m2,reference_id,author,source_citation,inlet_temperature_C,assumptions,D_e_mm,wallpower,wallmesh,chf_location,shape,continuous,coil_no,appendix,rho_l_over_rho_g,fin_shape,fin_array,fin_width_um,fin_height_um,fin_spacing_um,coverage,porosity,mbl_lateral_um,mbl_total_um,roughness_factor,surface_material,heater_width_mm,orientation,angle_deg,tsat_minus_tpool_K,surface_tension_N_m,rho_l_kg_m3,cp_l_J_kgK,kl_W_mK,mu_l_Pa_s,alpha_m2_s,ja,r_bubble_m
nrc_groeneveld_24579pt__0,nrc_groeneveld_24579pt,1,tube,raw_experimental,water,100.0,77.5,0.84,,317.0,4.0,396.0,442.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__1,nrc_groeneveld_24579pt,2,tube,raw_experimental,water,100.0,142.7,0.79,,317.0,4.0,396.0,757.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__2,nrc_groeneveld_24579pt,3,tube,raw_experimental,water,100.0,203.9,0.7,,317.0,4.0,396.0,978.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__3,nrc_groeneveld_24579pt,4,tube,raw_experimental,water,100.0,271.8,0.73,,317.0,4.0,396.0,1325.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__4,nrc_groeneveld_24579pt,5,tube,raw_experimental,water,100.0,421.3,0.62,,317.0,4.0,396.0,1798.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__5,nrc_groeneveld_24579pt,6,tube,raw_experimental,water,100.0,543.6,0.58,,317.0,4.0,396.0,2239.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__6,nrc_groeneveld_24579pt,7,tube,raw_experimental,water,100.0,679.5,0.55,,317.0,4.0,396.0,2712.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__7,nrc_groeneveld_24579pt,8,tube,raw_experimental,water,100.0,978.5,0.5,,317.0,4.0,396.0,3564.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__8,nrc_groeneveld_24579pt,9,tube,raw_experimental,water,100.0,1372.7,0.45,,317.0,4.0,396.0,4573.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__9,nrc_groeneveld_24579pt,10,tube,raw_experimental,water,100.0,1644.5,0.42,,317.0,4.0,396.0,5236.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__10,nrc_groeneveld_24579pt,11,tube,raw_experimental,water,100.0,77.5,0.88,,324.0,4.0,594.0,300.0,1,,,22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__11,nrc_groeneveld_24579pt,12,tube,raw_experimental,water,100.0,135.9,0.81,,324.0,4.0,594.0,505.0,1,,,22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__12,nrc_groeneveld_24579pt,13,tube,raw_experimental,water,100.0,203.9,0.75,,324.0,4.0,594.0,694.0,1,,,22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__13,nrc_groeneveld_24579pt,14,tube,raw_experimental,water,100.0,258.2,0.71,,331.0,4.0,594.0,852.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__14,nrc_groeneveld_24579pt,15,tube,raw_experimental,water,100.0,407.7,0.63,,331.0,4.0,594.0,1199.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__15,nrc_groeneveld_24579pt,16,tube,raw_experimental,water,100.0,543.6,0.6,,331.0,4.0,594.0,1514.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__16,nrc_groeneveld_24579pt,17,tube,raw_experimental,water,100.0,693.1,0.58,,331.0,4.0,594.0,1892.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__17,nrc_groeneveld_24579pt,18,tube,raw_experimental,water,100.0,992.1,0.56,,331.0,4.0,594.0,2618.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__18,nrc_groeneveld_24579pt,19,tube,raw_experimental,water,100.0,78.8,0.74,,331.0,4.0,792.0,196.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__19,nrc_groeneveld_24579pt,20,tube,raw_experimental,water,100.0,135.9,0.76,,331.0,4.0,792.0,347.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__20,nrc_groeneveld_24579pt,21,tube,raw_experimental,water,100.0,217.5,0.72,,331.0,4.0,792.0,536.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__21,nrc_groeneveld_24579pt,22,tube,raw_experimental,water,100.0,244.6,0.75,,331.0,4.0,792.0,631.0,1,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__22,nrc_groeneveld_24579pt,23,tube,raw_experimental,water,100.0,407.7,0.64,,329.0,4.0,792.0,915.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__23,nrc_groeneveld_24579pt,24,tube,raw_experimental,water,100.0,543.6,0.6,,329.0,4.0,792.0,1135.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__24,nrc_groeneveld_24579pt,25,tube,raw_experimental,water,100.0,706.7,0.58,,329.0,4.0,792.0,1451.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__25,nrc_groeneveld_24579pt,26,tube,raw_experimental,water,100.0,720.3,0.59,,324.0,4.0,792.0,1482.0,1,,,22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__26,nrc_groeneveld_24579pt,27,tube,raw_experimental,water,100.0,203.9,0.75,,324.0,4.0,792.0,505.0,1,,,22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__27,nrc_groeneveld_24579pt,28,tube,raw_experimental,water,100.0,78.8,0.95,,329.0,4.0,991.0,196.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__28,nrc_groeneveld_24579pt,29,tube,raw_experimental,water,100.0,135.9,0.89,,329.0,4.0,991.0,315.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__29,nrc_groeneveld_24579pt,30,tube,raw_experimental,water,100.0,203.9,0.8,,329.0,4.0,991.0,442.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__30,nrc_groeneveld_24579pt,31,tube,raw_experimental,water,100.0,271.8,0.81,,329.0,4.0,991.0,568.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__31,nrc_groeneveld_24579pt,32,tube,raw_experimental,water,100.0,421.3,0.72,,329.0,4.0,991.0,820.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
