study,CHF_kW_m2,Ra_um,CA_deg,material,geometry,fluid,P_kPa,orient_deg
He2022,567.3,5.11,65.71,Zircaloy 4,horizontal_tube,water,84.0,0.0
He2022,607.89,23.62,65.71,Zircaloy 4,horizontal_tube,water,84.0,0.0
He2022,419.32,3.76,63.87,Zirlo,horizontal_tube,water,84.0,0.0
He2022,549.48,,,Zirlo,horizontal_tube,water,84.0,0.0
He2022,417.41,4.15,57.11,Zr 705,horizontal_tube,water,84.0,0.0
He2022,521.41,,,Zr 705,horizontal_tube,water,84.0,0.0
He2022,648.25,2.12,66.53,FeCrAl-C26M,horizontal_tube,water,84.0,0.0
He2022,858.2,,,FeCrAl-C26M,horizontal_tube,water,84.0,0.0
He2022,420.55,4.86,74.86,FeCrAl-B126Y,horizontal_tube,water,84.0,0.0
He2022,499.21,,,FeCrAl-B126Y,horizontal_tube,water,84.0,0.0
He2022,380.96,6.84,81.84,FeCrAl-B136Y,horizontal_tube,water,84.0,0.0
He2022,549.5,,,FeCrAl-B136Y,horizontal_tube,water,84.0,0.0
He2022,748.52,25.21,54.12,Titanium-2,horizontal_tube,water,84.0,0.0
He2022,398.18,6.55,59.56,Titanium-9,horizontal_tube,water,84.0,0.0
He2022,611.71,,,Titanium-9,horizontal_tube,water,84.0,0.0
He2022,763.86,19.29,67.92,Inconel 400,horizontal_tube,water,84.0,0.0
He2022,645.24,19.29,67.92,Inconel 400,horizontal_tube,water,84.0,0.0
He2022,588.62,2.64,62.14,Inconel 625,horizontal_tube,water,84.0,0.0
He2022,646.04,1.55,65.54,Inconel 600,horizontal_tube,water,84.0,0.0
He2022,452.23,1.55,65.54,Inconel 600,horizontal_tube,water,84.0,0.0
He2022,419.32,1.55,65.54,Inconel 600,horizontal_tube,water,84.0,0.0
He2022,571.49,,,Inconel 600,horizontal_tube,water,84.0,0.0
He2022,564.96,4.77,70.77,SS 304,horizontal_tube,water,84.0,0.0
He2022,723.66,,,SS 304,horizontal_tube,water,84.0,0.0
He2022,441.38,4.77,70.77,SS 304,horizontal_tube,water,84.0,0.0
He2022,922.25,,,SS 304,horizontal_tube,water,84.0,0.0
He2022,559.27,4.77,70.77,SS 304,horizontal_tube,water,84.0,0.0
He2022,620.43,,,SS 304,horizontal_tube,water,84.0,0.0
He2022,525.82,4.77,70.77,SS 304,horizontal_tube,water,84.0,0.0
