P,G,X,CHF
100.0,0.0,-0.5,8111.0
100.0,0.0,-0.4,7252.0
100.0,0.0,-0.3,6302.0
100.0,0.0,-0.2,4802.0
100.0,0.0,-0.15,4086.0
100.0,0.0,-0.1,3057.0
100.0,0.0,-0.05,1990.0
100.0,0.0,0.0,1142.0
100.0,0.0,0.05,637.0
100.0,0.0,0.1,415.0
100.0,0.0,0.15,284.0
100.0,0.0,0.2,223.0
100.0,0.0,0.25,188.0
100.0,0.0,0.3,165.0
100.0,0.0,0.35,152.0
100.0,0.0,0.4,142.0
100.0,0.0,0.45,133.0
100.0,0.0,0.5,123.0
100.0,0.0,0.6,114.0
100.0,0.0,0.7,110.0
100.0,0.0,0.8,96.0
100.0,0.0,0.9,55.0
100.0,0.0,1.0,0.0
100.0,50.0,-0.5,8317.0
100.0,50.0,-0.4,7271.0
100.0,50.0,-0.3,6326.0
100.0,50.0,-0.2,5035.0
100.0,50.0,-0.15,4236.0
100.0,50.0,-0.1,3453.0
100.0,50.0,-0.05,2420.0
100.0,50.0,0.0,1570.0
100.0,50.0,0.05,1011.0
100.0,50.0,0.1,784.0
100.0,50.0,0.15,641.0
100.0,50.0,0.2,587.0
100.0,50.0,0.25,553.0
100.0,50.0,0.3,531.0
100.0,50.0,0.35,475.0
100.0,50.0,0.4,443.0
100.0,50.0,0.45,419.0
100.0,50.0,0.5,387.0
100.0,50.0,0.6,347.0
100.0,50.0,0.7,277.0
100.0,50.0,0.8,239.0
100.0,50.0,0.9,204.0
100.0,50.0,1.0,0.0
100.0,100.0,-0.5,8390.0
100.0,100.0,-0.4,7295.0
100.0,100.0,-0.3,6371.0
100.0,100.0,-0.2,5322.0
100.0,100.0,-0.15,4586.0
100.0,100.0,-0.1,3640.0
100.0,100.0,-0.05,2942.0
100.0,100.0,0.0,2103.0
100.0,100.0,0.05,1558.0
100.0,100.0,0.1,1275.0
100.0,100.0,0.15,1013.0
100.0,100.0,0.2,885.0
100.0,100.0,0.25,847.0
100.0,100.0,0.3,811.0
100.0,100.0,0.35,789.0
100.0,100.0,0.4,758.0
100.0,100.0,0.45,745.0
100.0,100.0,0.5,715.0
100.0,100.0,0.6,700.0
100.0,100.0,0.7,600.0
100.0,100.0,0.8,459.0
100.0,100.0,0.9,359.0
100.0,100.0,1.0,0.0
100.0,300.0,-0.5,10698.0
100.0,300.0,-0.4,9288.0
100.0,300.0,-0.3,7795.0
100.0,300.0,-0.2,6020.0
100.0,300.0,-0.15,5009.0
100.0,300.0,-0.1,3865.0
100.0,300.0,-0.05,3196.0
100.0,300.0,0.0,2479.0
100.0,300.0,0.05,1961.0
100.0,300.0,0.1,1707.0
100.0,300.0,0.15,1317.0
100.0,300.0,0.2,1177.0
100.0,300.0,0.25,1172.0
100.0,300.0,0.3,1159.0
100.0,300.0,0.35,1150.0
100.0,300.0,0.4,1100.0
100.0,300.0,0.45,1085.0
100.0,300.0,0.5,1041.0
100.0,300.0,0.6,1031.0
100.0,300.0,0.7,675.0
100.0,300.0,0.8,517.0
100.0,300.0,0.9,366.0
100.0,300.0,1.0,0.0
100.0,500.0,-0.5,12882.0
100.0,500.0,-0.4,10946.0
100.0,500.0,-0.3,9224.0
100.0,500.0,-0.2,6791.0
100.0,500.0,-0.15,5348.0
100.0,500.0,-0.1,3938.0
100.0,500.0,-0.05,3369.0
100.0,500.0,0.0,2685.0
100.0,500.0,0.05,2087.0
100.0,500.0,0.1,1808.0
100.0,500.0,0.15,1412.0
100.0,500.0,0.2,1347.0
100.0,500.0,0.25,1311.0
100.0,500.0,0.3,1303.0
100.0,500.0,0.35,1282.0
100.0,500.0,0.4,1260.0
100.0,500.0,0.45,1212.0
100.0,500.0,0.5,1193.0
100.0,500.0,0.6,1071.0
100.0,500.0,0.7,605.0
100.0,500.0,0.8,450.0
100.0,500.0,0.9,295.0
100.0,500.0,1.0,0.0
100.0,750.0,-0.5,16982.0
100.0,750.0,-0.4,14405.0
100.0,750.0,-0.3,11641.0
100.0,750.0,-0.2,7496.0
100.0,750.0,-0.15,5662.0
100.0,750.0,-0.1,4234.0
100.0,750.0,-0.05,3471.0
100.0,750.0,0.0,2780.0
100.0,750.0,0.05,2229.0
100.0,750.0,0.1,1970.0
100.0,750.0,0.15,1649.0
100.0,750.0,0.2,1606.0
100.0,750.0,0.25,1591.0
100.0,750.0,0.3,1563.0
100.0,750.0,0.35,1510.0
100.0,750.0,0.4,1495.0
100.0,750.0,0.45,1400.0
100.0,750.0,0.5,1280.0
100.0,750.0,0.6,595.0
100.0,750.0,0.7,415.0
100.0,750.0,0.8,243.0
100.0,750.0,0.9,206.0
100.0,750.0,1.0,0.0
100.0,1000.0,-0.5,19441.0
100.0,1000.0,-0.4,16278.0
100.0,1000.0,-0.3,13255.0
100.0,1000.0,-0.2,8232.0
100.0,1000.0,-0.15,5971.0
100.0,1000.0,-0.1,4495.0
100.0,1000.0,-0.05,3533.0
100.0,1000.0,0.0,3012.0
100.0,1000.0,0.05,2653.0
100.0,1000.0,0.1,2349.0
100.0,1000.0,0.15,2070.0
100.0,1000.0,0.2,2000.0
100.0,1000.0,0.25,1980.0
100.0,1000.0,0.3,1930.0
100.0,1000.0,0.35,1715.0
100.0,1000.0,0.4,1550.0
100.0,1000.0,0.45,1359.0
100.0,1000.0,0.5,1165.0
100.0,1000.0,0.6,503.0
100.0,1000.0,0.7,322.0
100.0,1000.0,0.8,172.0
100.0,1000.0,0.9,105.0
100.0,1000.0,1.0,0.0
100.0,1500.0,-0.5,22781.0
100.0,1500.0,-0.4,19225.0
100.0,1500.0,-0.3,15465.0
100.0,1500.0,-0.2,9100.0
100.0,1500.0,-0.15,6603.0
100.0,1500.0,-0.1,5358.0
100.0,1500.0,-0.05,3741.0
100.0,1500.0,0.0,3524.0
100.0,1500.0,0.05,3166.0
100.0,1500.0,0.1,2917.0
100.0,1500.0,0.15,2635.0
100.0,1500.0,0.2,2572.0
100.0,1500.0,0.25,2467.0
100.0,1500.0,0.3,2378.0
100.0,1500.0,0.35,1908.0
100.0,1500.0,0.4,1350.0
100.0,1500.0,0.45,1005.0
100.0,1500.0,0.5,815.0
100.0,1500.0,0.6,302.0
100.0,1500.0,0.7,210.0
100.0,1500.0,0.8,126.0
100.0,1500.0,0.9,51.0
100.0,1500.0,1.0,0.0
100.0,2000.0,-0.5,25268.0
100.0,2000.0,-0.4,21321.0
100.0,2000.0,-0.3,17143.0
100.0,2000.0,-0.2,9141.0
100.0,2000.0,-0.15,7059.0
100.0,2000.0,-0.1,6036.0
100.0,2000.0,-0.05,4074.0
100.0,2000.0,0.0,3855.0
100.0,2000.0,0.05,3556.0
100.0,2000.0,0.1,3402.0
100.0,2000.0,0.15,3167.0
100.0,2000.0,0.2,2986.0
100.0,2000.0,0.25,2720.0
100.0,2000.0,0.3,2549.0
100.0,2000.0,0.35,1696.0
100.0,2000.0,0.4,1105.0
100.0,2000.0,0.45,805.0
100.0,2000.0,0.5,595.0
100.0,2000.0,0.6,247.0
100.0,2000.0,0.7,105.0
100.0,2000.0,0.8,87.0
100.0,2000.0,0.9,39.0
100.0,2000.0,1.0,0.0
100.0,2500.0,-0.5,28026.0
100.0,2500.0,-0.4,23599.0
100.0,2500.0,-0.3,18346.0
100.0,2500.0,-0.2,9503.0
100.0,2500.0,-0.15,7506.0
100.0,2500.0,-0.1,6516.0
100.0,2500.0,-0.05,4502.0
100.0,2500.0,0.0,4047.0
100.0,2500.0,0.05,3852.0
100.0,2500.0,0.1,3599.0
100.0,2500.0,0.15,3228.0
100.0,2500.0,0.2,3019.0
100.0,2500.0,0.25,2676.0
100.0,2500.0,0.3,2458.0
100.0,2500.0,0.35,1148.0
100.0,2500.0,0.4,956.0
100.0,2500.0,0.45,708.0
100.0,2500.0,0.5,485.0
100.0,2500.0,0.6,290.0
100.0,2500.0,0.7,120.0
100.0,2500.0,0.8,46.0
100.0,2500.0,0.9,22.0
