P,G,X,CHF,grid_base_proxy,grid_base_final
100.0,0.0,-0.5,8111.0,8311.0,8311.0
100.0,0.0,-0.4,7252.0,7252.0,7252.0
100.0,0.0,-0.3,6302.0,6502.0,6502.0
100.0,0.0,-0.2,4802.0,4802.0,4802.0
100.0,0.0,-0.15,4086.0,4076.0,4076.0
100.0,0.0,-0.1,3057.0,2920.0,2920.0
100.0,0.0,-0.05,1990.0,2448.0,2448.0
100.0,0.0,0.0,1142.0,1141.0,1141.0
100.0,0.0,0.05,637.0,637.0,637.0
100.0,0.0,0.1,415.0,414.0,414.0
100.0,0.0,0.15,284.0,283.0,283.0
100.0,0.0,0.2,223.0,222.0,222.0
100.0,0.0,0.25,188.0,188.0,188.0
100.0,0.0,0.3,165.0,165.0,165.0
100.0,0.0,0.35,152.0,151.0,151.0
100.0,0.0,0.4,142.0,142.0,142.0
100.0,0.0,0.45,133.0,133.0,133.0
100.0,0.0,0.5,123.0,123.0,123.0
100.0,0.0,0.6,114.0,113.0,113.0
100.0,0.0,0.7,110.0,106.0,106.0
100.0,0.0,0.8,96.0,113.0,113.0
100.0,0.0,0.9,55.0,29.0,29.0
100.0,50.0,-0.5,8317.0,8323.0,8323.0
100.0,50.0,-0.4,7271.0,7112.0,7112.0
100.0,50.0,-0.3,6326.0,6300.0,6300.0
100.0,50.0,-0.2,5035.0,5253.0,5253.0
100.0,50.0,-0.15,4236.0,4417.0,4417.0
100.0,50.0,-0.1,3453.0,3605.0,3605.0
100.0,50.0,-0.05,2420.0,2705.0,2705.0
100.0,50.0,0.0,1570.0,1972.0,1972.0
100.0,50.0,0.05,1011.0,1443.0,1443.0
100.0,50.0,0.1,784.0,1286.0,1286.0
100.0,50.0,0.15,641.0,985.0,985.0
100.0,50.0,0.2,587.0,784.0,784.0
100.0,50.0,0.25,553.0,566.0,566.0
100.0,50.0,0.3,531.0,423.0,423.0
100.0,50.0,0.35,475.0,348.0,348.0
100.0,50.0,0.4,443.0,442.0,442.0
100.0,50.0,0.45,419.0,419.0,419.0
100.0,50.0,0.5,387.0,313.0,313.0
100.0,50.0,0.6,347.0,337.0,337.0
100.0,50.0,0.7,277.0,329.0,329.0
100.0,50.0,0.8,239.0,266.0,266.0
100.0,50.0,0.9,204.0,179.0,179.0
100.0,100.0,-0.5,8390.0,8358.0,8358.0
100.0,100.0,-0.4,7295.0,7209.0,7209.0
100.0,100.0,-0.3,6371.0,6366.0,6366.0
100.0,100.0,-0.2,5322.0,5391.0,5391.0
100.0,100.0,-0.15,4586.0,4686.0,4686.0
100.0,100.0,-0.1,3640.0,3969.0,3969.0
100.0,100.0,-0.05,2942.0,3159.0,3159.0
100.0,100.0,0.0,2103.0,2522.0,2522.0
100.0,100.0,0.05,1558.0,2030.0,2030.0
100.0,100.0,0.1,1275.0,1750.0,1750.0
100.0,100.0,0.15,1013.0,1352.0,1352.0
100.0,100.0,0.2,885.0,1347.0,1347.0
100.0,100.0,0.25,847.0,1208.0,1208.0
100.0,100.0,0.3,811.0,1137.0,1137.0
100.0,100.0,0.35,789.0,1066.0,1066.0
100.0,100.0,0.4,758.0,1008.0,1008.0
100.0,100.0,0.45,745.0,998.0,998.0
100.0,100.0,0.5,715.0,957.0,957.0
100.0,100.0,0.6,700.0,864.0,864.0
100.0,100.0,0.7,600.0,671.0,671.0
100.0,100.0,0.8,459.0,481.0,481.0
100.0,100.0,0.9,359.0,371.0,371.0
