dataset,study,boiling_mode,fluid,D_m,L_m,P_kPa,G_kg_m2s,X,dHin_kJkg,Ra_um,CA_deg,orient_deg,CHF_kW_m2
Zhao2020,Inasaka,flow,water,0.003,0.1,390.0,5600,-0.1041,,,,,11300.0
Zhao2020,Inasaka,flow,water,0.003,0.1,310.0,6700,-0.0596,,,,,10600.0
Zhao2020,Inasaka,flow,water,0.003,0.1,330.0,4300,-0.0395,,,,,7300.0
Zhao2020,Inasaka,flow,water,0.003,0.1,620.0,6400,-0.146,,,,,12800.0
Zhao2020,Inasaka,flow,water,0.003,0.1,640.0,4700,-0.0849,,,,,11000.0
Zhao2020,Inasaka,flow,water,0.003,0.1,640.0,6200,-0.1221,,,,,8200.0
Zhao2020,Inasaka,flow,water,0.003,0.1,910.0,5500,-0.1224,,,,,15600.0
Zhao2020,Peskov,flow,water,0.01,0.4,10000.0,1944,-0.0465,,,,,4200.0
Zhao2020,Peskov,flow,water,0.01,0.66,10000.0,4750,-0.0297,,,,,4000.0
Zhao2020,Peskov,flow,water,0.01,0.565,10000.0,1000,0.0103,,,,,4300.0
Zhao2020,Peskov,flow,water,0.01,1.0,12000.0,4986,-0.0629,,,,,4000.0
Zhao2020,Peskov,flow,water,0.01,0.565,12000.0,1000,-0.0868,,,,,3500.0
Zhao2020,Peskov,flow,water,0.01,1.65,12000.0,4028,0.0311,,,,,2000.0
Zhao2020,Peskov,flow,water,0.01,1.65,12000.0,2439,0.1103,,,,,1400.0
Zhao2020,Peskov,flow,water,0.01,0.52,14000.0,2217,-0.0472,,,,,2900.0
Zhao2020,Peskov,flow,water,0.01,0.89,14000.0,3056,0.0323,,,,,2000.0
Zhao2020,Peskov,flow,water,0.01,0.893,14000.0,2200,0.1344,,,,,1100.0
Zhao2020,Peskov,flow,water,0.01,0.66,16000.0,3861,-0.0514,,,,,3100.0
Zhao2020,Peskov,flow,water,0.01,0.89,16000.0,1617,-0.03,,,,,1700.0
Zhao2020,Peskov,flow,water,0.01,0.565,16000.0,1000,0.1228,,,,,1100.0
Zhao2020,Peskov,flow,water,0.01,1.3,18000.0,5361,-0.068,,,,,2800.0
Zhao2020,Peskov,flow,water,0.01,1.65,18000.0,2875,-0.1184,,,,,2100.0
Zhao2020,Peskov,flow,water,0.01,1.65,18000.0,750,-0.1488,,,,,900.0
Zhao2020,Peskov,flow,water,0.01,1.65,20000.0,1842,-0.2306,,,,,1300.0
Zhao2020,Thompson,flow,water,0.001,0.025,100.0,707,0.166,,,,,4900.0
Zhao2020,Thompson,flow,water,0.001,0.025,100.0,932,0.1109,,,,,5300.0
Zhao2020,Thompson,flow,water,0.001,0.025,100.0,1352,0.0523,,,,,5900.0
Zhao2020,Thompson,flow,water,0.001,0.025,100.0,1885,0.0258,,,,,7100.0
Zhao2020,Thompson,flow,water,0.001,0.025,100.0,2794,0.0128,,,,,9700.0
Zhao2020,Thompson,flow,water,0.001,0.025,100.0,3730,0.0086,,,,,12600.0
Zhao2020,Thompson,flow,water,0.001,0.025,100.0,5750,0.0077,,,,,19300.0
Zhao2020,Thompson,flow,water,0.001,0.038,100.0,1370,0.1293,,,,,5500.0
Zhao2020,Thompson,flow,water,0.001,0.038,100.0,1777,0.0825,,,,,5900.0
Zhao2020,Thompson,flow,water,0.001,0.038,100.0,2780,0.0406,,,,,7500.0
Zhao2020,Thompson,flow,water,0.001,0.038,100.0,3757,0.0328,,,,,9700.0
Zhao2020,Thompson,flow,water,0.001,0.038,100.0,5642,0.0344,,,,,14700.0
Zhao2020,Thompson,flow,water,0.001,0.051,100.0,1336,0.1904,,,,,4900.0
Zhao2020,Thompson,flow,water,0.001,0.051,100.0,1790,0.1417,,,,,5600.0
Zhao2020,Thompson,flow,water,0.001,0.051,100.0,2821,0.0864,,,,,7100.0
Zhao2020,Thompson,flow,water,0.001,0.051,100.0,3716,0.0633,,,,,8400.0
Zhao2020,Thompson,flow,water,0.001,0.051,100.0,5588,0.0547,,,,,12100.0
Zhao2020,Thompson,flow,water,0.0017,0.043,100.0,1301,0.0967,,,,,6900.0
Zhao2020,Thompson,flow,water,0.0017,0.043,100.0,2007,0.0644,,,,,9200.0
Zhao2020,Thompson,flow,water,0.0017,0.064,100.0,1967,0.1405,,,,,8300.0
Zhao2020,Thompson,flow,water,0.0011,0.114,2140.0,5384,0.1854,,,,,4900.0
Zhao2020,Thompson,flow,water,0.0011,0.114,2140.0,6510,-0.0185,,,,,7300.0
Zhao2020,Thompson,flow,water,0.0011,0.114,2140.0,6781,-0.0134,,,,,5800.0
Zhao2020,Thompson,flow,water,0.0036,0.076,3450.0,1316,-0.0592,,,,,9000.0
Zhao2020,Thompson,flow,water,0.0036,0.076,3450.0,1492,0.0049,,,,,8400.0
Zhao2020,Thompson,flow,water,0.0046,0.229,3960.0,2618,0.1937,,,,,6700.0
Zhao2020,Thompson,flow,water,0.0046,0.229,4030.0000000000005,2631,0.1312,,,,,6500.0
Zhao2020,Thompson,flow,water,0.0046,0.229,3560.0,2672,0.1554,,,,,7000.0
Zhao2020,Thompson,flow,water,0.0046,0.229,3830.0,2712,0.1609,,,,,6700.0
Zhao2020,Thompson,flow,water,0.0046,0.229,3900.0,2726,0.1682,,,,,6800.0
Zhao2020,Thompson,flow,water,0.0046,0.229,3760.0,2767,0.0892,,,,,8000.0
Zhao2020,Thompson,flow,water,0.0046,0.229,3720.0,2848,0.0611,,,,,9000.0
Zhao2020,Thompson,flow,water,0.0046,0.229,3760.0,2875,0.0281,,,,,8800.0
Zhao2020,Thompson,flow,water,0.0046,0.229,3830.0,2889,0.0666,,,,,8200.0
Zhao2020,Thompson,flow,water,0.0056,0.216,3930.0,3865,0.1332,,,,,7200.0
Zhao2020,Thompson,flow,water,0.0056,0.216,3960.0,3865,0.137,,,,,7300.0
Zhao2020,Thompson,flow,water,0.0056,0.216,3830.0,4136,0.0449,,,,,7300.0
Zhao2020,Thompson,flow,water,0.0056,0.216,3860.0,4136,0.0436,,,,,7300.0
Zhao2020,Thompson,flow,water,0.0056,0.432,3860.0,4069,0.0902,,,,,6700.0
Zhao2020,Thompson,flow,water,0.0056,0.432,3860.0,4069,0.0858,,,,,6600.0
Zhao2020,Thompson,flow,water,0.0056,0.432,3860.0,4136,0.1294,,,,,5500.0
Zhao2020,Thompson,flow,water,0.0056,0.432,3900.0,4136,0.1282,,,,,5500.0
Zhao2020,Thompson,flow,water,0.0057,0.625,3450.0,5249,-0.048,,,,,8600.0
Zhao2020,Thompson,flow,water,0.0057,0.625,3450.0,5249,-0.0739,,,,,8500.0
Zhao2020,Thompson,flow,water,0.0057,0.625,3450.0,5249,-0.0497,,,,,7900.0
Zhao2020,Thompson,flow,water,0.0057,0.625,3450.0,5249,-0.0429,,,,,7400.0
Zhao2020,Thompson,flow,water,0.0057,0.625,3450.0,5249,-0.0589,,,,,7900.0
Zhao2020,Thompson,flow,water,0.0057,0.625,3450.0,5249,-0.0195,,,,,7200.0
Zhao2020,Thompson,flow,water,0.0057,0.625,3450.0,5249,-0.0254,,,,,7100.0
Zhao2020,Thompson,flow,water,0.0057,0.625,3450.0,5262,0.0287,,,,,6000.0
Zhao2020,Thompson,flow,water,0.0103,0.762,3450.0,3743,0.1487,,,,,4300.0
Zhao2020,Thompson,flow,water,0.0103,0.762,3450.0,3743,0.153,,,,,4400.0
Zhao2020,Thompson,flow,water,0.0103,0.762,3450.0,3757,0.1522,,,,,4400.0
Zhao2020,Thompson,flow,water,0.0103,0.762,3450.0,3784,0.1466,,,,,4300.0
Zhao2020,Thompson,flow,water,0.0103,0.762,3450.0,3784,0.1508,,,,,4400.0
Zhao2020,Thompson,flow,water,0.0103,0.762,3450.0,3784,0.1508,,,,,4400.0
Zhao2020,Thompson,flow,water,0.0103,0.762,3450.0,3797,0.1457,,,,,4300.0
Zhao2020,Thompson,flow,water,0.0103,0.762,3450.0,3811,0.1494,,,,,4400.0
