dataset,study,boiling_mode,fluid,D_m,L_m,P_kPa,G_kg_m2s,X,dHin_kJkg,Ra_um,CA_deg,orient_deg,CHF_kW_m2,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity
PinFin,Chu et al. 2012,pool,Water,,,101.325,,,,1.0,,0.0,778.2,0,0.0,0.0,0.0,0.0,0.0
PinFin,Chu et al. 2012,pool,Water,,,101.325,,,,1.503,,0.0,1646.1,0,10.0,10.0,15.0,1.0,0.874
PinFin,Chu et al. 2012,pool,Water,,,101.325,,,,2.005,,0.0,1678.5,0,10.0,20.0,15.0,1.0,0.874
PinFin,Chu et al. 2012,pool,Water,,,101.325,,,,2.396,,0.0,1764.8,0,5.0,20.0,10.0,1.0,0.913
PinFin,Chu et al. 2012,pool,Water,,,101.325,,,,2.571,,0.0,1888.9,0,10.0,20.0,10.0,1.0,0.804
PinFin,Chu et al. 2012,pool,Water,,,101.325,,,,3.793,,0.0,2018.3,0,10.0,20.0,5.0,1.0,0.651
PinFin,Chu et al. 2012,pool,Water,,,101.325,,,,4.142,,0.0,2077.6,0,5.0,20.0,5.0,1.0,0.804
PinFin,Chu et al. 2011,pool,Water,,,101.325,,,,1.0,,0.0,747.4,0,0.0,0.0,0.0,0.0,0.0
PinFin,Chu et al. 2011,pool,Water,,,101.325,,,,1.585,,0.0,1687.3,0,11.2,10.4,13.8,1.0,0.842
PinFin,Chu et al. 2011,pool,Water,,,101.325,,,,1.94,,0.0,1956.2,0,11.0,17.0,14.0,1.0,0.848
PinFin,Chu et al. 2011,pool,Water,,,101.325,,,,1.885,,0.0,1657.2,0,10.8,16.3,14.2,1.0,0.853
PinFin,Chu et al. 2011,pool,Water,,,101.325,,,,2.367,,0.0,1464.8,0,16.0,17.0,9.0,1.0,0.678
PinFin,Kim et al. 2016,pool,Water,,,101.325,,,,1.0,,0.0,714.0,0,0.0,0.0,0.0,1.0,0.0
PinFin,Kim et al. 2016,pool,Water,,,101.325,,,,3.011,,0.0,1070.0,0,20.0,20.0,5.0,1.0,0.497
PinFin,Kim et al. 2016,pool,Water,,,101.325,,,,1.785,,0.0,1518.2,0,20.0,20.0,20.0,1.0,0.804
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,1.0,,0.0,803.7,0,0.0,0.0,0.0,0.0,0.0
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,1.0,,0.0,782.8,0,0.0,0.0,0.0,0.0,0.0
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,1.021,,0.0,1420.0,0,4.0,8.0,66.0,1.0,0.997
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,1.093,,0.0,1480.0,0,15.0,16.0,75.0,1.0,0.978
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,1.144,,0.0,1560.0,0,120.0,16.0,85.0,1.0,0.731
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,1.186,,0.0,1600.0,0,15.0,32.0,75.0,1.0,0.978
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,1.287,,0.0,1590.0,0,120.0,32.0,85.0,1.0,0.731
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,1.952,,0.0,1610.0,0,40.0,32.0,25.0,1.0,0.703
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,2.71,,0.0,1780.0,0,15.0,16.0,6.0,1.0,0.599
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,4.419,,0.0,2170.0,0,15.0,32.0,6.0,1.0,0.599
PinFin,Rahman et al. 2014,pool,Water,,,101.325,,,,5.103,,0.0,2190.0,0,4.0,16.0,3.0,1.0,0.744
PinFin,Nguyen et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,158.4,0,0.0,0.0,0.0,0.0,0.0
PinFin,Nguyen et al. 2018,pool,FC-72,,,101.325,,,,1.57,,0.0,176.5,0,0.44,0.264,0.36,1.0,0.762
PinFin,Nguyen et al. 2018,pool,FC-72,,,101.325,,,,1.855,,0.0,194.9,0,0.44,0.396,0.36,1.0,0.762
PinFin,Nguyen et al. 2018,pool,FC-72,,,101.325,,,,2.521,,0.0,222.1,0,0.44,0.704,0.36,1.0,0.762
PinFin,Nguyen et al. 2018,pool,FC-72,,,101.325,,,,4.041,,0.0,236.4,0,0.44,1.408,0.36,1.0,0.762
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,1.0,,0.0,182.5,15,0.0,0.0,0.0,0.0,0.0
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,1.0,,0.0,262.2,25,0.0,0.0,0.0,0.0,0.0
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,1.0,,0.0,288.0,35,0.0,0.0,0.0,0.0,0.0
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,3.297,,0.0,407.0,15,38.0,60.0,22.0,1.0,0.636
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,3.297,,0.0,508.0,25,38.0,60.0,22.0,1.0,0.636
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,3.297,,0.0,593.3,35,38.0,60.0,22.0,1.0,0.636
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,3.309,,0.0,360.5,15,30.0,60.0,30.0,1.0,0.711
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,3.309,,0.0,474.4,25,30.0,60.0,30.0,1.0,0.711
PinFin,Zhang et al. 2019,pool,FC-72,,,101.325,,,,3.309,,0.0,546.8,35,30.0,60.0,30.0,1.0,0.711
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,1.0,,0.0,160.7,0,0.0,0.0,0.0,0.0,0.0
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,1.0,,0.0,222.3,25,0.0,0.0,0.0,0.0,0.0
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,1.0,,0.0,310.3,45,0.0,0.0,0.0,0.0,0.0
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,3.0,,0.0,263.5,0,30.0,60.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,3.0,,0.0,483.0,25,30.0,60.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,3.0,,0.0,674.9,45,30.0,60.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,276.9,0,30.0,120.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,520.2,25,30.0,120.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,719.3,45,30.0,120.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,7.667,,0.0,290.7,0,30.0,200.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,7.667,,0.0,555.2,25,30.0,200.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,7.667,,0.0,808.2,45,30.0,200.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,2.2,,0.0,287.7,0,50.0,60.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,2.2,,0.0,451.0,25,50.0,60.0,50.0,1.0,0.75
