study,CHF_kW_m2,Ra_um,CA_deg,material,geometry,fluid,P_kPa,orient_deg,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)"
Chu et al. 2012,778.2,1.0,,SiO2,pin_fin,Water,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chu et al. 2012,1646.1,1.503,,SiO2,pin_fin,Water,101.325,0.0,0,10.0,10.0,15.0,1.0,0.874,69.577,23.274
Chu et al. 2012,1678.5,2.005,,SiO2,pin_fin,Water,101.325,0.0,0,10.0,20.0,15.0,1.0,0.874,69.577,34.881
Chu et al. 2012,1764.8,2.396,,SiO2,pin_fin,Water,101.325,0.0,0,5.0,20.0,10.0,1.0,0.913,52.296,30.472
Chu et al. 2012,1888.9,2.571,,SiO2,pin_fin,Water,101.325,0.0,0,10.0,20.0,10.0,1.0,0.804,40.93,25.009
Chu et al. 2012,2018.3,3.793,,SiO2,pin_fin,Water,101.325,0.0,0,10.0,20.0,5.0,1.0,0.651,18.648,13.731
Chu et al. 2012,2077.6,4.142,,SiO2,pin_fin,Water,101.325,0.0,0,5.0,20.0,5.0,1.0,0.804,20.465,15.524
Chu et al. 2011,747.4,1.0,,SiO2,pin_fin,Water,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chu et al. 2011,1687.3,1.585,,SiO2,pin_fin,Water,101.325,0.0,0,11.2,10.4,13.8,1.0,0.842,59.851,22.102
Chu et al. 2011,1956.2,1.94,,SiO2,pin_fin,Water,101.325,0.0,0,11.0,17.0,14.0,1.0,0.848,61.343,29.722
Chu et al. 2011,1657.2,1.885,,SiO2,pin_fin,Water,101.325,0.0,0,10.8,16.3,14.2,1.0,0.853,62.883,29.521
Chu et al. 2011,1464.8,2.367,,SiO2,pin_fin,Water,101.325,0.0,0,16.0,17.0,9.0,1.0,0.678,33.736,19.485
Kim et al. 2016,714.0,1.0,,Silicon,pin_fin,Water,101.325,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kim et al. 2016,1070.0,3.011,,Silicon,pin_fin,Water,101.325,0.0,0,20.0,20.0,5.0,1.0,0.497,19.789,13.216
Kim et al. 2016,1518.2,1.785,,Silicon,pin_fin,Water,101.325,0.0,0,20.0,20.0,20.0,1.0,0.804,81.859,36.01
Rahman et al. 2014,803.7,1.0,,Silicon,pin_fin,Water,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rahman et al. 2014,782.8,1.0,,Nickel,pin_fin,Water,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rahman et al. 2014,1420.0,1.021,,Nickel,pin_fin,Water,101.325,0.0,0,4.0,8.0,66.0,1.0,0.997,1555.718,31.276
Rahman et al. 2014,1480.0,1.093,,Nickel,pin_fin,Water,101.325,0.0,0,15.0,16.0,75.0,1.0,0.978,672.549,57.273
Rahman et al. 2014,1560.0,1.144,,Nickel,pin_fin,Water,101.325,0.0,0,120.0,16.0,85.0,1.0,0.731,325.899,40.905
Rahman et al. 2014,1600.0,1.186,,Nickel,pin_fin,Water,101.325,0.0,0,15.0,32.0,75.0,1.0,0.978,672.549,105.556
Rahman et al. 2014,1590.0,1.287,,Nickel,pin_fin,Water,101.325,0.0,0,120.0,32.0,85.0,1.0,0.731,325.899,72.687
Rahman et al. 2014,1610.0,1.952,,Nickel,pin_fin,Water,101.325,0.0,0,40.0,32.0,25.0,1.0,0.703,94.486,46.076
Rahman et al. 2014,1780.0,2.71,,Nickel,pin_fin,Water,101.325,0.0,0,15.0,16.0,6.0,1.0,0.599,22.433,14.154
Rahman et al. 2014,2170.0,4.419,,Nickel,pin_fin,Water,101.325,0.0,0,15.0,32.0,6.0,1.0,0.599,22.433,17.357
Rahman et al. 2014,2190.0,5.103,,Nickel,pin_fin,Water,101.325,0.0,0,4.0,16.0,3.0,1.0,0.744,11.597,9.325
Nguyen et al. 2018,158.4,1.0,,Silicon (P-type),pin_fin,FC-72,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyen et al. 2018,176.5,1.57,,Silicon (P-type),pin_fin,FC-72,101.325,0.0,0,0.44,0.264,0.36,1.0,0.762,1.412,0.513
Nguyen et al. 2018,194.9,1.855,,Silicon (P-type),pin_fin,FC-72,101.325,0.0,0,0.44,0.396,0.36,1.0,0.762,1.412,0.651
Nguyen et al. 2018,222.1,2.521,,Silicon (P-type),pin_fin,FC-72,101.325,0.0,0,0.44,0.704,0.36,1.0,0.762,1.412,0.852
Nguyen et al. 2018,236.4,4.041,,Silicon (P-type),pin_fin,FC-72,101.325,0.0,0,0.44,1.408,0.36,1.0,0.762,1.412,1.063
Zhang et al. 2019,182.5,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhang et al. 2019,262.2,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhang et al. 2019,288.0,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhang et al. 2019,407.0,3.297,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,38.0,60.0,22.0,1.0,0.636,66.462,46.307
Zhang et al. 2019,508.0,3.297,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,38.0,60.0,22.0,1.0,0.636,66.462,46.307
Zhang et al. 2019,593.3,3.297,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,38.0,60.0,22.0,1.0,0.636,66.462,46.307
