arch,technique,test_set,n,R2,rRMSE,MAPE_%,within_10pct_%,RMSE_kW_m2,trainable_param_pct,avg_pool_gate_on_pool_rows,avg_flow_gate_on_flow_rows
mlp,from_scratch,pool_only,11,0.012247145175933838,0.6624481678009033,54.986595153808594,9.090909090909092,1081.257080078125,,,
mlp,full_finetune,pool_only,11,0.6959465742111206,0.34512054920196533,27.139190673828125,27.27272727272727,599.9012451171875,,,
mlp,lora,pool_only,11,0.6851058602333069,0.2866208851337433,24.05917739868164,18.181818181818183,610.5020141601562,8.8,,
mlp,moe,pool_only,11,0.47447818517684937,0.555467963218689,43.415653228759766,0.0,788.6788330078125,,,
mlp,moe,mixed_pool_flow,22,0.6376349329948425,0.47947216033935547,38.45820617675781,0.0,650.7791748046875,,,
mlp,moe_gate_check,mixed_pool_flow,22,,,,,,,0.108,0.6087
transformer,from_scratch,pool_only,11,0.7742767333984375,0.2420818954706192,21.137603759765625,27.27272727272727,516.8838500976562,,,
transformer,full_finetune,pool_only,11,0.7748718857765198,0.23799626529216766,20.404146194458008,27.27272727272727,516.2019653320312,,,
transformer,lora,pool_only,11,0.7343673706054688,0.18838156759738922,16.933216094970703,18.181818181818183,560.7192993164062,1.65,,
transformer,moe,pool_only,11,0.7551966309547424,0.2577667236328125,21.823444366455078,27.27272727272727,538.2864990234375,,,
transformer,moe,mixed_pool_flow,22,-0.07295119762420654,0.5746911764144897,49.02191925048828,13.636363636363635,1119.8258056640625,,,
transformer,moe_gate_check,mixed_pool_flow,22,,,,,,,0.0734,0.6653
