P_kPa,G_kg_m2s,X,D_mm,CHF_kW_m2,P_reduced,rho_l_kg_m3,rho_g_kg_m3,density_ratio
6893.0,4122.2,0.12,10.200000000000001,2498.4,0.31240935460481783,741.6384729913322,35.90199515381477,20.657305250416684
12750.0,4000.0,0.229,8.0,1029.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
6860.0,2025.0,0.0,10.77,4520.0,0.310913705583788,742.2306911325637,35.71045357605859,20.784689546205552
12750.0,2676.0,0.246,8.0,719.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
5001.0,2220.0,0.243,15.100000000000001,2301.0,0.22665881073243785,777.348880270373,25.35655721713028,30.65672021693918
4021.0,664.0,0.8,9.979999999999999,985.0,0.182242567077611,797.9049163148262,20.198546483965618,39.50308587542345
687.0,200.0,0.472,12.3,860.3,0.031136693255985764,903.312744240607,3.601539382968379,250.81295751265645
10000.0,1350.0,0.131,10.0,3630.0,0.4532269760696618,688.423692322029,55.46308524399162,12.412286285437153
12750.0,2709.0,0.224,8.0,838.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
11760.0,3777.0,0.092,7.7,1930.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
3442.0,645.0,0.863,7.760000000000001,828.0,0.1560007251631776,811.1022080489148,17.23122016450906,47.07166412507063
3432.0,293.0,0.804,13.100000000000001,1487.0,0.15554749818710792,811.3388653785272,17.180438356991644,47.22457300097641
6920.0,134.0,0.95,15.0,142.0,0.31363306744020597,741.1545551486983,36.05893022159587,20.55398068090265
9800.0,1584.0,0.345,8.0,1641.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
126.0,119.3,0.994,9.299999999999999,269.0,0.005710659898477738,953.8150244466983,0.732792307172552,1301.6171364120253
4021.0,1337.0,0.467,10.0,2865.0,0.182242567077611,797.9049163148262,20.198546483965618,39.50308587542345
3040.0,628.0,0.711,7.85,2552.0,0.13778100072517718,820.892597360422,15.201270459897534,54.00157832373409
7010.0,1002.3,0.657,8.11,2119.0,0.3177121102248329,739.5454757392854,36.58348187962185,20.21528399545904
2422.0,642.0,0.624,13.100000000000001,2012.0,0.10977157360407208,837.2994555076425,12.121682106388283,69.07452679907972
7000.0,4935.0,0.244,10.01,2010.0,0.3172588832487632,739.723964125216,36.52508882685207,20.25248912143356
6960.0,1990.0,0.533,7.779999999999999,570.0,0.3154459753444846,740.4386593359685,36.29179095123169,20.402373096741293
6860.0,1001.0,0.64,10.8,1161.0,0.310913705583788,742.2306911325637,35.71045357605859,20.784689546205552
9800.0,1005.0,0.17,8.0,3303.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
13824.0,2040.8,0.07,11.299999999999999,1747.6,0.6265409717187004,624.2702298978862,85.46012760747337,7.3048127515701795
6826.0,4230.7,0.053,9.530000000000001,3254.3,0.30937273386515113,742.8417438070505,35.51341466914885,20.917215388256388
11760.0,2783.0,0.243,10.75,823.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
6963.0,235.0,0.924,9.979999999999999,1280.0,0.3155819434373055,740.3850157810876,36.30927309876569,20.39107237886997
6870.0,2000.0,0.354,9.51,2200.0,0.31136693255985765,742.0511418862062,35.768465423735464,20.745959690901117
7019.0,2206.8,0.669,5.98,359.3,0.3181200145032956,739.3848991201661,36.636059145715166,20.18188954710873
6860.0,2005.0,0.2,8.0,3060.0,0.310913705583788,742.2306911325637,35.71045357605859,20.784689546205552
7840.0,1499.0,0.665,5.8500000000000005,453.0,0.35532994923861483,724.9617817794069,41.52966689381496,17.456479572374704
9810.0,499.0,0.702,8.0,1590.0,0.4446156635243382,691.5892934498335,54.16750050295774,12.767605797355744
