P_kPa,G_kg_m2s,X,D_mm,CHF_kW_m2,P_reduced,rho_l_kg_m3,rho_g_kg_m3,density_ratio
19610.0,2804.0,0.199,10.75,1121.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
6895.0,1912.0,0.211,12.8,2533.0,0.3125000000000318,741.6026080444277,35.91361319646985,20.64962397371156
9810.0,502.0,0.703,8.01,980.0,0.4446156635243382,691.5892934498335,54.16750050295774,12.767605797355744
17650.0,500.0,0.272,8.0,1070.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
3040.0,655.0,0.823,6.01,2185.0,0.13778100072517718,820.892597360422,15.201270459897534,54.00157832373409
2305.0,225.0,0.737,9.99,2009.0,0.10446881798405704,840.6402950211534,11.543413072037712,72.82424095673106
13720.0,5050.0,0.343,5.78,1175.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
6860.0,1499.0,0.431,5.8100000000000005,3066.0,0.310913705583788,742.2306911325637,35.71045357605859,20.784689546205552
13720.0,2008.0,0.329,8.030000000000001,324.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
14710.0,2336.0,0.259,8.200000000000001,731.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
7840.0,2804.0,0.285,7.95,1907.0,0.35532994923861483,724.9617817794069,41.52966689381496,17.456479572374704
5100.0,950.0,0.735,2.4,2530.0,0.2311457577955275,775.3693967302559,25.888108446602327,29.950793752643555
17650.0,1499.0,0.209,5.8500000000000005,842.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
7840.0,3308.0,0.33,5.8500000000000005,1649.0,0.35532994923861483,724.9617817794069,41.52966689381496,17.456479572374704
15690.0,627.0,0.667,10.0,245.0,0.7111131254532993,590.8425584907716,103.98166883966594,5.68217999464712
14700.0,2687.0,0.264,8.0,823.0,0.6662436548224028,608.9003957823116,93.73123539933255,6.496237814301203
14000.0,2561.0,-0.095,10.0,3801.0,0.6345177664975264,621.2182739433729,87.06886131799513,7.13479267489836
14710.0,999.0,0.41,8.0,642.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
6880.0,271.0,0.99,15.0,308.0,0.3118201595359273,741.8716703379556,35.82650425949304,20.707341831749602
3001.0,2986.0,0.181,8.0,4108.0,0.1360134155185055,821.8751452821588,15.005534836844625,54.771466276838375
14710.0,3308.0,0.211,5.8500000000000005,1158.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
2864.0,255.0,0.859,13.100000000000001,1006.0,0.12980420594635114,825.3779086675319,14.3195276927872,57.64002321691642
9800.0,2014.0,0.344,10.75,890.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
16020.0,1514.3,0.384,8.11,369.0,0.7260696156635982,584.6060953230874,107.65108501024167,5.430563893224758
13730.0,1000.0,0.426,8.01,645.0,0.6222806381436456,625.8937996738728,84.61112878050665,7.397298779662078
10343.0,2820.0,0.005,12.8,3129.0,0.46877266134885115,682.7198725537742,57.8404031508629,11.803511652106957
17700.0,1601.0,0.078,8.0,1194.0,0.8022117476433014,550.2885374620565,128.92206334959903,4.268381401636697
10446.0,7011.0,0.005,11.2,4385.0,0.4734408992023687,681.0090565031933,58.56426151096839,11.628406795083523
110.0,61.0,0.759,8.0,246.0,0.00498549673676628,956.6921661689762,0.6453853629695819,1482.358015941038
11760.0,5984.0,0.216,7.7,1500.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
12750.0,1590.0,0.273,8.0,806.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
17650.0,1499.0,0.364,5.8500000000000005,466.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
9800.0,2668.0,0.044,8.0,3322.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
13720.0,1487.0,0.386,8.030000000000001,522.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
471.0,167.0,0.967,9.93,286.0,0.02134699057288107,917.3870105758025,2.5220460971555565,363.7471224695142
7850.0,4979.0,0.161,8.0,2023.0,0.35578317621468447,724.7885535948081,41.59050611541581,17.426778880340677
13730.0,973.0,0.38,8.0,1120.0,0.6222806381436456,625.8937996738728,84.61112878050665,7.397298779662078
6963.0,481.0,0.692,9.979999999999999,1554.0,0.3155819434373055,740.3850157810876,36.30927309876569,20.39107237886997
11760.0,2721.0,0.179,7.7,1116.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
9800.0,4957.0,0.018,8.0,3800.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
7058.0,6314.0,0.067,8.0,2996.0,0.3198875997099673,738.6897508305314,36.864152111374274,20.038159255604086
5270.0,2617.0,0.172,12.8,2997.0,0.23885061638871175,772.0050929417149,26.805677080420548,28.800059428664994
902.0,160.0,0.969,9.93,282.0,0.04088107324148349,891.8173162590547,4.663453281394972,191.23539198237378
14010.0,749.8,0.605,8.11,270.0,0.6349709934735961,621.0443750270431,87.1610292844573,7.125252881080751
