domain,fluid,model,n,R2,rRMSE,MAPE_%,within_10pct_%,RMSE_kW_m2
hardik2016_coils_r123,r123,pretrained_finetuned,31,0.5616070032119751,0.7563192844390869,33.488731384277344,29.03225806451613,440.87237548828125
hardik2016_coils_r123,r123,from_scratch,31,0.6327294111251831,0.7628541588783264,30.292945861816406,51.61290322580645,403.5284118652344
hardik2017_straight_tubes_r123,r123,pretrained_finetuned,11,0.4812007546424866,0.16721667349338531,14.445053100585938,27.27272727272727,38.390037536621094
hardik2017_straight_tubes_r123,r123,from_scratch,11,-0.17114627361297607,0.21966587007045746,16.677227020263672,45.45454545454545,57.679893493652344
kaeri_uniform_water,water,pretrained_finetuned,130,0.908040463924408,0.13661469519138336,7.734403610229492,76.15384615384615,298.2196960449219
kaeri_uniform_water,water,from_scratch,130,0.9144085645675659,0.12704157829284668,8.020685195922852,75.38461538461539,287.7087707519531
kaeri_nonuniform_water,water,pretrained_finetuned,177,0.8670886158943176,0.23675203323364258,16.77155113220215,50.847457627118644,774.73876953125
kaeri_nonuniform_water,water,from_scratch,177,0.7700580358505249,0.16471223533153534,11.4683198928833,63.2768361581921,1019.0214233398438
zhao2020_tubes_water,water,pretrained_finetuned,287,0.891076385974884,0.16123488545417786,10.45182991027832,64.11149825783971,603.4493408203125
zhao2020_tubes_water,water,from_scratch,287,0.8728587031364441,0.1685054451227188,11.492189407348633,59.23344947735192,651.9632568359375
