domain,fluid,model,n,R2,rRMSE,MAPE_%,within_10pct_%,RMSE_kW_m2
hardik2016_coils_r123,r123,pretrained_finetuned,31,0.747773289680481,0.5855501890182495,25.42572021484375,61.29032258064516,334.4079895019531
hardik2016_coils_r123,r123,from_scratch,31,0.6713098287582397,0.7267068028450012,30.729747772216797,48.38709677419355,381.7459411621094
hardik2017_straight_tubes_r123,r123,pretrained_finetuned,11,-0.05311572551727295,0.2127581238746643,16.90550422668457,27.27272727272727,54.696170806884766
hardik2017_straight_tubes_r123,r123,from_scratch,11,-1.1427514553070068,0.3118298351764679,26.55183982849121,27.27272727272727,78.01979064941406
kaeri_uniform_water,water,pretrained_finetuned,130,0.9046870470046997,0.1416732370853424,8.095632553100586,74.61538461538461,303.60845947265625
kaeri_uniform_water,water,from_scratch,130,0.8690230846405029,0.14191433787345886,10.134740829467773,63.84615384615384,355.90594482421875
kaeri_nonuniform_water,water,pretrained_finetuned,177,0.8369796276092529,0.19968222081661224,14.340780258178711,48.0225988700565,858.0155639648438
kaeri_nonuniform_water,water,from_scratch,177,0.9388625621795654,0.19085612893104553,13.367265701293945,51.41242937853108,525.4457397460938
zhao2020_tubes_water,water,pretrained_finetuned,287,0.8919594287872314,0.1426762193441391,9.85268783569336,66.2020905923345,600.9983520507812
zhao2020_tubes_water,water,from_scratch,287,0.8729074001312256,0.18207527697086334,12.402691841125488,57.14285714285714,651.8384399414062
