arch,domain,n,R2,rRMSE,MAPE_%,within_10pct_%,RMSE_kW_m2
mlp,ALL_POOLED,636,0.7974885702133179,0.45157670974731445,26.644214630126953,36.63522012578616,910.9056396484375
mlp,hardik2016_coils_r123,31,0.14286565780639648,0.5829150080680847,42.66734313964844,9.67741935483871,616.4608154296875
mlp,hardik2017_straight_tubes_r123,11,-27.896757125854492,1.581764578819275,140.14389038085938,0.0,286.5124206542969
mlp,kaeri_uniform_water,130,0.7355368137359619,0.19149018824100494,14.306241035461426,48.46153846153846,505.73199462890625
mlp,kaeri_nonuniform_water,177,0.7617268562316895,0.6292756795883179,40.81519317626953,26.55367231638418,1037.317626953125
mlp,zhao2020_tubes_water,287,0.6963702440261841,0.2418142408132553,17.41236686706543,41.81184668989547,1007.5159301757812
transformer,ALL_POOLED,636,0.8747768402099609,0.33643972873687744,17.51595687866211,52.358490566037744,716.2932739257812
transformer,hardik2016_coils_r123,31,0.6468727588653564,0.6037180423736572,31.578027725219727,29.03225806451613,395.68231201171875
transformer,hardik2017_straight_tubes_r123,11,-0.23819375038146973,0.27981775999069214,22.793643951416016,18.181818181818183,59.307987213134766
transformer,kaeri_uniform_water,130,0.8568271398544312,0.14830702543258667,10.680327415466309,60.76923076923077,372.1072998046875
transformer,kaeri_nonuniform_water,177,0.8613619804382324,0.49908503890037537,25.693214416503906,46.89265536723164,791.2529907226562
transformer,zhao2020_tubes_water,287,0.7992609739303589,0.21186375617980957,13.847939491271973,55.749128919860624,819.2108154296875
