TestID,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,EquilibriumQuality,InletTemperature,InletEnthalpy,HeatFlux,Fluid,Source,WallPower,WallMesh
1,0.01044,0.0328,8.5603e-05,1.83,1.379e+07,35220.18,678.1,0.058,0.511,328.438,1510619.23,586800,water,Swenson,1,0.915
2,0.01044,0.0328,8.5603e-05,1.83,1.379e+07,40333.95,949.4,0.0813,0.401,327.027,1501019.23,672000,water,Swenson,1,0.915
3,0.01044,0.0328,8.5603e-05,1.83,1.379e+07,45639.78,1356.3,0.1161,0.32,329.236,1516119.23,760400,water,Swenson,1,0.915
4,0.01044,0.0328,8.5603e-05,1.83,1.379e+07,49427.09,1763.2,0.1509,0.261,329.538,1518219.23,823500,water,Swenson,1,0.915
5,0.01044,0.0328,8.5603e-05,1.83,1.379e+07,55861.32,1763.2,0.1509,0.234,318.598,1446619.23,930700,water,Swenson,1,0.915
6,0.01044,0.0328,8.5603e-05,1.83,1.379e+07,59270.5,1763.2,0.1509,0.205,309.456,1391819.23,987500,water,Swenson,1,0.915
7,0.01044,0.0328,8.5603e-05,1.83,1.379e+07,63814.07,1763.2,0.1509,0.189,301.153,1344719.23,1063200,water,Swenson,1,0.915
8,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,53316.35,1763.2,0.1515,0.213,317.887,1442219.23,886600,water,Swenson,1,0.915
9,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,56918.48,1356.3,0.1165,0.251,301.441,1346319.23,946500,water,Swenson,1,0.915
10,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,53123.91,1356.3,0.1165,0.258,308.663,1387219.23,883400,water,Swenson,1,0.915
11,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,49708.2,1356.3,0.1165,0.26,313.969,1418419.23,826600,water,Swenson,1,0.915
12,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,56918.48,949.4,0.0816,0.311,274.123,1202719.23,946500,water,Swenson,1,0.915
13,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,53123.91,949.4,0.0816,0.338,288.927,1278719.23,883400,water,Swenson,1,0.915
14,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,49329.35,949.4,0.0816,0.355,300.847,1343019.23,820300,water,Swenson,1,0.915
15,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,45727.22,949.4,0.0816,0.365,310.674,1398919.23,760400,water,Swenson,1,0.915
16,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,37945.65,678.1,0.0583,0.512,321.809,1466819.23,631000,water,Swenson,1,0.915
17,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,41740.22,678.1,0.0583,0.474,303.945,1360319.23,694100,water,Swenson,1,0.915
18,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,56918.48,678.1,0.0583,0.38,231.402,998419.23,946500,water,Swenson,1,0.915
19,0.01046,0.0329,8.5932e-05,1.83,1.379e+07,53123.91,678.1,0.0583,0.385,246.721,1069719.23,883400,water,Swenson,1,0.915
20,0.01054,0.0331,8.7251e-05,1.83,1.379e+07,49512.72,1763.2,0.1538,0.214,322.714,1472619.23,817100,water,Swenson,1,0.915
21,0.01054,0.0331,8.7251e-05,1.83,1.379e+07,49130.97,1763.2,0.1538,0.224,324.819,1486319.23,810800,water,Swenson,1,0.915
22,0.01054,0.0331,8.7251e-05,1.83,1.379e+07,58499.06,1763.2,0.1538,0.181,307.256,1379119.23,965400,water,Swenson,1,0.915
