name,N_points,D_mm_min,D_mm_max,L_m_min,L_m_max,P_kPa_min,P_kPa_max,G_kg_m2s_min,G_kg_m2s_max,Xchf_min,Xchf_max,DHin_kJkg_min,DHin_kJkg_max,q_kWm2_min,q_kWm2_max,Tin_C_min,Tin_C_max,_source_pdf_page
Alekseev (1964) data from Kirillov (1992),70,10.00,10.01,1.000,4.966,"9,800","19,610",216,"7,566",-0.866,0.944,57,"1,398",134,"4,949",139.77,357.93,25
Alessandrini et (1963),753,15.2,24.9,0.80,2.46,"4,795","5,148","1,080","4,140",-0.04,0.75,"-1,110",365,206,"3,689",185,265,25
Babarin et al. (1969),163,12.0,12.0,0.96,1.80,284,310,50,500,0.466,1.091,37.6,495,190,"2,300",15,124,25
Babcock and Hood (1962),39,8.00,22.5,0.61,0.61,413,"6,890","2,946","11,452",-0.187,-0.05,202,639,"4,876","10,546",19,177,25
Baek (2001),56,6.00,10.0,0.18,0.40,101,"3,618",497,"2,032",-0.091,0.099,254,935,"2,041","7,413",5.9,40.2,25
Bailey (1977),110,15.0,15.0,3.77,5.37,"1,350","7,080",49,"1,383",0.45,0.99,-178,473,84,"1,134",93,286,25
Bailey and Lee (1969) Becker et al. (1963) AE-114,158,9.30,20.10,3.05,3.750,"6,895","8,973",958,"3,183",0.069,1.054,54,"1,640",344,"7,477",199,25.42,25
Becker (1965) AE-RTL-778 Becker (1970) TPM-RL-1260 Becker et al.,116,3.93,36.03,0.216,1.880,"1,128","7,100",159.5,"2,725",-0.005,0.903,-16,"1,065",503,"5,130",63.32,113.22,25
(1965) AERE-R 5055,201,12.62,12.62,5.563,5.563,"7,481","7,481","5,844.4","5,844.4",0.948,0.948,691,691,"3,299.7","3,299.7",279.45,279.45,26
Bergelson (1980) data from Kirillov (1992),328,8.00,8.00,0.241,0.400,170,"3,080","1,927","7,078",-0.295,0.090,96,853,"3,511","14,571",28.94,169.20,26
Bergles (1963) ASME 63-WA- 182,117,0.62,6.21,0.011,0.155,140,586,"1,518.7","24,272.4",-0.137,0.111,25,534,"4,957.1","44,713",3.10,116.55,26
Bertoletti et al. (1964),386,4.90,15.20,0.050,2.675,"4,881","9,876","1,051","3,948.8",-0.083,0.774,-28,769,198.7,"7,502.8",112.97,302.14,26
Biancone et al. (1965) Borodin and Macdonald (1983),245,10.2,distribution,0.78,1.32,"7,914","14,396",465,"3,167",-0.25,0.662,45,"1,355",742,"6,649",48,326,26
CRNL-2538 Burck and Hufschmidt (1965),143,10.0,10.0,0.35,0.35,"1,100","3,090",917,"3,756",-0.246,0.087,532,939,"4,500","12,200",16.7,60.8,26
Campolunghi (1973),218,12.0,12.0,15.6,20.5,254,"9,660","1,111","2,545",0.296,0.772,19.6,740,155,479,205,260,26
Celata et al. (1992a) set 1,60,6.00,8.00,0.10,0.15,398,"5,120","2,019","10,046",-0.517,-0.106,350,"1,018","7,428","29,514",29,81,26
Celata et al. (1992b) set 2,78,2.50,5.00,0.20,0.40,107,"2,181","2,166","32,637",-0.091,0.287,345,790,"5,347","42,777",19,55,26
Celata and Mariani (1993),88,0.10,22.50,0.002,0.610,90,"6,890",917,"90,000",0.007,0.923,88,"1,023","4,000","228,000",3.44,245.78,26
Celata et al. (1993),78,2.50,2.50,0.10,0.10,"2,714","2,714","40,000","40,000",-0.104,-0.104,844,844,"60,579","60,579",70.5,70.5,27
Cheng et al. (1983a),150,12.60,12.60,0.370,0.740,101,687,50,400,0.187,1.227,42,210,331.2,"2,115",70.00,154.61,27
Cheng et al. (1983b),132,4.80,4.80,0.19,0.38,100,700,300,750,0.082,0.765,42,214,889,"2,131",49.6,145,27
Dell et al. (1969) AERE-M 2216 Doerffer (1999),82,6.17,data,0.914,5.512,"6,895","6,895","14,328.9","4,135.8",0.144,0.779,79,365,492.7,"3,340.4",217.13,270.09,27
Doerffer et al. (1997) Era et al. (1966),163,data,5.98,1.602,4.800,"6,777","7,049","1,105","3,014.9",0.374,0.952,"-1,211",565,109.2,"1,960.9",181.13,509.30,27
Griffel (1965) NYO-187-7 Groeneveld,397,6.22,data,0.610,1.972,"3,448","10,343",637.3,"18,577.2",-0.209,0.592,45,"1,209","1,400.6","8,107.3",87.68,287.07,27
(1985) Hassid et al. (1967) CISE-R-236,191,24.90,25.10,1.590,2.391,"2,942","6,090",369.3,"3,857.5",-0.035,0.838,"1,427","3,433","1,430.9","3,444.1",153.89,267.66,27
Hewitt et al. (1965) AERE-R 4864.,442,9.30,9.30,0.229,3.048,101,208,90.9,301,0.160,1.083,-41,383,144,"4,013",13.71,119.39,27
Hood (1962),61,6.30,25.4,0.61,0.61,414,"8,412","2,156","11,390",-0.25,-0.05,204,"1,113","5,741","11,830",-20,243,27
Hood and Isakoff (1962),24,22.2,22.2,1.10,1.10,,,"2,726","2,726",0.484,0.484,"1,224","1,224","4,637","4,637",272,272,28
Inasaka et al. (1991),8,6.00,6.00,0.10,0.10,104,114,"6,520","11,364",-0.09,-0.07,250,266,"7,280","11,200",39,41,28
Inasaka and Nariai (1989),29,3.00,3.00,0.10,0.10,290,"1,050","4,300","29,900",-0.188,-0.051,266,626,"7,300","44,500",25,78,28
Jafri (1993),49,15.8,15.8,2.44,2.44,317,"1,060","1,439","8,102",-0.021,0.28,223,667,"1,795","5,691",19,129,28
Jens and Lottes (1951) Subcooling CHF data,48,5.74,5.74,0.625,0.625,"3,448","13,790","1,301.8","10,603.9",-0.464,-0.015,279,"1,310","2,965.3","11,924.4",70.52,285.05,28
Judd and Wilson (1966) BAW-3238-9,49,11.30,11.30,1.829,1.829,"6,861","13,859",673.9,"3,428",0.016,0.776,33,730,593.1,"2,668.8",207.11,323.84,28
Kim et al. (2000) Kirillov et al.,502,6.00,7.71,0.30,0.990,104,"6,370",21,494,0.397,-0.494,0.8,7,130,110,20,79.41,28
(1984) Kureta (1997),913,8.09,6.00,6.000,0.68,"18,040",101.3,"4,154","19,130",0.981,1.664,"1,537",391,"7,700","158,100",350.90,100,28
Ladislau (1978) (see Kirillov database (1992)),136,4.00,4.00,0.200,0.200,420,"1,000",884,"5,504",-0.051,-0.009,104,638,"1,860","4,631",28.04,149.56,28
Lee (1965),38,9.50,9.50,1.73,3.05,"6,828","7,024","2,020","5,720",0.002,0.433,75.5,577,"1,307","3,873",161,271,28
AEEW-R479,435,44.70,44.70,1.524,1.524,"12,579","12,579","3,410.3","3,410.3",0.780,0.780,451,451,"3,738.2","3,738.2",318.09,318.09,29
Leung et al. (1989) Leung et al.,66,5.45,5.45,2.511,2.511,"5,030","9,710","1,167.6","9,938.3",0.210,0.578,6,316,656.2,"3,058.3",227.85,305.33,29
(1990) Lowdermilk et al. (1958),470,distribution,4.80,0.119,0.991,100,100,27.2,"4,865.5",0.030,1.236,317,331,167,"9,525",20.91,24.24,29
Matzner et al. (1965),99,10.20,10.20,2.438,4.877,"6,893","6,893","1,193.3","9,559.8",0.008,0.693,48,"1,183",643.5,"4,041",65.61,275.82,29
Mayinger et al. (1966),128,7.00,7.00,0.560,0.980,"1,925","10,244","2,233","3,734",0.098,0.405,-239,314,924,"5,618",233.28,310.09,29
