sample_id,structure_group,Ra_um,rn_nanoscale_area_ratio,apparent_contact_angle_deg,dry_area_expansion_rate_mm2_ms,calculated_dry_area_mm2
B-G800,microstructure,0.111,1.0,63,0.944,5.00
B-G600,microstructure,0.146,1.0,65,0.574,3.04
B-G400,microstructure,0.242,1.0,70,0.537,2.85
B-G320,microstructure,0.272,1.0,67,0.543,2.88
Cr-M-T25,nanostructure,0.038,1.40,0,0.855,4.53
Cr-M-T150,nanostructure,0.038,1.24,0,0.944,5.27
Cr-M-T300,nanostructure,0.038,1.16,0,0.653,3.46
Cr-M-T600,nanostructure,0.038,1.24,0,0.796,4.22
Cr-G800-T25,nano_microstructure,0.123,1.40,0,0.457,2.42
Cr-G800-T150,nano_microstructure,0.090,1.24,0,0.519,2.76
Cr-G800-T300,nano_microstructure,0.116,1.16,0,0.522,2.77
Cr-G800-T600,nano_microstructure,0.115,1.24,0,0.517,2.74
Cr-G600-T150,nano_microstructure,0.183,1.24,0,0.437,2.32
Cr-G400-T150,nano_microstructure,0.213,1.24,0,0.393,2.08
Cr-G320-T150,nano_microstructure,0.258,1.24,0,0.423,2.24
CrAl-G800-T250,nano_microstructure,0.539,1.17,0,0.208,1.11
