anodization_time_s,static_contact_angle_deg,roughness_Ra_um,liquid_spreading,ONB_temp_C,CHF_kW_m2,material,surface_treatment,pressure,surface_orientation_deg,fluid
600,0,0.32,Large,121,1924,Zircaloy-4,anodized_nanotube,atmospheric,0,water
600,0,0.31,Large,123,1770,Zircaloy-4,anodized_nanotube,atmospheric,0,water
300,2.1,0.07,Small,134,1406,Zircaloy-4,anodized_nanotube,atmospheric,0,water
180,3.2,0.05,Small,130,1669,Zircaloy-4,anodized_nanotube,atmospheric,0,water
60,9.1,0.15,Small,132,1352,Zircaloy-4,anodized_nanotube,atmospheric,0,water
45,14.6,0.11,None,121,1167,Zircaloy-4,anodized_nanotube,atmospheric,0,water
30,15.6,0.13,None,121,1148,Zircaloy-4,anodized_nanotube,atmospheric,0,water
15,25.7,0.16,None,123,1240,Zircaloy-4,anodized_nanotube,atmospheric,0,water
15,29.4,0.15,None,122,1272,Zircaloy-4,anodized_nanotube,atmospheric,0,water
,49.3,0.15,None,121,1004,Zircaloy-4,bare_polished_1200grit,atmospheric,0,water
