Fin Shape,Fin Array,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)",Roughness Factor,Surface Material,Fluid,CHF(kW/m2),Source
N/A,N/A,0,0,0,0,0,0.000,0.000,0.000,1.000,SiO2,Water,778.2,"Chu et al. 2012
https://doi.org/10.1063/1.4724190"
Circle,Square,0,10,10,15,1,0.874,69.577,23.274,1.503,SiO2,Water,1646.1,
Circle,Square,0,10,20,15,1,0.874,69.577,34.881,2.005,SiO2,Water,1678.5,
Circle,Square,0,5,20,10,1,0.913,52.296,30.472,2.396,SiO2,Water,1764.8,
Circle,Square,0,10,20,10,1,0.804,40.930,25.009,2.571,SiO2,Water,1888.9,
Circle,Square,0,10,20,5,1,0.651,18.648,13.731,3.793,SiO2,Water,2018.3,
Circle,Square,0,5,20,5,1,0.804,20.465,15.524,4.142,SiO2,Water,2077.6,
N/A,N/A,0,0,0,0,0,0.000,0.000,0.000,1.000,SiO2,Water,747.4,"Chu et al. 2011
https://doi.org/10.1115/IMECE2011-65169"
Circle,Square,0,11.2,10.4,13.8,1,0.842,59.851,22.102,1.585,SiO2,Water,1687.3,
Circle,Square,0,11,17,14,1,0.848,61.343,29.722,1.940,SiO2,Water,1956.2,
Circle,Square,0,10.8,16.3,14.2,1,0.853,62.883,29.521,1.885,SiO2,Water,1657.2,
Circle,Square,0,16,17,9,1,0.678,33.736,19.485,2.367,SiO2,Water,1464.8,
N/A,N/A,0,0,0,0,1,0.000,0.000,0.000,1.000,Silicon,Water,714,"Kim et al. 2016
https://doi.org/10.1016/j.ijheatmasstransfer.2016.06.040"
Circle,Square,0,20,20,5,1,0.497,19.789,13.216,3.011,Silicon,Water,1070,
Circle,Square,0,20,20,20,1,0.804,81.859,36.010,1.785,Silicon,Water,1518.2,
N/A,N/A,0,0,0,0,0,0.000,0.000,0.000,1.000,Silicon,Water,803.7,"Rahman et al. 2014
https://doi.org/10.1021/la5030923"
N/A,N/A,0,0,0,0,0,0.000,0.000,0.000,1.000,Nickel,Water,782.8,
Octagon,Square,0,4,8,66,1,0.997,1555.718,31.276,1.021,Nickel,Water,1420,
