hydraulic_diameter_mm,ageing_state,mass_flux_kg_m2s,CHF_kW_m2,fluid,geometry,inlet_temp_C,source_note
0.952,aged,400,2403,water,rectangular_microchannel,92,"aged channel, mass-flux sweep"
0.952,aged,300,2117,water,rectangular_microchannel,92,"aged channel, mass-flux sweep"
0.952,aged,500,3429,water,rectangular_microchannel,92,"average of ageing runs 13-15 (fully aged, at the ageing mass flux)"
1.19,aged,400,3018,water,rectangular_microchannel,92,"aged channel, mass-flux sweep"
1.19,aged,200,1807,water,rectangular_microchannel,92,"aged channel, mass-flux sweep"
1.19,aged,300,2328,water,rectangular_microchannel,92,"average of ageing runs 3-5 (fully aged, at the ageing mass flux)"
0.641,aged,700,1570,water,rectangular_microchannel,92,"from cited prior study Ramakrishnan et al. (ref 24), not measured in this paper"
0.641,aged,900,1926,water,rectangular_microchannel,92,"from cited prior study Ramakrishnan et al. (ref 24), not measured in this paper"
0.641,aged,1100,2214,water,rectangular_microchannel,92,"from cited prior study Ramakrishnan et al. (ref 24), not measured in this paper"
0.641,aged,500,1570,water,rectangular_microchannel,92,"from cited prior study Ramakrishnan et al. (ref 24): mean of all ageing runs at this mass flux, std dev 175 kW/m2"
