split,model,target,r2_mean,r2_std,mape_mean,mape_std
A,ExtraTrees,log,0.9991782407691476,6.886833546445033e-05,3.3150795289539943,0.12592814790061593
A,ExtraTrees,raw,0.9991905522345949,7.523165646340836e-05,3.6917516770683028,0.14126435418314964
A,GPR_Matern52,log,0.9915593777017332,0.0020318990657200555,5.569376769607322,0.10397085345383604
A,GPR_Matern52,raw,0.9969039893581183,0.00016853669540859863,8.577664941181762,1.4343708554587977
A,KNN_k3,log,0.9930890054713091,0.0005907487027724047,9.414086715074603,0.5362266627167691
A,KNN_k3,raw,0.9933292446388041,0.0006055435431282566,9.949078524507204,0.6415719853227495
A,LightGBM,log,0.9989196418275658,0.0001442545899814581,3.582321432289313,0.12048717967036938
A,LightGBM,raw,0.9990424500711651,6.893005191038364e-05,7.440346400468009,0.6328521364194697
A,Linear,log,0.834291250972775,0.013813902429200706,52.61641374612996,1.7174800161114505
A,Linear,raw,0.57812289100606,0.004725209145768587,467.76838602936107,53.11104003866801
A,MLP,log,0.9906359124013708,0.0011958005163949792,7.425928485906144,0.6367670766017529
A,MLP,raw,0.982536872718137,0.005073079084739712,50.8685839069114,10.479556724322928
A,Poly2_Ridge,log,0.8466971702717885,0.007212968964070365,38.31119599192675,1.0558951264257035
A,Poly2_Ridge,raw,0.8396138206329489,0.004085944476534142,284.6850702999624,32.25516025288565
A,Poly4_Ridge,log,0.9507791612900915,0.0014171655673603618,22.87222621572686,0.9373622002159681
A,Poly4_Ridge,raw,0.9793355510260092,0.001717695065533473,96.55779560524641,8.484226210961648
A,RandomForest,log,0.9986702792766454,0.00016371928727903666,3.6966652548108483,0.19272246069825114
A,RandomForest,raw,0.9987378633017906,0.00013813533852419634,3.9862377808192804,0.26842014708770473
A,XGBoost,log,0.9987284130140314,0.00011304045684204937,4.147814934403594,0.1972895602729938
A,XGBoost,raw,0.9990410207878655,8.252252133666362e-05,8.032596195103558,0.5072029308313263
B,Linear,raw,0.6151060874679115,0.0,362.6698888694324,0.0
B,Linear,log,0.8469409786787854,0.0,47.241736541751955,0.0
B,Poly2_Ridge,raw,0.8638868601627592,0.0,222.73480542883988,0.0
B,Poly2_Ridge,log,0.8707118446752273,0.0,34.906574676384125,0.0
B,Poly4_Ridge,raw,0.9827552069419215,0.0,73.9762782166956,0.0
B,Poly4_Ridge,log,0.9471006261191183,0.0,21.712753099035798,0.0
B,KNN_k3,raw,0.9904974272049099,0.0,8.549469594328777,0.0
B,KNN_k3,log,0.9906357085972357,0.0,8.031915857674983,0.0
B,RandomForest,raw,0.9877350525949209,0.0,11.063583436641531,0.0
B,RandomForest,log,0.9873812089430165,0.0,10.845662198166792,0.0
B,ExtraTrees,raw,0.9989298275029993,0.0,2.8686700533913045,0.0
B,ExtraTrees,log,0.9986168407959657,0.0,2.906213506504197,0.0
B,XGBoost,raw,0.987951044140495,0.0,13.96083446359621,0.0
B,XGBoost,log,0.9876268916175592,0.0,11.027294848336435,0.0
B,LightGBM,raw,0.9881196137148369,0.0,12.91387272590036,0.0
B,LightGBM,log,0.9878733529475052,0.0,10.801079394266054,0.0
B,GPR_Matern52,raw,0.997244158553514,0.0,9.1390062386259,0.0
B,GPR_Matern52,log,0.9954633443492915,0.0,5.463941954032374,0.0
B,MLP,raw,0.9893400499397433,0.0,31.928712996857534,0.0
B,MLP,log,0.9885770005606637,0.0,7.569048814531966,0.0
B,GridInterp,raw,0.9989624031151958,0.0,2.8012538568902787,0.0
B,GridInterp,log,0.9986797623051085,0.0,2.8694540876407895,0.0
C,Linear,raw,-2.641120686915003,0.0,1362.5946873924897,0.0
C,Linear,log,-1.0785605266430438,0.0,66.00924816290141,0.0
C,Poly2_Ridge,raw,-1.1868667826025723,0.0,809.5475540236239,0.0
C,Poly2_Ridge,log,0.754711994111804,0.0,35.819537585769076,0.0
C,Poly4_Ridge,raw,-0.28624120040476764,0.0,583.1614789770796,0.0
C,Poly4_Ridge,log,0.6181305928243319,0.0,67.3324039169918,0.0
C,KNN_k3,raw,0.4461412598964305,0.0,42.19202713181625,0.0
C,KNN_k3,log,0.4527870450512639,0.0,41.55097879080434,0.0
C,RandomForest,raw,0.4092039765948141,0.0,43.637633881741024,0.0
C,RandomForest,log,0.4146704599248452,0.0,43.402980044856065,0.0
C,ExtraTrees,raw,0.43353687853525225,0.0,41.930766324149175,0.0
C,ExtraTrees,log,0.43353688897011733,0.0,41.93062491026178,0.0
C,XGBoost,raw,0.42980494911786804,0.0,46.50102383276763,0.0
C,XGBoost,log,0.4307259607054177,0.0,42.491966542608296,0.0
C,LightGBM,raw,0.4257127742559269,0.0,46.37523500911855,0.0
C,LightGBM,log,0.42948139439941035,0.0,42.31430620861609,0.0
C,GPR_Matern52,raw,0.08769986838382604,0.0,64.32845921748786,0.0
C,GPR_Matern52,log,0.6751395897868824,0.0,42.62691174617467,0.0
C,MLP,raw,0.8495805894709988,0.0,47.16095052167725,0.0
C,MLP,log,0.3419978551048931,0.0,55.55019412761488,0.0
C,GridInterp,raw,0.8414795343051713,0.0,20.849441580256862,0.0
C,GridInterp,log,0.8039850837682588,0.0,26.68644117117267,0.0
