split,model,target,seed,r2,mape,fit_seconds
A,Linear,raw,0,0.5859624091874149,508.0266682298804,0.03248238563537598
A,Linear,log,0,0.8447934120136296,50.70150016390813,0.010105133056640625
A,Poly2_Ridge,raw,0,0.8435606514348113,314.2869648183384,0.028181791305541992
A,Poly2_Ridge,log,0,0.8461433200202295,37.72511835014789,0.018078088760375977
A,Poly4_Ridge,raw,0,0.9796672996360064,98.55058493569527,0.0379185676574707
A,Poly4_Ridge,log,0,0.9509640689238595,21.60464868071442,0.03428459167480469
A,KNN_k3,raw,0,0.9929376506317807,9.257629555843643,0.05523324012756348
A,KNN_k3,log,0,0.9926741670056327,8.736974409644455,0.039998531341552734
A,RandomForest,raw,0,0.9985631086844156,3.7132703359119077,2.898319959640503
A,RandomForest,log,0,0.9984374847552632,3.5821845765429488,3.275273561477661
A,ExtraTrees,raw,0,0.9992121984851133,3.5728846350491206,2.9580109119415283
A,ExtraTrees,log,0,0.9991305301807034,3.2234936805363428,3.3979122638702393
A,XGBoost,raw,0,0.9991066012563756,7.603544276839141,14.531174421310425
A,XGBoost,log,0,0.9987847079398904,3.8305145250038275,6.813633918762207
A,LightGBM,raw,0,0.9990934295653124,6.768546549521154,16.777279138565063
A,LightGBM,log,0,0.9989444475973118,3.4434569872451943,17.89948606491089
A,GPR_Matern52,raw,0,0.996812090509466,7.758680145803849,189.66454148292542
A,GPR_Matern52,log,0,0.9882222706433518,5.520183240393433,323.12670826911926
A,MLP,raw,0,0.9826015159752359,41.61964441470348,39.91573977470398
A,MLP,log,0,0.9911283088883556,6.63291269639897,23.766983032226562
A,Linear,raw,1,0.5782204426402673,437.6880033666711,0.007438182830810547
A,Linear,log,1,0.8236629073996803,52.05173805289958,0.004956245422363281
A,Poly2_Ridge,raw,1,0.8378737712839303,241.25016413501768,0.008965492248535156
A,Poly2_Ridge,log,1,0.8425156984787604,37.64124451125211,0.00926971435546875
A,Poly4_Ridge,raw,1,0.9781005641185292,94.70133614609412,0.016073226928710938
A,Poly4_Ridge,log,1,0.9520533299533097,22.764023705206252,0.015631437301635742
A,KNN_k3,raw,1,0.9928078024508651,9.554291462520844,0.025185108184814453
A,KNN_k3,log,1,0.9925616251618401,9.071554608886283,0.025159358978271484
A,RandomForest,raw,1,0.9986676838551918,3.7163461601900316,1.8661525249481201
A,RandomForest,log,1,0.9986696659577465,3.4474293810992593,1.911245584487915
A,ExtraTrees,raw,1,0.9990764943665845,3.5944581226483465,1.7746562957763672
A,ExtraTrees,log,1,0.9990811013252083,3.147680977672261,1.7431082725524902
A,XGBoost,raw,1,0.9989193612316453,7.644493890915613,0.7416050434112549
A,XGBoost,log,1,0.9988436954560342,4.080931163132714,0.7378437519073486
A,LightGBM,raw,1,0.9989402806424071,7.161696419984725,1.6893565654754639
A,LightGBM,log,1,0.9987607432582379,3.625731095120948,1.4295017719268799
A,GPR_Matern52,raw,1,0.9966663118043558,7.048153163032877,190.26297545433044
A,GPR_Matern52,log,1,0.991552343783182,5.474446464550005,129.68871450424194
A,MLP,raw,1,0.9852999935210536,40.935957194128,13.704123735427856
A,MLP,log,1,0.9896135097375482,7.733798461082873,7.9682838916778564
A,Linear,raw,2,0.5750433716188512,535.0323818364594,0.0045166015625
A,Linear,log,2,0.8422513025368731,53.055985248947245,0.0
A,Poly2_Ridge,raw,2,0.8429302334633358,318.10632909525384,0.003140687942504883
A,Poly2_Ridge,log,2,0.8490610314766659,38.56841552175177,0.00666046142578125
A,Poly4_Ridge,raw,2,0.980346169519881,105.08212024057796,0.00995492935180664
A,Poly4_Ridge,log,2,0.9520439926128443,23.178102326735644,0.010142087936401367
A,KNN_k3,raw,2,0.9931889911015374,10.571778495266528,0.01669907569885254
A,KNN_k3,log,2,0.9930339902186627,9.93249996074969,0.013466358184814453
A,RandomForest,raw,2,0.9989150390594369,4.138800190052947,0.6759982109069824
A,RandomForest,log,2,0.9988511253875695,3.8996073323233738,0.625910758972168
A,ExtraTrees,raw,2,0.9991626346889424,3.868845428797428,0.5997085571289062
A,ExtraTrees,log,2,0.9992197298666601,3.4269337032091314,0.5903427600860596
A,XGBoost,raw,2,0.999125129830872,8.05042686374381,0.22286486625671387
