model (target),A_r2,B_r2,C_r2_seed42,C_r2_verified_mean,C_r2_verified_std,C_mape
PressureGatedBlend (raw),0.9993490960977032,0.9989298275029992,0.8546691052932439,0.4658297632319781,0.2276460892813328,44.91565633813168
MLP (raw),0.982536872718137,0.9893400499397432,0.8495805894709988,0.4411901714686802,0.2460200842831814,47.16095052167725
PhysicsPenaltyMLP (raw),0.9788530318316192,0.980911776916744,0.8484331765711748,,,73.55526529235476
GridInterp (raw),,0.9989624031151958,0.8414795343051713,0.8414795343051713,0.0,20.849441580256865
GridInterp (log),,0.9986797623051084,0.8039850837682588,0.8039850837682588,0.0,26.68644117117267
Poly2_Ridge (log),0.8466971702717885,0.8707118446752273,0.754711994111804,0.754711994111804,0.0,35.81953758576908
GPR_Matern52 (log),0.9915593777017332,0.9954633443492916,0.6751395897868824,,,42.62691174617467
Poly4_Ridge (log),0.9507791612900915,0.9471006261191184,0.6181305928243319,,,67.3324039169918
KNN_k3 (log),0.9930890054713092,0.9906357085972356,0.4527870450512639,,,41.55097879080434
KNN_k3 (raw),0.993329244638804,0.99049742720491,0.4461412598964305,,,42.19202713181625
ExtraTrees (log),0.9991782407691476,0.9986168407959656,0.4335368889701173,,,41.93062491026178
ExtraTrees (raw),0.9991905522345949,0.9989298275029992,0.4335368785352522,0.4335368726821825,1.4363434958577974e-08,41.930766324149175
XGBoost (log),0.9987284130140314,0.9876268916175592,0.4307259607054177,,,42.491966542608296
XGBoost (raw),0.9990410207878656,0.987951044140495,0.429804949117868,,,46.50102383276763
LightGBM (log),0.9989196418275658,0.9878733529475052,0.4294813943994103,,,42.31430620861609
LightGBM (raw),0.9990424500711652,0.9881196137148368,0.4257127742559269,,,46.37523500911855
RandomForest (log),0.9986702792766454,0.9873812089430164,0.4146704599248456,,,43.40298004485605
RandomForest (raw),0.9987378633017906,0.9877350525949208,0.4092039765948141,,,43.637633881741024
MLP (log),0.9906359124013708,0.9885770005606636,0.3419978551048931,0.6276910823100378,0.0715834742618793,55.55019412761488
GPR_Matern52 (raw),0.9969039893581184,0.997244158553514,0.087699868383826,,,64.32845921748786
Poly4_Ridge (raw),0.9793355510260092,0.9827552069419216,-0.2862412004047676,,,583.1614789770796
Linear (log),0.834291250972775,0.8469409786787854,-1.0785605266430438,,,66.00924816290141
Poly2_Ridge (raw),0.8396138206329489,0.8638868601627592,-1.1868667826025725,,,809.5475540236239
ResidualLearning_mlp (raw),0.7813743693063968,0.7100478006899602,-1.3059855209098488,,,178.78221571425132
HybridCorrelation_standalone (raw),-0.1544670834338339,-0.2911575518986762,-2.593785158814603,,,133.80459865664992
Linear (raw),0.57812289100606,0.6151060874679115,-2.641120686915003,,,1362.5946873924895
ResidualLearning_ridge (raw),0.1960766633670848,0.0909981332429125,-4.31384892895304,,,1116.171042771461
PhysicsFeatures_deg2 (raw),0.9438298772798568,0.960302090906083,-14.950582832091536,,,1664.461693377738
PhysicsFeatures_deg1 (raw),0.7075997524976592,0.7579415065095352,-19.096368755871456,,,1181.3517316609602
PhysicsFeatures_deg2 (log),0.93526315280858,0.9401849365864674,-1698.8877941786711,,,12110.31534877998
PhysicsFeatures_deg1 (log),0.8928082497984319,0.907063596734124,-57039.65868859564,,,8342.791707118586
