dataset,n,model,split,split_warning,R2,median_fold_R2,worst_fold_R2,RMSE_log,MAE_log,MAPE_pct,n_groups,seconds
ATF_surface,65,Linear,I_random,,0.6226079210141936,0.6638487153711738,0.2892698474989075,0.24441337251279038,0.17563805911316258,18.213275597714983,,0.0
ATF_surface,65,Linear,II_condition_wise,,-5.927330362125491,-30.739020441550313,-60.04573657482653,1.0471563317662642,0.8321864829396322,198.59526252240536,2.0,0.0
ATF_surface,65,Linear,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.6852490364522623,0.7990602531978915,0.3123719932850517,0.22320920851213916,0.1632927746054168,17.15558225907157,65.0,0.0
ATF_surface,65,Linear,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-48.33606781606336,-14.031269020325578,-1177.050016569473,2.794543276601045,1.6490341972338411,16565.657897501635,10.0,0.0
ATF_surface,65,Poly2_Ridge,I_random,,0.7760672730684245,0.7565790084178627,0.7108572670207227,0.18827270298424098,0.15024927183474102,15.276963814640435,,0.0
ATF_surface,65,Poly2_Ridge,II_condition_wise,,-58.30684417480138,-242.13319603442258,-449.5972237487761,3.063945110979801,1.8922126866184819,2508870.5191347096,2.0,0.0
ATF_surface,65,Poly2_Ridge,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.7037082382919472,0.8273013244502785,0.4101690805804231,0.21656504572529237,0.16572323152432272,17.116806079224673,65.0,0.0
ATF_surface,65,Poly2_Ridge,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-196.8151397512179,-7.985403726905147,-4219.567498479371,5.595750432374679,2.852527089042586,2508857.4115042533,10.0,0.0
ATF_surface,65,KNN_k5,I_random,,0.6883347230938275,0.7269968162170297,0.5219454401963961,0.22211238889651777,0.1739125365690138,17.43789796230084,,0.0
ATF_surface,65,KNN_k5,II_condition_wise,,-1.2783198863732608,-4.221670629899625,-5.934802218779229,0.6005316814019857,0.5287301773729133,49.62164816187909,2.0,0.0
ATF_surface,65,KNN_k5,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.7159502796918695,0.7665961201194371,0.4743705335460807,0.21204388680696523,0.17335861952740494,17.396068605372953,65.0,0.0
ATF_surface,65,KNN_k5,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-0.16391180049490406,-5.934802218779229,-19.076853211494292,0.429228557722132,0.36513255665811667,42.19056220378131,10.0,0.0
ATF_surface,65,SVR_RBF,I_random,,0.6846770970575181,0.6795482857894763,0.46373550870494107,0.22341191511634292,0.17846737277444066,18.579520670416944,,0.0
ATF_surface,65,SVR_RBF,II_condition_wise,,-1.2070988554433653,-5.085314798730294,-8.304912737758125,0.5910707471839534,0.5157044243804276,52.44990566752213,2.0,0.0
ATF_surface,65,SVR_RBF,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.7303911502321656,0.7118327145335896,0.6218104488890518,0.20658350667584424,0.1766808227460499,18.1374735986525,65.0,0.0
ATF_surface,65,SVR_RBF,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-0.27242433412323575,-8.164782133405433,-28.313314966808843,0.4487914312537903,0.3742337056153939,46.351361796899646,10.0,0.0
ATF_surface,65,ANN_MLP,I_random,,-0.31824646312429294,-0.015832315046101497,-2.3626507076467,0.4568008262025389,0.30827456271969467,43.07594841444787,,0.3
ATF_surface,65,ANN_MLP,II_condition_wise,,-264.3427805589599,-966.5962353990711,-1712.20059190812,6.480853603710725,4.454853143645576,23674767391.94436,2.0,0.1
ATF_surface,65,ANN_MLP,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.0730915903611914,0.3597858723916211,-1.0976700490617706,0.3830425188022257,0.2841528679635438,33.198390606895316,65.0,0.3
ATF_surface,65,ANN_MLP,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-3065.013240950782,-39.11215219324706,-79171.87652451867,22.030055252220794,10.17894770890528,2.186964759662261e+26,10.0,0.6
ATF_surface,65,RandomForest,I_random,,0.6483683586092065,0.689482021199324,0.35256390054843767,0.23592423055038372,0.1719731589793439,17.962518868525127,,0.5
ATF_surface,65,RandomForest,II_condition_wise,,-1.4848547686934679,-4.28503711558543,-5.530615237923421,0.6271610502704343,0.5447483055976643,49.531181906746475,2.0,0.2
ATF_surface,65,RandomForest,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.6402421553226407,0.7543685920657661,0.2322258903424913,0.23863476306220927,0.17451922913763526,18.127916839814407,65.0,0.5
ATF_surface,65,RandomForest,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-0.11899170349417676,-4.316919886924065,-22.74978739907537,0.4208642210533608,0.34553695184651,40.408222856312236,10.0,1.0
ATF_surface,65,ExtraTrees,I_random,,0.6848441469608335,0.7221881453731043,0.4555344762337533,0.22335272835461756,0.1738565403786509,17.89486381795897,,0.3
ATF_surface,65,ExtraTrees,II_condition_wise,,-1.3544435254853937,-4.011813091990592,-5.198321265678036,0.6104817875753076,0.5262495123361179,47.90184325764786,2.0,0.1
ATF_surface,65,ExtraTrees,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.6853914739624701,0.7330364233463623,0.3945505976579996,0.22315869721057455,0.17293504655100925,17.972339119941662,65.0,0.4
ATF_surface,65,ExtraTrees,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-0.04341855929903926,-5.198321265678033,-20.481513732763688,0.4064038859871947,0.3393403616612865,39.76136454146933,10.0,0.7
ATF_surface,65,XGBoost,I_random,,0.6485458327875797,0.6736385610737281,0.46742529644209263,0.23586468564805665,0.1718348423351138,17.724578044212265,,1.1
