dataset,model,III_surface_wise,II_condition_wise,IV_leave_one_publication_out,I_random
ATF_surface,ANN_MLP,0.073,-264.343,-3065.013,-0.318
ATF_surface,CatBoost,0.723,-1.439,-0.114,0.706
ATF_surface,ExtraTrees,0.685,-1.354,-0.043,0.685
ATF_surface,GPR_Matern,0.623,-1.383,-0.239,0.735
ATF_surface,KNN_k5,0.716,-1.278,-0.164,0.688
ATF_surface,LightGBM,0.576,-1.383,-0.373,0.525
ATF_surface,Linear,0.685,-5.927,-48.336,0.623
ATF_surface,Poly2_Ridge,0.704,-58.307,-196.815,0.776
ATF_surface,RandomForest,0.64,-1.485,-0.119,0.648
ATF_surface,SVR_RBF,0.73,-1.207,-0.272,0.685
ATF_surface,Stacking_RF_XGB_SVR,0.719,-1.404,-0.395,0.705
ATF_surface,XGBoost,0.632,-1.406,-0.269,0.649
KAERI_flow,ANN_MLP,-2.405,-2.138,-4.529,0.956
KAERI_flow,CatBoost,0.63,0.78,0.419,0.987
KAERI_flow,ExtraTrees,0.38,0.77,0.057,0.985
KAERI_flow,GPR_Matern,0.256,0.864,-1.212,0.99
KAERI_flow,KNN_k5,0.407,0.757,-0.275,0.965
KAERI_flow,LightGBM,0.536,0.688,-0.005,0.959
KAERI_flow,Linear,0.774,0.792,0.692,0.894
KAERI_flow,Poly2_Ridge,-0.119,0.781,-10.434,0.976
KAERI_flow,RandomForest,0.452,0.732,0.079,0.98
KAERI_flow,SVR_RBF,-0.001,0.621,-0.166,0.989
KAERI_flow,Stacking_RF_XGB_SVR,-0.227,0.704,-1.069,0.976
KAERI_flow,XGBoost,0.06,0.75,-0.29,0.985
MERGED_flow,ANN_MLP,0.893,0.911,0.885,0.96
MERGED_flow,CatBoost,0.899,0.886,0.904,0.966
MERGED_flow,ExtraTrees,0.907,0.875,0.9,0.981
MERGED_flow,KNN_k5,0.806,0.779,0.826,0.964
MERGED_flow,LightGBM,0.898,0.878,0.897,0.973
MERGED_flow,Linear,0.727,0.703,0.731,0.76
MERGED_flow,Poly2_Ridge,0.773,0.482,0.758,0.806
MERGED_flow,RandomForest,0.885,0.853,0.874,0.978
MERGED_flow,SVR_RBF,0.876,0.89,0.871,0.96
MERGED_flow,Stacking_RF_XGB_SVR,0.904,0.882,0.902,0.973
MERGED_flow,XGBoost,0.893,0.859,0.902,0.968
NRC_flow,ANN_MLP,0.964,0.972,0.905,0.993
NRC_flow,CatBoost,0.965,0.934,0.963,0.993
NRC_flow,ExtraTrees,0.949,0.899,0.942,0.995
NRC_flow,KNN_k5,0.859,0.825,0.822,0.98
NRC_flow,LightGBM,0.96,0.929,0.954,0.994
NRC_flow,Linear,0.845,0.799,0.841,0.864
NRC_flow,Poly2_Ridge,0.527,0.895,0.473,0.945
NRC_flow,RandomForest,0.933,0.883,0.934,0.993
NRC_flow,SVR_RBF,0.956,0.953,0.953,0.995
NRC_flow,Stacking_RF_XGB_SVR,0.96,0.944,0.956,0.994
NRC_flow,XGBoost,0.96,0.925,0.954,0.992
NRC_flow_noX,ANN_MLP,0.972,0.962,0.91,0.991
NRC_flow_noX,CatBoost,0.964,0.944,0.962,0.993
NRC_flow_noX,ExtraTrees,0.948,0.928,0.943,0.996
NRC_flow_noX,KNN_k5,0.806,0.826,0.798,0.978
NRC_flow_noX,LightGBM,0.957,0.94,0.951,0.992
NRC_flow_noX,Linear,0.752,0.763,0.743,0.794
NRC_flow_noX,Poly2_Ridge,0.535,0.89,0.501,0.917
NRC_flow_noX,RandomForest,0.928,0.925,0.931,0.993
NRC_flow_noX,SVR_RBF,0.957,0.95,0.948,0.988
NRC_flow_noX,Stacking_RF_XGB_SVR,0.967,0.948,0.962,0.993
NRC_flow_noX,XGBoost,0.959,0.941,0.953,0.992
Zhao_flow,ANN_MLP,0.19,-1.867,-6.407,0.867
Zhao_flow,CatBoost,0.788,0.711,0.606,0.943
Zhao_flow,ExtraTrees,0.755,0.748,0.576,0.941
Zhao_flow,GPR_Matern,0.695,0.586,0.428,0.945
Zhao_flow,KNN_k5,0.661,0.577,0.503,0.898
Zhao_flow,LightGBM,0.769,0.639,0.44,0.938
Zhao_flow,Linear,0.627,0.585,0.292,0.755
Zhao_flow,Poly2_Ridge,0.399,-0.313,-27.227,0.833
Zhao_flow,RandomForest,0.714,0.636,0.401,0.924
Zhao_flow,SVR_RBF,0.734,0.616,0.555,0.932
Zhao_flow,Stacking_RF_XGB_SVR,0.78,0.59,0.538,0.923
Zhao_flow,XGBoost,0.781,0.611,0.555,0.941
pin_fin,ANN_MLP,-0.215,-4337.798,0.373,0.733
pin_fin,CatBoost,0.968,-0.377,0.92,0.975
pin_fin,ExtraTrees,0.964,-0.369,0.947,0.965
pin_fin,GPR_Matern,0.966,-0.392,0.939,0.972
pin_fin,KNN_k5,0.891,-0.04,0.912,0.9
pin_fin,LightGBM,0.89,-0.439,0.714,0.87
pin_fin,Linear,0.942,-19.353,0.658,0.936
