dataset,strategy,n_groups,pooled_r2,median_fold_r2,worst_fold_r2,note
ATF_surface,I_random,,0.656291745200519,0.7387342081816043,0.12278592742763483,
ATF_surface,II_condition_wise,2.0,-1.339739770089877,-4.641685961206741,-6.366774650176612,
ATF_surface,III_surface_wise,55.0,0.6714257903679415,0.7381871237622875,0.15479765752736108,every row is a unique surface -> equivalent to random
ATF_surface,IV_leave_one_study_out,7.0,-0.39836784028496885,-6.366774650176612,-10.652633270681406,
pin_fin,I_random,,0.9568111529670724,0.9568251139870416,0.9024415141943452,
pin_fin,II_condition_wise,6.0,-0.4855596795862911,0.3310852115376183,-1.009411196535563,
pin_fin,III_surface_wise,67.0,0.9583286244538002,0.951063577516636,0.9289559471341658,
pin_fin,IV_leave_one_study_out,16.0,0.9419535484970464,0.9098873677603481,0.8809272304283832,
NRC_flow,I_random,,0.9934238568669322,0.9936030894983956,0.9928183578338221,
NRC_flow,II_condition_wise,8.0,0.8826447268604412,0.9498475622273291,0.7244851533827538,
NRC_flow,III_surface_wise,74.0,0.9328407836695602,0.9398610360044525,0.9112711124054962,
NRC_flow,IV_leave_one_study_out,60.0,0.9338303483177954,0.9381814632823667,0.8972557813390067,
