dataset,held_out_study,n_test,r2,note
ATF_surface,Ahn2010,10,-6.402896697582348,
ATF_surface,Ali2018,1,,test fold too small for R2
ATF_surface,Ali2020,4,-0.3416992175672593,
ATF_surface,CheolLee2019,4,-23.423734608367788,
ATF_surface,He2022,27,-5.862032713059043,
ATF_surface,Jo2019,4,-0.6860229799050703,
ATF_surface,Kam2015,3,-3.081448298121674,
ATF_surface,Kim2019,1,,test fold too small for R2
ATF_surface,Seo2015,2,,test fold too small for R2
ATF_surface,Yeom2020,9,-2.997067720837638,
pin_fin,Cao et al. 2018,9,0.972127090750483,
pin_fin,Chu et al. 2011,5,0.8608395293217885,
pin_fin,Chu et al. 2012,7,0.9350115685003386,
pin_fin,Guglielmini et al. 2002,12,-1.5256191548833549,
pin_fin,Honda et al. 2002,8,0.970062993925175,
pin_fin,Kim et al. 2016,3,-0.4401739669129292,
pin_fin,Kong et al. 2018,18,0.8144175843761562,
pin_fin,Lee et al. 2011,5,0.9139230112926541,
pin_fin,Nguyen et al. 2018,5,-0.6086523070266436,
pin_fin,Rahman et al. 2014,11,0.9048262693512692,
pin_fin,Rainey et al. 2000,5,0.9298467925480829,
pin_fin,Wei et al. 2003,21,0.8914837846915857,
pin_fin,Wei et al. 2005,6,0.9723844065822139,
pin_fin,Yu et al. 2007,13,0.8229939590718098,
pin_fin,Zhang et al. 2018,38,0.8921388090686325,
pin_fin,Zhang et al. 2019,9,0.9300684596453799,
Zhao_flow,Beus,77,0.6315524603070954,
Zhao_flow,Inasaka,7,-0.747334966830904,
Zhao_flow,Janssen,282,0.3855002603143113,
Zhao_flow,Kossolapov,12,0.1897670570774206,
Zhao_flow,Mortimore,19,0.5868608757908043,
Zhao_flow,Peskov,17,-0.05619839349270994,
Zhao_flow,Richenderfer,36,-0.038073135656635504,
Zhao_flow,Thompson,1202,0.22565209022590293,
Zhao_flow,Weatherhead,162,0.8727158118709035,
Zhao_flow,Williams,51,0.7491724190185258,
KAERI_flow,Becker,266,-0.4507534565717104,
KAERI_flow,Bertoletti,48,-0.17866157232551538,
KAERI_flow,Casterline,20,0.49740032199678974,
KAERI_flow,Keeys,6,-0.12023204521872288,
KAERI_flow,Kinoshita,9,-87.45076310179329,
KAERI_flow,Lee(1963),105,-1.7553619925961188,
KAERI_flow,Lee(1965),40,0.4578130072305643,
KAERI_flow,Lee(1966),221,-12.627957238537807,
KAERI_flow,Swenson,61,-9.482760071874884,
KAERI_flow,Todreas,58,-6.29981481261526,
KAERI_flow,Zenkevich,54,0.5309087898484002,
