dataset,protocol,feature,mean_abs_shap,rank
ATF_surface,random,Ra_um,0.09308047388542048,2
ATF_surface,random,CA_deg,0.26825739267114235,1
ATF_surface,grouped,Ra_um,0.12861710108503313,2
ATF_surface,grouped,CA_deg,0.20594049513001064,1
pin_fin,random,Ra_um,0.05355791192023542,5
pin_fin,random,Porosity,0.021299792321865164,6
pin_fin,random,Coverage,0.00781922812757673,7
pin_fin,random,Subcooling(K),0.15815038703584477,2
pin_fin,random,Height(um),0.12430871542165726,3
pin_fin,random,Spacing(um),0.11189888539867812,4
pin_fin,random,is_water,0.3730602207376235,1
pin_fin,grouped,Ra_um,0.06060010050516549,5
pin_fin,grouped,Porosity,0.02009481080430654,6
pin_fin,grouped,Coverage,0.009539269593397076,7
pin_fin,grouped,Subcooling(K),0.15927732791416577,2
pin_fin,grouped,Height(um),0.1358842862520649,3
pin_fin,grouped,Spacing(um),0.09930562258094991,4
pin_fin,grouped,is_water,0.37223265783090287,1
NRC_flow,random,D_m,0.04725710644631782,6
NRC_flow,random,L_m,0.3737896365252468,1
NRC_flow,random,P_kPa,0.0938097574869575,5
NRC_flow,random,G_kg_m2s,0.2957743897394556,2
NRC_flow,random,X,0.17587236333615489,3
NRC_flow,random,dHin_sub_kJkg,0.020393198503380013,7
NRC_flow,random,Tin_C,0.16375566706380618,4
NRC_flow,grouped,D_m,0.04045793548143258,6
NRC_flow,grouped,L_m,0.342398692075542,1
NRC_flow,grouped,P_kPa,0.1205626538113379,5
NRC_flow,grouped,G_kg_m2s,0.2697790921288597,2
NRC_flow,grouped,X,0.2415182827834887,3
NRC_flow,grouped,dHin_sub_kJkg,0.021114856200597498,7
NRC_flow,grouped,Tin_C,0.1492093873416535,4
