,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,InletTemperature,InletEnthalpy,HeatFlux,CHFLocation,Quality,QualityPosition,WallPower,WallMesh
Diameter,1.0,0.9999988784588061,0.974093842910988,0.11089456162785863,0.31666215321684305,0.3876484461066341,-0.36544359736457477,0.6476541130400926,0.42127914827170126,0.303689280068801,-0.21907097502250436,0.16738821272147156,0.026845500949206,-0.028445473956866352,0.1617596754177276,0.01815823168593713
Perimeter,0.9999988784588061,1.0,0.9741321588862651,0.11030236934757989,0.3168378257593499,0.3873868045274205,-0.36529247035324575,0.6478091652108166,0.42134492475111224,0.30363802131267975,-0.21917757247774197,0.16682136750520887,0.026578933595239166,-0.028377990822931725,0.16143511642611347,0.017546293002336722
Area,0.974093842910988,0.9741321588862651,1.0,-0.02994267831988969,0.2765239339268733,0.2835544286923091,-0.3674745165574254,0.5918845540690582,0.31445858200980603,0.22271365861060843,-0.14324421777474866,0.022801556750842687,-0.017568504633742318,-0.03176726604423744,0.12253515396814392,-0.11127665694739748
Length,0.11089456162785863,0.11030236934757989,-0.02994267831988969,1.0,-0.15365865886031924,0.6912585633307163,-0.06061775510092096,0.11211836405792568,0.17723732966091124,0.10178455546145979,-0.362029294417014,0.9560748631481638,0.2970920727642646,-0.0322924793907152,-0.03688882313844343,0.9478271601337623
Pressure,0.31666215321684305,0.3168378257593499,0.2765239339268733,-0.15365865886031924,1.0,-0.23834593396014223,-0.21821168347027523,0.16727530949037167,0.7479255838908292,0.6526627746442825,-0.2207594706891382,-0.2370065596771311,-0.3141811522680418,0.0751021319227692,0.1475876822427382,-0.09486737522942311
Power,0.3876484461066341,0.3873868045274205,0.2835544286923091,0.6912585633307163,-0.23834593396014223,1.0,0.17340881266534694,0.5641553158054396,0.054245270894194765,-0.06285717152596501,-0.21539230494193842,0.6723336409712946,0.11788454134606727,-0.060996569136339565,-0.04377725835503223,0.6277111293325939
MassFlux,-0.36544359736457477,-0.36529247035324575,-0.3674745165574254,-0.06061775510092096,-0.21821168347027523,0.17340881266534694,1.0,0.2804243203914758,-0.18884095469945858,-0.16010827096163407,0.5613986331930112,-0.10472694980234135,0.019062075765369,-0.03451977121307469,-0.057625728763238654,-0.03948279522607159
MassFlow,0.6476541130400926,0.6478091652108166,0.5918845540690582,0.11211836405792568,0.16727530949037167,0.5641553158054396,0.2804243203914758,1.0,0.3096708187831017,0.2101214869791475,-0.02636476904776565,0.10709775807758534,0.06513094998327117,-0.0507230766371135,0.10768696379208928,0.03429725653116886
InletTemperature,0.42127914827170126,0.42134492475111224,0.31445858200980603,0.17723732966091124,0.7479255838908292,0.054245270894194765,-0.18884095469945858,0.3096708187831017,1.0,0.9255788496697946,-0.4793472222426007,0.12124022605811301,0.2710366331921345,0.060232938454665735,0.07035959154120365,0.15530306304223096
InletEnthalpy,0.303689280068801,0.30363802131267975,0.22271365861060843,0.10178455546145979,0.6526627746442825,-0.06285717152596501,-0.16010827096163407,0.2101214869791475,0.9255788496697946,1.0,-0.44954281906448995,0.04944465661284779,0.4700414388213046,0.05262692624919206,0.07258930857171851,0.061889537212890026
HeatFlux,-0.21907097502250436,-0.21917757247774197,-0.14324421777474866,-0.362029294417014,-0.2207594706891382,-0.21539230494193842,0.5613986331930112,-0.02636476904776565,-0.4793472222426007,-0.44954281906448995,1.0,-0.35741806468463166,-0.26039979931214613,-0.025673099312732754,0.29048434125035527,-0.3182976844049989
CHFLocation,0.16738821272147156,0.16682136750520887,0.022801556750842687,0.9560748631481638,-0.2370065596771311,0.6723336409712946,-0.10472694980234135,0.10709775807758534,0.12124022605811301,0.04944465661284779,-0.35741806468463166,1.0,0.30936593953209945,-0.028200104967833175,-0.0895648924076101,0.9016006184531955
Quality,0.026845500949206,0.026578933595239166,-0.017568504633742318,0.2970920727642646,-0.3141811522680418,0.11788454134606727,0.019062075765369,0.06513094998327117,0.2710366331921345,0.4700414388213046,-0.26039979931214613,0.30936593953209945,1.0,-0.000253934252198007,-0.07101786628846532,0.1461020164866663
QualityPosition,-0.028445473956866352,-0.028377990822931725,-0.03176726604423744,-0.0322924793907152,0.0751021319227692,-0.060996569136339565,-0.03451977121307469,-0.0507230766371135,0.060232938454665735,0.05262692624919206,-0.025673099312732754,-0.028200104967833175,-0.000253934252198007,1.0,-0.04890507149275005,-0.018959173653516015
WallPower,0.1617596754177276,0.16143511642611347,0.12253515396814392,-0.03688882313844343,0.1475876822427382,-0.04377725835503223,-0.057625728763238654,0.10768696379208928,0.07035959154120365,0.07258930857171851,0.29048434125035527,-0.0895648924076101,-0.07101786628846532,-0.04890507149275005,1.0,0.026755037557854168
WallMesh,0.01815823168593713,0.017546293002336722,-0.11127665694739748,0.9478271601337623,-0.09486737522942311,0.6277111293325939,-0.03948279522607159,0.03429725653116886,0.15530306304223096,0.061889537212890026,-0.3182976844049989,0.9016006184531955,0.1461020164866663,-0.018959173653516015,0.026755037557854168,1.0
