column,q1,q3,iqr,lower_fence,upper_fence,n_outliers,pct_outliers
Diameter,0.00973,0.015,0.005269999999999999,0.001825000000000002,0.022905,81,9.121621621621621
Perimeter,0.0306,0.0471,0.016500000000000004,0.005849999999999991,0.07185000000000001,81,9.121621621621621
Area,7.4356e-05,0.00017671,0.000102354,-7.917499999999999e-05,0.000330241,103,11.5990990990991
Length,1.0,7.0,6.0,-8.0,16.0,0,0.0
Pressure,6862000.0,12380000.0,5518000.0,-1415000.0,20657000.0,0,0.0
Power,62871.350000000006,180437.4,117566.04999999999,-113477.72499999998,356786.475,22,2.4774774774774775
MassFlux,1006.75,2711.5499999999997,1704.7999999999997,-1550.4499999999998,5268.75,12,1.3513513513513513
MassFlow,0.1195,0.4026,0.2831,-0.30515000000000003,0.82725,20,2.2522522522522523
InletTemperature,224.1,300.0,75.9,110.24999999999999,413.85,59,6.6441441441441444
InletEnthalpy,962071.4475,1347940.8875,385869.43999999994,383267.2875000001,1926745.0474999999,67,7.545045045045045
HeatFlux,748750.0,2153800.0,1405050.0,-1358825.0,4261375.0,21,2.364864864864865
CHFLocation,0.751,4.5,3.749,-4.8725,10.1235,0,0.0
Quality,-0.212,-0.042749999999999996,0.16925,-0.46587500000000004,0.211125,59,6.6441441441441444
QualityPosition,0.0,0.0,0.0,0.0,0.0,4,0.45045045045045046
WallPower,0.386,0.727,0.34099999999999997,-0.12549999999999994,1.2385,0,0.0
WallMesh,0.025,0.175,0.15,-0.19999999999999998,0.39999999999999997,0,0.0
