,count,mean,std,min,25%,50%,75%,max
Diameter,888.0,0.013715563063063065,0.00588112145224369,0.00544,0.00973,0.015,0.015,0.0283
Perimeter,888.0,0.04308738738738739,0.0184696502549379,0.0171,0.0306,0.0471,0.0471,0.0889
Area,888.0,0.00017488035923423427,0.0001606636157234949,2.3243e-05,7.4356e-05,0.00017671,0.00017671,0.00062902
Length,888.0,3.1149155405405407,2.6780687809200785,0.061,1.0,1.73,7.0,7.0
Pressure,888.0,8787329.954954956,4483303.40244056,430000.0,6862000.0,10000000.0,12380000.0,18000000.0
Power,888.0,135254.771509009,88390.41514197877,2331.5,62871.350000000006,123517.3,180437.4,496120.3
MassFlux,888.0,2012.486936936937,1266.147131938634,328.2,1006.75,1912.4,2711.5499999999997,8916.0
MassFlow,888.0,0.27727623873873875,0.18878840773699745,0.0151,0.1195,0.2645,0.4026,0.8557
InletTemperature,888.0,251.13840302292368,68.90159156020607,10.7,224.1,270.2,300.0,340.0
InletEnthalpy,888.0,1132179.309033704,360382.2857680598,44745.81,962071.4475,1183421.97,1347940.8875,2477889.889726881
HeatFlux,888.0,1755493.9189189188,2362852.8500498943,143200.0,748750.0,1485100.0,2153800.0,28800000.0
CHFLocation,852.0,2.455427816901408,2.1296680967943833,0.0061,0.751,1.524,4.5,6.7
Quality,888.0,-0.13650675675675675,0.19699636872067286,-1.352,-0.212,-0.103,-0.042749999999999996,0.804
QualityPosition,888.0,4.054054054054054e-05,0.0006030180955894144,0.0,0.0,0.0,0.0,0.009
WallPower,888.0,0.5277556306306307,0.20885239111879716,0.103,0.386,0.543,0.727,1.2
WallMesh,888.0,0.0851813063063063,0.06454375310619519,0.008,0.025,0.046,0.175,0.175
