,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,EquilibriumQuality,InletTemperature,InletEnthalpy,HeatFlux,WallMesh
Diameter,1.0,0.9999991463385655,0.9836887370553924,0.010521914729970907,0.22350626976554386,0.5416374921270722,-0.29460577618177547,0.703765680143807,-0.04847333461157993,0.3507188368813189,0.17337508521922276,-0.1980248542815907,0.010521914729970907
Perimeter,0.9999991463385655,1.0,0.9836832462391254,0.010376119895018271,0.22323538936337559,0.5413941709549451,-0.2946559542541214,0.7036600724175301,-0.047942106540217425,0.3510076703374831,0.17396851783380746,-0.19848330868094294,0.010376119895018271
Area,0.9836887370553924,0.9836832462391254,1.0,-0.02892448984834173,0.20360430401299293,0.5111031830720312,-0.3321818546980323,0.6526280336643951,-0.02663061094664562,0.2843601656543409,0.13937713979308858,-0.1589133751894467,-0.02892448984834173
Length,0.010521914729970907,0.010376119895018271,-0.02892448984834173,1.0,-0.3695443436994772,0.7105172350877618,0.459782776692279,0.23744922133971988,0.32076644478977334,-0.13511261139594782,-0.1908697139022505,-0.35102562678159477,1.0
Pressure,0.22350626976554386,0.22323538936337559,0.20360430401299293,-0.3695443436994772,1.0,-0.1866212747133429,-0.40314299598538406,0.014908771336279637,-0.6043162419773352,0.3936690001009906,0.18918656480694518,-0.0530242016045441,-0.36954434369947725
Power,0.5416374921270722,0.5413941709549451,0.5111031830720312,0.7105172350877618,-0.1866212747133429,1.0,0.3475993814838576,0.6652234587900027,0.02042504007020029,-0.12503164842303094,-0.2647052824120114,-0.15819002857594297,0.7105172350877618
MassFlux,-0.29460577618177547,-0.2946559542541214,-0.3321818546980323,0.459782776692279,-0.40314299598538406,0.3475993814838576,1.0,0.3277452527341889,-0.07286573834374209,-0.15165674909422944,-0.08215688378846843,0.1191992063743894,0.459782776692279
MassFlow,0.703765680143807,0.7036600724175301,0.6526280336643951,0.23744922133971988,0.014908771336279637,0.6652234587900027,0.3277452527341889,1.0,-0.21709656608039957,0.25068862505002965,0.10828757152475803,-0.12824329216067595,0.23744922133971985
EquilibriumQuality,-0.04847333461157993,-0.047942106540217425,-0.02663061094664562,0.32076644478977334,-0.6043162419773352,0.02042504007020029,-0.07286573834374209,-0.21709656608039957,1.0,0.129973940235305,0.3631904604636935,-0.5094523781724891,0.3207664447897733
InletTemperature,0.3507188368813189,0.3510076703374831,0.2843601656543409,-0.13511261139594782,0.3936690001009906,-0.12503164842303094,-0.15165674909422944,0.25068862505002965,0.129973940235305,1.0,0.8385590787025935,-0.5521010936356922,-0.13511261139594777
InletEnthalpy,0.17337508521922276,0.17396851783380746,0.13937713979308858,-0.1908697139022505,0.18918656480694518,-0.2647052824120114,-0.08215688378846843,0.10828757152475803,0.3631904604636935,0.8385590787025935,1.0,-0.5761922117116346,-0.19086971390225055
HeatFlux,-0.1980248542815907,-0.19848330868094294,-0.1589133751894467,-0.35102562678159477,-0.0530242016045441,-0.15819002857594297,0.1191992063743894,-0.12824329216067595,-0.5094523781724891,-0.5521010936356922,-0.5761922117116346,1.0,-0.3510256267815949
WallMesh,0.010521914729970907,0.010376119895018271,-0.02892448984834173,1.0,-0.36954434369947725,0.7105172350877618,0.459782776692279,0.23744922133971985,0.3207664447897733,-0.13511261139594777,-0.19086971390225055,-0.3510256267815949,1.0
