column,q1,q3,iqr,lower_fence,upper_fence,n_outliers,pct_outliers
Diameter,0.0079,0.01407,0.006169999999999998,-0.0013549999999999968,0.023325,53,8.141321044546851
Perimeter,0.0248,0.0442,0.019400000000000004,-0.004300000000000009,0.0733,53,8.141321044546851
Area,4.9017e-05,0.00015548,0.000106463,-0.0001106775,0.0003151745,83,12.749615975422428
Length,0.5,1.73,1.23,-1.345,3.575,59,9.062980030721967
Pressure,6900000.0,12410000.0,5510000.0,-1365000.0,20675000.0,0,0.0
Power,41427.8,139742.985,98315.18499999998,-106044.97749999996,287215.76249999995,10,1.5360983102918586
MassFlux,1015.9,2703.1,1687.1999999999998,-1514.8999999999996,5233.9,7,1.075268817204301
MassFlow,0.0768,0.3157,0.2389,-0.28155,0.67405,13,1.9969278033794162
EquilibriumQuality,0.052,0.338,0.28600000000000003,-0.37700000000000006,0.7670000000000001,16,2.457757296466974
InletTemperature,231.376,285.008,53.63199999999998,150.92800000000005,365.45599999999996,47,7.2196620583717355
InletEnthalpy,996672.27,1319458.52,322786.25,512492.895,1803637.895,51,7.8341013824884795
HeatFlux,1647900.0,2836850.0,1188950.0,-135525.0,4620275.0,30,4.608294930875576
WallMesh,0.25,0.865,0.615,-0.6725,1.7875,59,9.062980030721967
