,count,mean,std,min,25%,50%,75%,max
Diameter,651.0,0.01207488479262673,0.00590813955701522,0.00544,0.0079,0.01016,0.01407,0.0283
Perimeter,651.0,0.03793364055299539,0.018565587407968178,0.0171,0.0248,0.0319,0.0442,0.0889
Area,651.0,0.00014188601075268816,0.0001611093393488209,2.3243e-05,4.9017e-05,8.1073e-05,0.00015548,0.00062902
Length,651.0,1.3398694316436253,1.1500374211715538,0.0613,0.5,0.99,1.73,4.88
Pressure,651.0,9899723.502304148,3590843.1300977045,430000.0,6900000.0,10000000.0,12410000.0,18000000.0
Power,651.0,98054.99039938556,73063.12251344499,1348.0,41427.8,81810.15,139742.985,529266.0
MassFlux,651.0,2025.7677419354836,1179.3135870709395,335.0,1015.9,1968.0,2703.1,9561.9
MassFlow,651.0,0.22441290322580648,0.175014608584158,0.0151,0.0768,0.1584,0.3157,0.8753
EquilibriumQuality,651.0,0.19356559139784946,0.2156206110072729,-0.582,0.052,0.192,0.338,0.901
InletTemperature,651.0,250.48549308755761,57.252981578237744,14.487,231.376,267.616,285.008,341.175
InletEnthalpy,651.0,1146442.0396159755,349745.43931034894,60666.63,996672.27,1171750.21,1319458.52,2605069.02
HeatFlux,651.0,2381963.594470046,1472841.768851155,81800.0,1647900.0,2163000.0,2836850.0,17200000.0
WallMesh,651.0,0.6699347158218126,0.5750187105857769,0.03065,0.25,0.495,0.865,2.44
