name,N_points,D_mm_min,D_mm_max,L_m_min,L_m_max,P_kPa_min,P_kPa_max,G_kg_m2s_min,G_kg_m2s_max,Xchf_min,Xchf_max,DHin_kJkg_min,DHin_kJkg_max,q_kWm2_min,q_kWm2_max,Tin_C_min,Tin_C_max,_source_pdf_page
Alekseev (1964) data from Kirillov (1992),70,10.0,10.01,1.0,4.966,9800.0,19610.0,216.0,7566.0,-0.866,0.944,57.0,1398,134.0,4949.0,139.77,357.93,25
Alessandrini et (1963),753,15.2,24.9,0.8,2.46,4795.0,5148.0,1080.0,4140.0,-0.04,0.75,-1110.0,365,206.0,3689.0,185.0,265.0,25
Babarin et al. (1969),163,12.0,12.0,0.96,1.8,284.0,310.0,50.0,500.0,0.466,1.091,37.6,495,190.0,2300.0,15.0,124.0,25
Babcock and Hood (1962),39,8.0,22.5,0.61,0.61,413.0,6890.0,2946.0,11452.0,-0.187,-0.05,202.0,639,4876.0,10546.0,19.0,177.0,25
Baek (2001),56,6.0,10.0,0.18,0.4,101.0,3618.0,497.0,2032.0,-0.091,0.099,254.0,935,2041.0,7413.0,5.9,40.2,25
Bailey (1977),110,15.0,15.0,3.77,5.37,1350.0,7080.0,49.0,1383.0,0.45,0.99,-178.0,473,84.0,1134.0,93.0,286.0,25
Bailey and Lee (1969) Becker et al. (1963) AE-114,158,9.3,20.1,3.05,3.75,6895.0,8973.0,958.0,3183.0,0.069,1.054,54.0,1640,344.0,7477.0,199.0,25.42,25
Becker (1965) AE-RTL-778 Becker (1970) TPM-RL-1260 Becker et al.,116,3.93,36.03,0.216,1.88,1128.0,7100.0,159.5,2725.0,-0.005,0.903,-16.0,1065,503.0,5130.0,63.32,113.22,25
(1965) AERE-R 5055,201,12.62,12.62,5.563,5.563,7481.0,7481.0,5844.4,5844.4,0.948,0.948,691.0,691,3299.7,3299.7,279.45,279.45,26
Bergelson (1980) data from Kirillov (1992),328,8.0,8.0,0.241,0.4,170.0,3080.0,1927.0,7078.0,-0.295,0.09,96.0,853,3511.0,14571.0,28.94,169.2,26
Bergles (1963) ASME 63-WA- 182,117,0.62,6.21,0.011,0.155,140.0,586.0,1518.7,24272.4,-0.137,0.111,25.0,534,4957.1,44713.0,3.1,116.55,26
Bertoletti et al. (1964),386,4.9,15.2,0.05,2.675,4881.0,9876.0,1051.0,3948.8,-0.083,0.774,-28.0,769,198.7,7502.8,112.97,302.14,26
Biancone et al. (1965) Borodin and Macdonald (1983),245,10.2,,0.78,1.32,7914.0,14396.0,465.0,3167.0,-0.25,0.662,45.0,1355,742.0,6649.0,48.0,326.0,26
CRNL-2538 Burck and Hufschmidt (1965),143,10.0,10.0,0.35,0.35,1100.0,3090.0,917.0,3756.0,-0.246,0.087,532.0,939,4500.0,12200.0,16.7,60.8,26
Campolunghi (1973),218,12.0,12.0,15.6,20.5,254.0,9660.0,1111.0,2545.0,0.296,0.772,19.6,740,155.0,479.0,205.0,260.0,26
Celata et al. (1992a) set 1,60,6.0,8.0,0.1,0.15,398.0,5120.0,2019.0,10046.0,-0.517,-0.106,350.0,1018,7428.0,29514.0,29.0,81.0,26
Celata et al. (1992b) set 2,78,2.5,5.0,0.2,0.4,107.0,2181.0,2166.0,32637.0,-0.091,0.287,345.0,790,5347.0,42777.0,19.0,55.0,26
Celata and Mariani (1993),88,0.1,22.5,0.002,0.61,90.0,6890.0,917.0,90000.0,0.007,0.923,88.0,1023,4000.0,228000.0,3.44,245.78,26
