,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)",Roughness Factor,CHF(kW/m2)
Subcooling(K),1.0,-0.38888604908500485,-0.3293475436734323,-0.3512498504015157,-0.08679039846241099,-0.08480837835897269,-0.3311773117777193,-0.351353159864083,-0.050669072653859656,-0.23142321762505694
Width(um),-0.38888604908500485,1.0,0.7232419125012121,0.9057314886535808,0.1775634305127118,0.2183872810550457,0.8283106308780617,0.8882934406086395,0.19177657743823287,-0.0345445502734968
Height(um),-0.3293475436734323,0.7232419125012121,1.0,0.6275092848879067,0.07393696073082652,0.18315691101672954,0.5481088098774469,0.781755523873894,0.587600509300562,0.0336040951211239
Spacing(um),-0.3512498504015157,0.9057314886535808,0.6275092848879067,1.0,0.1655825515937135,0.24761557716562238,0.9843040208431665,0.9325789959648777,0.10959624328771382,-0.047941378971147794
Coverage,-0.08679039846241099,0.1775634305127118,0.07393696073082652,0.1655825515937135,1.0,0.8686475526764513,0.1613920182944083,0.14166763888871375,0.35118003621265176,0.323898249492641
Porosity,-0.08480837835897269,0.2183872810550457,0.18315691101672954,0.24761557716562238,0.8686475526764513,1.0,0.2517998240157529,0.2386552044915136,0.3556079010778646,0.31511070666025853
"MBL, Lateral (um)",-0.3311773117777193,0.8283106308780617,0.5481088098774469,0.9843040208431665,0.1613920182944083,0.2517998240157529,1.0,0.8950822478305092,0.05893464615608674,-0.029542156978099633
"MBL, Total (um)",-0.351353159864083,0.8882934406086395,0.781755523873894,0.9325789959648777,0.14166763888871375,0.2386552044915136,0.8950822478305092,1.0,0.22897821438655908,-0.016482588161859275
Roughness Factor,-0.050669072653859656,0.19177657743823287,0.587600509300562,0.10959624328771382,0.35118003621265176,0.3556079010778646,0.05893464615608674,0.22897821438655908,1.0,0.010549693975890556
CHF(kW/m2),-0.23142321762505694,-0.0345445502734968,0.0336040951211239,-0.047941378971147794,0.323898249492641,0.31511070666025853,-0.029542156978099633,-0.016482588161859275,0.010549693975890556,1.0
