column,q1,q3,iqr,lower_fence,upper_fence,n_outliers,pct_outliers
Subcooling(K),0.0,25.0,25.0,-37.5,62.5,0,0.0
Width(um),10.0,50.0,40.0,-50.0,110.0,34,19.428571428571427
Height(um),18.5,200.0,181.5,-253.75,472.25,31,17.714285714285715
Spacing(um),10.0,50.0,40.0,-50.0,110.0,32,18.285714285714285
Coverage,0.7,1.0,0.30000000000000004,0.2499999999999999,1.4500000000000002,29,16.571428571428573
Porosity,0.636,0.75,0.11399999999999999,0.465,0.921,33,18.857142857142858
"MBL, Lateral (um)",28.457,150.0,121.543,-153.85750000000002,332.3145,35,20.0
"MBL, Total (um)",22.883,90.3675,67.48450000000001,-78.34375000000001,191.59425000000002,32,18.285714285714285
Roughness Factor,1.887,5.0,3.113,-2.7825,9.6695,3,1.7142857142857142
CHF(kW/m2),308.85,622.5,313.65,-161.62499999999994,1092.975,20,11.428571428571429
