,count,mean,std,min,25%,50%,75%,max
Subcooling(K),175.0,14.217142857142857,15.62891304039735,0.0,0.0,3.0,25.0,45.0
Width(um),175.0,165.6157714285714,327.7976992028866,0.0,10.0,30.0,50.0,1000.0
Height(um),175.0,591.5055542857142,1442.8552570032896,0.0,18.5,60.0,200.0,8000.0
Spacing(um),175.0,177.45394285714286,393.83431063921216,0.0,10.0,30.0,50.0,2000.0
Coverage,175.0,0.7792685714285715,0.37505305660790955,0.0,0.7,1.0,1.0,1.0
Porosity,175.0,0.6151085714285714,0.2917659168125443,0.0,0.636,0.75,0.75,0.997
"MBL, Lateral (um)",175.0,585.7543999999999,1408.0014824148195,0.0,28.457,90.0,150.0,8000.0
"MBL, Total (um)",175.0,353.06388000000004,781.9068287414849,0.0,22.883,60.0,90.3675,5120.0
Roughness Factor,175.0,3.627102857142857,2.703876157799377,1.0,1.887,3.0,5.0,16.0
CHF(kW/m2),175.0,591.1085714285714,455.1971586048956,154.8,308.85,459.9,622.5,2190.0
