Source,P_MPa_min,P_MPa_max,G_kg_m2s_min,G_kg_m2s_max,q_kW_m2_min,q_kW_m2_max,D_mm_min,D_mm_max,N_points
Shiralkar and Griffith,7.76,7.76,406.8,915.0,15.7,56.15,10.2,10.2,2
Kline et al.,8.32,8.32,300.0,1000.0,18.0,260.0,4.6,22.0,8
Zhu et al.,7.8,21.0,519.0,1600.0,92.0,355.0,10.0,10.0,19
Gupta et al.,8.36,8.8,784.0,2000.0,18.4,235.9,8.0,8.0,7
Eter et al.,7.6,8.36,192.0,1184.0,2.9,126.3,8.0,8.0,54
Zahlan et al.,7.52,8.58,200.0,2000.0,30.0,436.0,8.0,22.0,33
Kim et al. (a),7.75,8.85,400.0,1200.0,20.0,150.0,4.4,4.4,30
Kim et al. (b),8.12,8.12,400.0,1200.0,30.0,50.0,4.4,9.0,9
Zhang et al.,7.5,7.5,300.0,400.0,20.0,75.0,16.0,16.0,8
Liu et al.,7.61,7.61,901.8,901.8,175.9,256.2,10.0,10.0,4
Lei et al.,7.5,10.5,100.0,200.0,5.0,100.0,5.0,5.0,14
Bae et al.,7.75,8.12,285.0,1200.0,30.0,70.0,6.32,6.32,19
Li et al.,8.8,8.8,315.0,315.0,7.0,52.0,2.0,2.0,7
