Source,P_MPa_min,P_MPa_max,G_kg_m2s_min,G_kg_m2s_max,q_kW_m2_min,q_kW_m2_max,D_mm_min,D_mm_max,N_points
Shiralkar and Griffith,22.7,23.4,461.0,610.0,252.4,2328.6,10.0,16.0,7
Vikhrev et al.,26.5,26.5,495.0,1400.0,507.0,930.0,20.4,20.4,3
Yamagata et al.,24.6,24.6,1260.0,1260.0,233.0,698.0,7.5,10.0,4
Mokry et al.,24.0,24.0,201.0,1500.0,129.0,1500.0,10.0,10.0,18
Wang et al.,23.0,26.0,450.0,1200.0,200.0,1200.0,10.0,10.0,17
Zhu et al.,23.0,30.0,600.0,1200.0,200.0,300.0,26.0,26.0,6
Pan et al.,22.5,30.0,1009.0,1626.0,216.0,822.0,17.0,17.0,10
Alekseev et al.,24.5,24.5,650.0,650.0,560.0,560.0,10.4,10.4,1
Griem,22.0,25.0,500.0,2500.0,300.0,600.0,14.0,14.0,6
Li et al. (a),23.0,26.0,459.8,1497.5,192.0,1326.5,7.6,7.6,23
Li et al. (b),23.0,25.0,655.0,1263.0,466.0,989.0,6.0,6.0,13
Shitsman,24.5,24.5,354.0,608.0,290.0,580.0,8.0,16.0,9
Swenson et al.,22.8,31.0,2150.0,2150.0,789.0,1735.0,9.42,9.42,3
Xu et al.,23.0,23.0,1200.0,1200.0,200.0,600.0,12.0,12.0,3
Lei et al.,23.0,28.0,600.0,1200.0,200.0,300.0,26.0,26.0,7
Mork-Morkenstein and Herkenrath,24.0,24.0,1500.0,1500.0,800.0,1200.0,10.0,10.0,5
Gu et al.,23.0,25.0,600.0,1000.0,700.0,1000.0,7.6,10.0,6
