approach,target,split,r2,mape
PhysicsFeatures_deg1,raw,A,0.7075997524976592,293.2899469351244
PhysicsFeatures_deg1,log,A,0.8928082497984319,37.526410027967486
PhysicsFeatures_deg2,raw,A,0.9438298772798569,156.87811817637922
PhysicsFeatures_deg2,log,A,0.9352631528085799,21.46818076764162
PhysicsFeatures_deg1,raw,B,0.7579415065095352,246.98100623248797
PhysicsFeatures_deg1,log,B,0.907063596734124,35.13419890370154
PhysicsFeatures_deg2,raw,B,0.960302090906083,131.61662740084117
PhysicsFeatures_deg2,log,B,0.9401849365864674,20.156110959834482
PhysicsFeatures_deg1,raw,C,-19.096368755871456,1181.3517316609602
PhysicsFeatures_deg1,log,C,-57039.65868859564,8342.791707118586
PhysicsFeatures_deg2,raw,C,-14.950582832091536,1664.4616933777381
PhysicsFeatures_deg2,log,C,-1698.8877941786711,12110.31534877998
HybridCorrelation_standalone,raw,A,-0.15446708343383397,117.06086721162421
ResidualLearning_ridge,raw,A,0.19607666336708485,437.5358533981723
ResidualLearning_mlp,raw,A,0.7813743693063968,81.62779383156511
HybridCorrelation_standalone,raw,B,-0.2911575518986762,112.13463633708602
ResidualLearning_ridge,raw,B,0.0909981332429125,365.266750050864
ResidualLearning_mlp,raw,B,0.7100478006899602,70.65985351474744
HybridCorrelation_standalone,raw,C,-2.593785158814603,133.80459865664992
ResidualLearning_ridge,raw,C,-4.31384892895304,1116.1710427714613
ResidualLearning_mlp,raw,C,-1.3059855209098488,178.78221571425132
PhysicsPenaltyMLP,raw,A,0.9788530318316191,39.65617873173707
PhysicsPenaltyMLP,raw,B,0.980911776916744,38.12746144543421
PhysicsPenaltyMLP,raw,C,0.8484331765711748,73.55526529235476
PressureGatedBlend,raw,A,0.9993490960977031,3.457329259190854
PressureGatedBlend,raw,B,0.9989298275029993,2.8686700533913045
PressureGatedBlend,raw,C,0.8546691052932439,44.91565633813168
