config,dataset,n,fluid,R2_logCHF,MAPE,frac_conservative,note
5_dim_plus_length,NUREG_Lowdermilk,10,water,0.8961809525069933,13.204562561060248,0.1,
5_dim_plus_length,KAERI_uniform,651,water,0.4881439535118186,38.841185921134816,0.445468509984639,
5_dim_plus_length,KAERI_nonuniform,888,water,-0.3747247266367435,136.37722048873735,0.013513513513513514,
5_dim_plus_length,L4_Pioro2002_R134a,0,,,,,no heated length reported
5_dim_plus_length,Hardik2016_helical,156,R-123,-24.415047275144488,89.1414471894035,1.0,
5_dim_plus_length,Helical_R123_appendix,257,R-123,-0.8300872352202218,53.27935600730375,0.5291828793774319,
6_regime_monotonic,NUREG_Lowdermilk,10,water,0.5249426878558969,30.137586939693705,0.5,
6_regime_monotonic,KAERI_uniform,651,water,0.7726166608250189,21.918620635983967,0.47772657450076805,
6_regime_monotonic,KAERI_nonuniform,888,water,-1.6266212345379572,236.15043335671047,0.0731981981981982,
6_regime_monotonic,Pioro2002_R134a,268,R-134a,-0.29156793641742684,133.48550318389354,0.08582089552238806,
6_regime_monotonic,Hardik2016_helical,156,R-123,-13.871388742909557,77.3290570827853,0.9743589743589743,
6_regime_monotonic,Helical_R123_appendix,257,R-123,-2.90824310913475,110.7827489902623,0.4708171206225681,
7_quantile_p10,NUREG_Lowdermilk,10,water,0.19975895803728627,27.149501219282097,0.8,
7_quantile_p10,KAERI_uniform,651,water,0.6062799775545058,23.65376279411647,0.8064516129032258,
7_quantile_p10,KAERI_nonuniform,888,water,-1.8458754652465963,255.52701471262873,0.02027027027027027,
7_quantile_p10,Pioro2002_R134a,268,R-134a,0.4034173304936167,66.72341112079036,0.19776119402985073,
7_quantile_p10,Hardik2016_helical,156,R-123,-23.63177403998827,87.24863481075992,1.0,
7_quantile_p10,Helical_R123_appendix,257,R-123,-1.9177782290567649,58.5613798288523,0.5214007782101168,
8_bounded_residual,NUREG_Lowdermilk,10,water,-26.75568557353545,1207.193027909583,0.0,
8_bounded_residual,KAERI_uniform,651,water,-9.560464560414829,782.596249106247,0.0,
8_bounded_residual,KAERI_nonuniform,888,water,-9.465512296598042,1135.6594561867091,0.0,
8_bounded_residual,Pioro2002_R134a,268,R-134a,-9.229154366452413,1312.145282992064,0.0,
8_bounded_residual,Hardik2016_helical,156,R-123,-0.6636510384887699,44.388635642603056,0.9230769230769231,
8_bounded_residual,Helical_R123_appendix,257,R-123,-17.12208073427352,599.1176997173108,0.0,
8b_physics_only,NUREG_Lowdermilk,10,water,-43.902551596249054,2514.386055819166,0.0,
8b_physics_only,KAERI_uniform,651,water,-17.973531297737676,1665.1924982124942,0.0,
8b_physics_only,KAERI_nonuniform,888,water,-16.182737918395762,2371.3189123734182,0.0,
8b_physics_only,Pioro2002_R134a,268,R-134a,-15.617872286319784,2724.290565984128,0.0,
8b_physics_only,Hardik2016_helical,156,R-123,0.22761565514425264,38.85788372764658,0.28846153846153844,
8b_physics_only,Helical_R123_appendix,257,R-123,-32.38386434571284,1298.2353994346215,0.0,
9_mixed_effects,NUREG_Lowdermilk,10,water,-0.04788192898732224,34.65484501018833,0.9,
9_mixed_effects,KAERI_uniform,651,water,0.7008799758691462,27.853901326731332,0.38402457757296465,
9_mixed_effects,KAERI_nonuniform,888,water,-3.1449198002294185,379.7175093272643,0.010135135135135136,
9_mixed_effects,Pioro2002_R134a,268,R-134a,-0.23457274520708316,128.97894880810665,0.041044776119402986,
9_mixed_effects,Hardik2016_helical,156,R-123,-16.693191409609504,75.53516016835289,0.9487179487179487,
9_mixed_effects,Helical_R123_appendix,257,R-123,-3.8525442649085484,135.40189553281039,0.49416342412451364,
