config,evaluation,dataset,n,R2_logCHF,MAPE,fluid
1_baseline,LOPO_internal,NRC+Zhao,26306,0.8514285443216725,24.8256411907989,
1_baseline,external,L1_NUREG_Lowdermilk,10,0.7063607305822139,22.534834631539482,water
1_baseline,external,L2_KAERI_uniform,651,0.8162296779108127,19.907264309311227,water
1_baseline,external,L3_KAERI_nonuniform,888,-2.9538387445150844,357.6701707872251,water
1_baseline,external,L4_Pioro2002_R134a,268,-20.277404010796555,3631.8952157258373,R-134a
1_baseline,external,L5_Hardik2016_helical,156,-0.7486636871354995,49.062299355846406,R-123
1_baseline,external,L6_Helical_R123,257,-19.589976690496297,795.6132852366619,R-123
2_monotonic,LOPO_internal,NRC+Zhao,26306,0.7852244042814891,30.309822494355487,
2_monotonic,external,L1_NUREG_Lowdermilk,10,0.5622339550024468,27.40522616141191,water
2_monotonic,external,L2_KAERI_uniform,651,0.49503519937552887,32.22740080973853,water
2_monotonic,external,L3_KAERI_nonuniform,888,-2.905538065808203,350.89599663463065,water
2_monotonic,external,L4_Pioro2002_R134a,268,-20.635847614622957,3693.328438826159,R-134a
2_monotonic,external,L5_Hardik2016_helical,156,-0.4844263337514412,53.59103019342994,R-123
2_monotonic,external,L6_Helical_R123,257,-23.099761189775144,937.8293473461007,R-123
3_dimensionless,LOPO_internal,NRC+Zhao,26306,0.8486641303754667,25.00083291361363,
3_dimensionless,external,L1_NUREG_Lowdermilk,10,0.6012205345793598,27.947030148651177,water
3_dimensionless,external,L2_KAERI_uniform,651,0.7967626211502634,21.942205640556686,water
3_dimensionless,external,L3_KAERI_nonuniform,888,-2.7753866843533337,339.65233050920045,water
3_dimensionless,external,L4_Pioro2002_R134a,268,-0.0713783208093759,113.795144205251,R-134a
3_dimensionless,external,L5_Hardik2016_helical,156,-17.217402171955523,82.60428720700513,R-123
3_dimensionless,external,L6_Helical_R123,257,-1.8619375270619227,80.61716827127177,R-123
4_both,LOPO_internal,NRC+Zhao,26306,0.8469680528736887,25.415231402386347,
4_both,external,L1_NUREG_Lowdermilk,10,0.5087822589474199,30.23177873792478,water
4_both,external,L2_KAERI_uniform,651,0.7970773295213741,21.125326771272015,water
4_both,external,L3_KAERI_nonuniform,888,-3.623271839321685,433.8459000404065,water
4_both,external,L4_Pioro2002_R134a,268,-0.2838501181599824,133.19255626631204,R-134a
4_both,external,L5_Hardik2016_helical,156,-14.77728237600345,78.47951488597477,R-123
4_both,external,L6_Helical_R123,257,-2.5993070879392612,99.39217839940669,R-123
