variant,dataset,n,R2,MAPE,safe_frac,mean_mahalanobis
A1_Katto_alone,NUREG_Lowdermilk,10,-8.199942909805378,74.42874409440533,1.0,
A2_Biasi_alone,NUREG_Lowdermilk,10,-1742.6002818765194,99.99999977616338,1.0,
A3_Zuber_alone,NUREG_Lowdermilk,10,-2.652334252082568,146.79887226228945,0.0,
A1_Katto_alone,KAERI_uniform,651,-0.6105861040105205,53.555980996415855,0.9416282642089093,
A2_Biasi_alone,KAERI_uniform,651,-13.149042189282092,88.12422739316489,1.0,
A3_Zuber_alone,KAERI_uniform,651,-1.022047093546076,141.47709372034427,0.15821812596006143,
A1_Katto_alone,KAERI_nonuniform,888,0.8207493518411628,21.839403777039117,0.6993243243243243,
A2_Biasi_alone,KAERI_nonuniform,888,-1.750411765870369,61.79533338037787,0.918918918918919,
A3_Zuber_alone,KAERI_nonuniform,888,-1.7965417125949465,250.80141862168227,0.0686936936936937,
A3_Zuber_alone,Pioro2002_R134a,268,-2.3972026598060974,373.7644896035239,0.0037313432835820895,
A3_Zuber_alone,Hardik2016_helical,156,-10.734787187639984,76.1758877492432,1.0,
A3_Zuber_alone,Helical_R123_appendix,257,-1.768285566112024,105.88584469766185,0.04669260700389105,
B1_ML_raw,NUREG_Lowdermilk,10,0.7063607305822139,22.534834631539482,0.3,
B2_ML_dimensionless,NUREG_Lowdermilk,10,0.6012205345793598,27.947030148651177,0.4,
B3_ML_Katto_groups,NUREG_Lowdermilk,10,0.9927995158192638,3.117568134556602,0.4,
B1_ML_raw,KAERI_uniform,651,0.8162296779108127,19.907264309311227,0.5038402457757296,
B2_ML_dimensionless,KAERI_uniform,651,0.7967626211502634,21.942205640556686,0.47465437788018433,
B3_ML_Katto_groups,KAERI_uniform,651,0.5372710352740568,35.67119379878102,0.5852534562211982,
B1_ML_raw,KAERI_nonuniform,888,-2.9538387445150844,357.6701707872251,0.010135135135135136,
B2_ML_dimensionless,KAERI_nonuniform,888,-2.7753866843533337,339.65233050920045,0.01463963963963964,
B3_ML_Katto_groups,KAERI_nonuniform,888,-0.07707267972764043,112.59060138736001,0.021396396396396396,
B1_ML_raw,Pioro2002_R134a,268,-20.277404010796555,3631.8952157258373,0.0,
B2_ML_dimensionless,Pioro2002_R134a,268,-0.0713783208093759,113.795144205251,0.026119402985074626,
B1_ML_raw,Hardik2016_helical,156,-0.7486636871354995,49.062299355846406,0.6474358974358975,
B2_ML_dimensionless,Hardik2016_helical,156,-17.217402171955523,82.60428720700513,1.0,
B1_ML_raw,Helical_R123_appendix,257,-19.589976690496297,795.6132852366619,0.007782101167315175,
B2_ML_dimensionless,Helical_R123_appendix,257,-1.8619375270619227,80.61716827127177,0.45136186770428016,
C1_resid_bound1.5,NUREG_Lowdermilk,10,-3.931117559542563,61.643116141607976,1.0,
C2_resid_bound2,NUREG_Lowdermilk,10,-1.7676612399014013,48.857488188810635,1.0,
C3_resid_bound3,NUREG_Lowdermilk,10,0.06378216887448884,24.2036318758229,0.8,
C4_resid_unbounded,NUREG_Lowdermilk,10,0.9943784119146378,2.720726079897423,0.7,
C1_resid_bound1.5,KAERI_uniform,651,0.38289529419646606,35.31598161145509,0.8417818740399385,
C2_resid_bound2,KAERI_uniform,651,0.587508705730929,28.496840550197568,0.6620583717357911,
C3_resid_bound3,KAERI_uniform,651,0.5761733621610178,31.08227501022921,0.6067588325652842,
C4_resid_unbounded,KAERI_uniform,651,0.4967416122062628,37.62118980876991,0.6036866359447005,
C1_resid_bound1.5,KAERI_nonuniform,888,0.7042651388033772,42.804788314410395,0.11261261261261261,
C2_resid_bound2,KAERI_nonuniform,888,0.33436407482096764,79.30893176986017,0.03153153153153153,
C3_resid_bound3,KAERI_nonuniform,888,-0.187518504359669,121.878915469241,0.013513513513513514,
C4_resid_unbounded,KAERI_nonuniform,888,-0.30907300142783267,131.5798731276164,0.012387387387387387,
D1_correlation_as_feature,NUREG_Lowdermilk,10,0.9898978939133585,3.9607031555752403,0.3,
D1_correlation_as_feature,KAERI_uniform,651,0.6127705894216748,30.098601104466916,0.5407066052227343,
D1_correlation_as_feature,KAERI_nonuniform,888,-1.0259041072024795,185.43903514027306,0.010135135135135136,
E1_blend_k1,NUREG_Lowdermilk,10,-1.9759042132061966,54.46598532175193,1.0,
E2_blend_k2,NUREG_Lowdermilk,10,0.0890068137773039,35.633909410509865,1.0,
E3_blend_k0.5,NUREG_Lowdermilk,10,-5.833164741353423,69.06844912198726,1.0,
E_diag_mean_novelty,L1_NUREG_Lowdermilk,10,,,,1.3294287340566795
E1_blend_k1,KAERI_uniform,651,0.2675612182521938,39.73081240559303,0.9109062980030722,
E2_blend_k2,KAERI_uniform,651,0.46677981076047315,35.731074512587824,0.8571428571428571,
E3_blend_k0.5,KAERI_uniform,651,-0.10551429508171983,46.15757009088798,0.9339477726574501,
E_diag_mean_novelty,L2_KAERI_uniform,651,,,,0.9008186677140234
E1_blend_k1,KAERI_nonuniform,888,0.7892389733445825,29.597493166958273,0.24324324324324326,
E2_blend_k2,KAERI_nonuniform,888,0.5919152146436406,53.07572193949655,0.061936936936936936,
E3_blend_k0.5,KAERI_nonuniform,888,0.8345406106083435,22.029153968981127,0.5709459459459459,
E_diag_mean_novelty,L3_KAERI_nonuniform,888,,,,1.5980835498962678
F1_regime_split,NUREG_Lowdermilk,10,0.6029712484024322,27.689498500391206,0.5,
F1_regime_split,KAERI_uniform,651,0.8090789345187285,21.139690768540444,0.4423963133640553,
F1_regime_split,KAERI_nonuniform,888,-2.9527120474332373,355.76818948779277,0.01126126126126126,
F1_regime_split,Pioro2002_R134a,268,-0.07963501018193164,114.52339228362023,0.033582089552238806,
F1_regime_split,Hardik2016_helical,156,-17.09982383423084,82.45650187848955,1.0,
F1_regime_split,Helical_R123_appendix,257,-1.8858206184081006,81.71494324387957,0.45136186770428016,
