target_mode,activation,arch,lam_mono,lam_zuber,proxy_log_r2_mean,proxy_log_r2_std,proxy_raw_r2_mean,proxy_raw_r2_std,proxy_mape_mean
direct,tanh,16x8,0.3,0.0,0.958215788831988,0.023533013985751482,0.9226323770880838,0.01582738507526234,20.864014160946738
direct,tanh,16x8,0.0,0.0,0.9582137715819558,0.023535985903458203,0.9226275384411327,0.015823815191311746,20.864357403820723
direct,tanh,16x8,0.0,0.1,0.9555897475412403,0.023019769099521276,0.9260845309279798,0.016557712975139794,21.082628259659053
direct,tanh,16x8,0.3,0.1,0.9555854205427678,0.023012492278950025,0.9260908109665811,0.01655856806523295,21.08471500923159
residual,silu,16x8,0.0,0.0,0.9228179356309921,0.001213241254055522,0.9443465584376943,0.0012857456037425677,9.282875447735483
residual,silu,16x8,0.3,0.0,0.9224716814919717,0.0008494253658722369,0.946076038538845,0.0018254990483244787,9.016642829546308
residual,silu,16x8,0.0,0.1,0.9217512155810457,0.000281522931426275,0.9437212975338367,0.0020786205894563416,8.599901492949488
residual,silu,16x8,0.3,0.1,0.921750063271808,0.0002824993798063588,0.9440926874121237,0.0015271737654083376,8.608402939591539
residual,tanh,16x8,0.0,0.1,0.9213375140364594,0.0008487720859613255,0.9430477106178058,0.00329376363368321,8.580441136671038
residual,tanh,16x8,0.3,0.1,0.9213373219775131,0.0008487967084615395,0.9430521660444928,0.0032899186241851035,8.580573448040075
residual,tanh,16x8,0.0,0.0,0.9213361102319524,0.0008513781940267498,0.9430436333154789,0.0033009982247688987,8.580610240855341
residual,tanh,16x8,0.3,0.0,0.9213359146126171,0.0008514007073672889,0.9430480863965915,0.0032971387430678614,8.580743528595216
direct,silu,16x8,0.3,0.1,0.8960157809682563,0.018318620899286504,0.8292941857627236,0.06745462433584996,32.36509398326038
direct,silu,16x8,0.0,0.1,0.8960079092808346,0.018323440324996533,0.8293274843123184,0.06742192798364545,32.36516680904084
direct,silu,16x8,0.0,0.0,0.8955058576430919,0.017783570075238824,0.8377603290782348,0.05973513184736356,32.37801704075574
direct,silu,16x8,0.3,0.0,0.8955009229574354,0.01778626824136605,0.8377220970043368,0.0597515242464442,32.379498716682946
