table,fluid,geometry,tube_d_mm,heated_length_mm,P_bar,inlet_temperature_C,G_kg_m2_s,X,CHF_kW_m2,coil,heat_supply_W
D.1,R123,straight,5.5,500.0,1.99,33.5,400.5,0.624,126.8,,
D.1,R123,straight,5.5,500.0,1.83,32.5,431.5,0.577,130.3,,
D.1,R123,straight,5.5,500.0,2.17,33.2,835.2,0.375,184.3,,
D.1,R123,straight,5.5,500.0,2.46,33.0,854.3,0.346,181.4,,
D.1,R123,straight,5.5,500.0,2.71,33.7,1054.9,0.299,210.1,,
D.1,R123,straight,5.5,500.0,2.48,33.4,1255.8,0.289,242.4,,
D.1,R123,straight,5.5,500.0,2.95,33.9,1281.7,0.26,243.4,,
D.1,R123,straight,5.5,500.0,2.65,34.1,1479.3,0.245,262.9,,
D.1,R123,straight,5.5,1000.0,2.02,32.8,416.4,0.81,83.8,,
D.1,R123,straight,5.5,1000.0,2.59,33.7,880.0,0.548,133.1,,
D.1,R123,straight,5.5,1000.0,2.59,33.7,898.0,0.501,126.7,,
D.1,R123,straight,5.5,1000.0,2.82,33.4,1055.9,0.485,149.6,,
D.1,R123,straight,5.5,1000.0,2.78,33.4,1078.7,0.443,142.4,,
D.1,R123,straight,5.5,1000.0,3.12,34.5,1312.1,0.427,173.4,,
D.1,R123,straight,5.5,1000.0,3.19,34.6,1327.1,0.45,183.0,,
D.1,R123,straight,7.5,500.0,1.83,31.7,448.1,0.546,158.4,,
D.1,R123,straight,7.5,500.0,2.05,32.3,665.9,0.462,209.4,,
D.1,R123,straight,7.5,500.0,2.04,29.3,682.7,0.389,217.9,,
D.1,R123,straight,7.5,500.0,2.08,28.2,687.5,0.282,172.2,,
D.1,R123,straight,7.5,500.0,2.17,30.4,979.0,0.328,247.8,,
D.1,R123,straight,7.5,500.0,2.39,31.0,1151.5,0.33,301.6,,
D.1,R123,straight,7.5,500.0,2.55,29.9,1162.0,0.251,290.3,,
D.1,R123,straight,7.5,500.0,2.37,31.0,1175.6,0.316,292.6,,
D.1,R123,straight,7.5,500.0,2.64,31.2,1619.8,0.16,328.3,,
D.1,R123,straight,7.5,500.0,2.92,31.2,1643.8,0.152,337.3,,
D.1,R123,straight,7.5,1000.0,2.04,29.9,381.8,0.849,107.0,,
D.1,R123,straight,7.5,1000.0,2.03,29.9,386.0,0.82,102.9,,
D.1,R123,straight,7.5,1000.0,2.32,29.5,531.8,0.722,130.2,,
D.1,R123,straight,7.5,1000.0,2.31,29.5,543.1,0.704,132.9,,
D.1,R123,straight,7.5,1000.0,2.2,29.0,684.1,0.492,143.8,,
D.1,R123,straight,7.5,1000.0,2.22,29.0,719.7,0.488,136.7,,
D.1,R123,straight,7.5,1000.0,2.19,29.0,720.3,0.461,130.7,,
D.1,R123,straight,7.5,1000.0,2.6,29.9,753.1,0.549,155.0,,
D.1,R123,straight,7.5,1000.0,2.54,29.8,763.9,0.492,144.0,,
D.1,R123,straight,7.5,1000.0,2.66,30.0,1152.9,0.337,177.0,,
D.1,R123,straight,7.5,1000.0,2.44,30.0,1163.2,0.35,180.5,,
D.1,R123,straight,9.5,500.0,1.62,28.8,406.2,0.197,89.4,,
D.1,R123,straight,9.5,500.0,1.65,29.6,427.6,0.187,88.4,,
