dataset,n,split,train_source,test_source,seeds,n_test_mean,n_train_mean,R2_mean,within_10pct_mean,within_20pct_mean,MAPE_pct_mean,RMSE_mean,safe_side_frac_mean,coverage90_mean,R2_sd,within_10pct_sd,coverage90_sd,R2_median,R2_worst,trust_mean
D1_NRC,24443,80/20,same dataset,same dataset,10,4888.6,19554.4,0.9935474901812148,0.9618501535889562,0.9895473154794153,3.2178296334571295,127.98789410669808,0.5077956160676084,0.946528518817669,0.0006240229678270834,0.002692720433001682,0.0016616915739110496,,,
D1_NRC,24443,70/30,same dataset,same dataset,10,7332.9,17110.1,0.9932495081856768,0.9583928806152077,0.9896492611762255,3.299972631112815,130.5489969209246,0.5043844187246943,0.950428809415772,0.0006809582035481306,0.002962081269580167,0.005225363072496055,,,
D1_NRC,24443,GROUPED: unseen lab (60 refs),"same dataset, other groups",held-out group,10,2444.3,21998.7,0.9759441108054178,0.8388954831321973,0.9606339064651014,6.786179565523203,217.97084497826398,0.520920660349625,0.769552820997377,0.013623346258678039,0.07565972304153565,0.05362694533516149,0.9819825631600678,0.9528735540416382,
D1_NRC,24443,LODO (unseen dataset),other 7 datasets,this dataset,5,24443.0,4139.0,0.9443016863637437,0.469876856359694,0.7780223376835904,16.275893476677464,376.10371914019214,0.33668534958883933,0.995229718119707,0.004712592302771864,0.013626308593596922,0.000635512581948634,,,0.46200928445879363
D2_Zhao2020,1864,80/20,same dataset,same dataset,10,370.8,1493.2,0.851284130438615,0.6354783738960721,0.8471470071858274,10.876027034777064,784.8860874644722,0.4978933051183695,0.9566329607245656,0.027656649510253838,0.01993982863029016,0.007713728445336577,,,
D2_Zhao2020,1864,70/30,same dataset,same dataset,10,562.0,1302.0,0.8425135119721878,0.6282222972463211,0.8447493818308656,11.02049741454648,788.5204333072816,0.4997846358752363,0.9614176293662793,0.024932348737935685,0.012307397964785178,0.011704792172060286,,,
D2_Zhao2020,1864,GROUPED: unseen lab (10 authors),"same dataset, other groups",held-out group,10,186.4,1677.6,-0.08287013810415114,0.31461136871202156,0.495541862786424,27.334789265099793,1465.5016824656896,0.3889393149109561,0.8799231129828481,0.9098394458146238,0.18317587523052795,0.13747292115459667,0.2698980097872822,-1.947823356842329,
D2_Zhao2020,1864,LODO (unseen dataset),other 7 datasets,this dataset,5,1864.0,26718.0,-0.4294533511340627,0.07650214592274678,0.14184549356223175,46.661860290226365,2370.9239265721,0.9415236051502147,0.13744635193133048,0.023290723051298742,0.006320462006447702,0.0016272264901398099,,,0.0007560939082256404
D3_KAERI_uniform,651,80/20,same dataset,same dataset,10,129.6,521.4,0.9277185985771854,0.8850951125920059,0.92601414740062,31.346092746051244,355.43509784259754,0.4931891281687128,0.9283338568053638,0.0367729328963359,0.026826059157932926,0.03274807162189433,,,
D3_KAERI_uniform,651,70/30,same dataset,same dataset,10,195.1,455.9,0.9347043335371581,0.8836512432094171,0.922615568035303,31.13165850685396,352.03091816175294,0.4987387992468994,0.9221288848608437,0.03434098526629984,0.02347464637778238,0.04256320381481701,,,
