dataset,n,fluid,geometry,form,model,split,n_seeds,n_test_mean,n_train_mean,R2_mean,within_10pct_mean,within_20pct_mean,MAPE_pct_mean,RMSE_mean,safe_side_frac_mean,R2_sd,within_10pct_sd,MAPE_pct_sd
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,Linear,80/20,20,11.0,44.0,0.7666787894779855,0.42727272727272736,0.809090909090909,12.51033998531673,34.9312812352624,0.5409090909090908,0.11640582273282528,0.12890275390852696,2.2899981264464895
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,Linear,70/30,20,17.0,38.0,0.7658819810177382,0.4588235294117647,0.8147058823529413,12.135665113752335,36.07421809564691,0.5176470588235295,0.1356657106118906,0.09271399125322498,1.8926972118235923
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,Poly2_Ridge,80/20,20,11.0,44.0,0.9578716132216076,0.8499999999999999,1.0,5.255571622441034,14.028790416943432,0.509090909090909,0.024362612884969038,0.06774180185187222,1.292455591086579
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,Poly2_Ridge,70/30,20,17.0,38.0,0.9566966254441104,0.8352941176470589,0.9911764705882353,5.658307031460035,15.60034026353373,0.49117647058823544,0.022784932661213328,0.0965626684315439,1.4206143063337766
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,kNN_k5,80/20,20,11.0,44.0,0.7976343931577364,0.48636363636363644,0.8136363636363635,14.786061844145383,30.24714763475277,0.4999999999999999,0.15641973405779586,0.11898877975913923,6.111767494697343
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,kNN_k5,70/30,20,17.0,38.0,0.7938139348442271,0.44411764705882356,0.7529411764705883,16.586803214747672,34.04078693561598,0.5323529411764706,0.07757240125031349,0.10707107064300606,4.0705435874528835
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,RandomForest,80/20,20,11.0,44.0,0.8743725313691904,0.5681818181818181,0.8454545454545453,10.707881615124752,24.084719651761823,0.5727272727272726,0.08250119020909685,0.13149192424556264,2.789451413767759
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,RandomForest,70/30,20,17.0,38.0,0.8494966265663313,0.5117647058823529,0.7911764705882354,12.368914931301218,28.779598314823765,0.5470588235294118,0.08978761486557392,0.1208541205270638,2.6489011097746284
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,ExtraTrees,80/20,20,11.0,44.0,0.9307016777354967,0.7818181818181819,0.9272727272727274,7.246198598902583,17.688396674283325,0.5181818181818182,0.05463415512973717,0.14569358348836942,3.791842606069015
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,ExtraTrees,70/30,20,17.0,38.0,0.928769777775147,0.7617647058823529,0.9205882352941177,7.897962414383009,19.592833010336584,0.5529411764705883,0.04793699196874319,0.10875866194882224,3.3722830028079813
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,HistGB,80/20,20,11.0,44.0,0.6937893364512142,0.3636363636363636,0.6772727272727271,17.04674667594595,38.38816867743252,0.5818181818181818,0.18649579682321898,0.1142328840795533,4.523333665669336
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,HistGB,70/30,20,17.0,38.0,-0.24099873179023773,0.10294117647058823,0.2852941176470588,39.86105795868038,84.99473814733332,0.5205882352941176,0.2737823475408688,0.06847986489348193,5.806838278877655
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,SVR_RBF,80/20,20,11.0,44.0,0.9437300784676573,0.8227272727272726,0.9590909090909092,6.003999273069,16.476915599909738,0.5818181818181818,0.04928325524987603,0.1546017347565501,2.7511034946695867
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,SVR_RBF,70/30,20,17.0,38.0,0.9163311221113908,0.7823529411764706,0.9294117647058824,6.967352662207871,20.949220443781197,0.5676470588235293,0.06877483076166818,0.14037439856323705,2.7539636969864776
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,MLP,80/20,20,11.0,44.0,-33.14866523413716,0.1590909090909091,0.2954545454545454,92.79222540286227,305.1262074137115,0.5409090909090909,80.66801144732935,0.23200808433365472,83.34711407488729
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,MLP,70/30,20,17.0,38.0,-78.59574012417913,0.18235294117647055,0.2911764705882353,117.52461619004586,483.12201889625373,0.49411764705882355,157.63783813689645,0.2224841128645918,105.6097429043158
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,XGBoost,80/20,20,11.0,44.0,0.9220889887088293,0.709090909090909,0.9272727272727271,8.143336053990536,19.065751210547102,0.6545454545454545,0.05822363943233323,0.146289469752329,2.4320765141994345
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,XGBoost,70/30,20,17.0,38.0,0.8840354038532965,0.6235294117647059,0.873529411764706,9.81690085228561,24.467108876668522,0.6117647058823529,0.08642764554388074,0.13946328945571845,2.6354443299666452
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,LightGBM,80/20,20,11.0,44.0,0.6710954590374523,0.3681818181818181,0.6409090909090909,17.785739274138745,39.40133153610148,0.5999999999999999,0.2194519692938829,0.10827043935570554,4.948770322341251
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,LightGBM,70/30,20,17.0,38.0,-0.24099872998904326,0.10294117647058823,0.2852941176470588,39.86105763410339,84.9947381424032,0.5205882352941176,0.27378233838528726,0.06847986489348193,5.80683827585518
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,CatBoost,80/20,20,11.0,44.0,0.9044512169684621,0.7954545454545454,0.931818181818182,7.313695267742394,21.078146759193878,0.5590909090909092,0.07435376121545423,0.10986566988712951,2.7152681767614553
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,CatBoost,70/30,20,17.0,38.0,0.8877816165669593,0.7323529411764705,0.9088235294117648,8.459387290149865,24.291711010597563,0.5441176470588236,0.07154015818461047,0.13956119279487725,3.171043893074813
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,GPR_Matern,80/20,20,11.0,44.0,0.985598301487513,0.9636363636363636,1.0,3.085493857492451,8.168064527003576,0.47272727272727266,0.009153336438882297,0.04569315363182134,0.7724265222651
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,GPR_Matern,70/30,20,17.0,38.0,0.9841330272597906,0.95,1.0,3.5286467027765576,9.313029493747186,0.5,0.008848136504181599,0.08158643728724772,1.2207587575350902
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,Linear,80/20,20,11.0,44.0,0.7527732096480089,0.5681818181818181,0.7909090909090908,13.026000774621295,35.30473021714616,0.6045454545454545,0.10206777089605411,0.1441176601131965,2.737533382882573
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,Linear,70/30,20,17.0,38.0,0.7729388335693753,0.5,0.7794117647058825,13.665754716277004,35.85703632517205,0.6029411764705882,0.08618913014620502,0.1301414833249765,2.379285757810368
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,Poly2_Ridge,80/20,20,11.0,44.0,0.831473288114907,0.5954545454545455,0.8454545454545455,10.597591623929267,28.621841184295295,0.509090909090909,0.0972582188978427,0.15176215910449864,3.173038040422764
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,Poly2_Ridge,70/30,20,17.0,38.0,0.8215406975437987,0.5647058823529412,0.8088235294117647,11.309103275841073,31.682131921585903,0.488235294117647,0.09877724738088703,0.10863300198548692,2.538496720411358
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,kNN_k5,80/20,20,11.0,44.0,0.8110271214947181,0.5318181818181817,0.7772727272727272,13.599672766758918,29.050504650064973,0.6090909090909091,0.15438044332788556,0.14531991376949352,5.11896826796208
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,kNN_k5,70/30,20,17.0,38.0,0.8149653648542333,0.49411764705882344,0.7470588235294118,15.16940768978316,32.548299088695146,0.5911764705882352,0.05920097919358917,0.14459231869931377,3.796500810734778
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,RandomForest,80/20,20,11.0,44.0,0.9079982083429424,0.6863636363636363,0.8818181818181816,8.974255138774078,20.893334960126477,0.5681818181818181,0.058844464695438185,0.1366822434249658,2.180187810806998
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,RandomForest,70/30,20,17.0,38.0,0.8722540822128657,0.6205882352941177,0.8382352941176471,10.701998983364694,26.177086577811878,0.5852941176470587,0.09287557797210755,0.13287650143285637,2.480803059102275
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,ExtraTrees,80/20,20,11.0,44.0,0.9303593116629388,0.7545454545454544,0.9363636363636363,7.439774156969537,17.639322571651796,0.5454545454545453,0.05742176155324765,0.11075289024140503,3.651818989276379
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,ExtraTrees,70/30,20,17.0,38.0,0.9282346215258631,0.7235294117647058,0.9235294117647059,8.248293293243265,19.69549409565827,0.538235294117647,0.04697065964861544,0.10295223293122593,3.228635616204641
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,HistGB,80/20,20,11.0,44.0,0.7040034640580344,0.36818181818181805,0.6954545454545454,16.7041172864759,37.39519781534973,0.6227272727272727,0.19849173423024066,0.09546024134293281,4.862117113122138
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,HistGB,70/30,20,17.0,38.0,-0.24099873179023773,0.10294117647058823,0.2852941176470588,39.86105795868038,84.99473814733332,0.5205882352941176,0.2737823475408688,0.06847986489348193,5.806838278877655
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,SVR_RBF,80/20,20,11.0,44.0,0.9093599024965136,0.7363636363636363,0.9181818181818182,7.887456555054795,21.104523958161597,0.5499999999999999,0.06302651730821458,0.15856029077679654,2.893941814815583
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,SVR_RBF,70/30,20,17.0,38.0,0.8851293729973561,0.6911764705882353,0.9058823529411765,8.64748500372062,25.094562373770017,0.5647058823529412,0.0834265170267689,0.16292155999543412,3.1912505841878938
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,MLP,80/20,20,11.0,44.0,-9.448674026572876,0.18636363636363634,0.3136363636363636,76.1043377505348,190.32796615201175,0.55,11.400142381841349,0.21365926783461192,47.74406326182513
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,MLP,70/30,20,17.0,38.0,-8.05417718354197,0.20294117647058824,0.38823529411764707,65.28858878009419,192.94449596815562,0.5117647058823531,12.33076638430973,0.17849713572805997,49.954990677733115
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,XGBoost,80/20,20,11.0,44.0,0.912076111490979,0.6818181818181818,0.9136363636363638,8.727773570891063,20.522632596116946,0.6136363636363636,0.05585956354876206,0.13354340418136712,2.385472732478839
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,XGBoost,70/30,20,17.0,38.0,0.8878738180453674,0.6323529411764706,0.873529411764706,9.88444940849397,24.379859600997158,0.6117647058823529,0.07736035955050888,0.09518550550862666,2.0072626504242077
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,LightGBM,80/20,20,11.0,44.0,0.6955220008295473,0.34545454545454535,0.7136363636363636,17.483596048123616,37.55274219411012,0.6181818181818182,0.2224600770208478,0.10469616762953379,5.376291103157864
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,LightGBM,70/30,20,17.0,38.0,-0.24099872998904326,0.10294117647058823,0.2852941176470588,39.86105763410339,84.9947381424032,0.5205882352941176,0.27378233838528726,0.06847986489348193,5.80683827585518
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,CatBoost,80/20,20,11.0,44.0,0.89758013597589,0.7636363636363636,0.890909090909091,8.100231224502096,21.319321868906368,0.5454545454545454,0.07678140696052725,0.1515470460848165,3.0103818414008146
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,CatBoost,70/30,20,17.0,38.0,0.867846586341404,0.6794117647058823,0.8823529411764705,9.603343247673688,26.66959022896973,0.55,0.0842007513580603,0.1369264830988209,3.3266884090213673
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,GPR_Matern,80/20,20,11.0,44.0,0.9364845756933493,0.7999999999999999,0.9590909090909092,6.688569722310352,17.37879394915766,0.509090909090909,0.039277030467602725,0.13386872355302237,1.8969632911997916
D7_Hardik_straight_R123,55,R-123,horizontal_tube,inlet,GPR_Matern,70/30,20,17.0,38.0,0.9364340989567068,0.7588235294117648,0.9470588235294117,7.2889002744332725,18.658231169204093,0.5147058823529411,0.03521096210132892,0.10435778921447256,1.8442598740623648
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,Linear,80/20,20,11.0,44.0,0.7054395446626949,0.46363636363636357,0.7681818181818181,14.35135156678183,38.964046139536656,0.5227272727272727,0.10049280321714332,0.1411442704794254,2.8905095050109804
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,Linear,70/30,20,17.0,38.0,0.7280819922287225,0.45,0.7558823529411764,14.550111079434638,39.318643598422966,0.5058823529411764,0.09794753184803381,0.11173211191668976,2.326954614818457
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,Poly2_Ridge,80/20,20,11.0,44.0,0.8706779680264903,0.6272727272727272,0.8954545454545455,9.579439755946908,24.63850933719051,0.5454545454545455,0.07611302417899206,0.11760995244213233,2.3352482651662934
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,Poly2_Ridge,70/30,20,17.0,38.0,0.8798556207461041,0.6235294117647058,0.8882352941176471,9.663094002490023,25.73396036316557,0.5294117647058825,0.06773911651407745,0.09232029949069356,1.7678655458254597
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,kNN_k5,80/20,20,11.0,44.0,0.8203492418308252,0.45,0.7909090909090909,14.731477293600458,29.247075358325606,0.5863636363636364,0.10562625792964139,0.1459173260058864,5.841382108548483
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,kNN_k5,70/30,20,17.0,38.0,0.8045075119997522,0.4617647058823529,0.7558823529411764,15.935795596483397,33.09078670441117,0.5911764705882353,0.08312123863906362,0.1211175425564576,4.107937410310058
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,RandomForest,80/20,20,11.0,44.0,0.9147170060282935,0.6818181818181817,0.9045454545454547,8.641694711567776,20.1914526214152,0.5727272727272726,0.05809842777494864,0.10837082921441271,2.130124625595013
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,RandomForest,70/30,20,17.0,38.0,0.8787869413606334,0.6088235294117647,0.85,10.289224498455827,25.340304874448123,0.5852941176470587,0.09074801055192334,0.12841581295233206,2.3831918256324114
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,ExtraTrees,80/20,20,11.0,44.0,0.9367516220354304,0.7909090909090908,0.9636363636363636,6.976094233369705,16.858454215585795,0.5954545454545453,0.051925285375529776,0.12890275390852696,3.7659889005997687
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,ExtraTrees,70/30,20,17.0,38.0,0.9368286698854146,0.7735294117647058,0.9352941176470588,7.589287577905283,18.44359764168238,0.588235294117647,0.042483700510172105,0.11960445950990585,3.2868546104172394
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,HistGB,80/20,20,11.0,44.0,0.69744288299926,0.3727272727272727,0.6954545454545454,16.760247683200014,38.101769457923076,0.6181818181818182,0.1912671423717621,0.12478777111877448,4.83014142787077
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,HistGB,70/30,20,17.0,38.0,-0.24099873179023773,0.10294117647058823,0.2852941176470588,39.86105795868038,84.99473814733332,0.5205882352941176,0.2737823475408688,0.06847986489348193,5.806838278877655
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,SVR_RBF,80/20,20,11.0,44.0,0.9169755445185341,0.7909090909090908,0.9454545454545453,7.04829160336021,20.18202351109027,0.6272727272727273,0.05896375003389648,0.11461302783933516,2.679878333139379
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,SVR_RBF,70/30,20,17.0,38.0,0.9069333568545261,0.7499999999999999,0.9294117647058824,7.70585682781542,22.602074966594977,0.6352941176470589,0.05475517406751769,0.14392955439105673,2.647950771205797
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,MLP,80/20,20,11.0,44.0,-27.7453345569097,0.1590909090909091,0.2363636363636364,100.56868813554928,318.7528915855905,0.6227272727272727,37.191716762278865,0.26524833046789753,64.03572286321085
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,MLP,70/30,20,17.0,38.0,-15.994342347353102,0.2852941176470588,0.3764705882352941,73.34079533148005,236.01760508253147,0.5588235294117647,31.867651965049436,0.2680558576407468,58.890054816880664
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,XGBoost,80/20,20,11.0,44.0,0.9214539515708198,0.740909090909091,0.9318181818181819,7.491043492425509,19.15710514913197,0.6227272727272728,0.06285426620733282,0.13280852202803475,2.1551839581177292
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,XGBoost,70/30,20,17.0,38.0,0.8942755400761205,0.6676470588235295,0.9,8.796396979823577,23.529673596068605,0.5852941176470587,0.07279672461841294,0.13396846844404378,1.907942135663278
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,LightGBM,80/20,20,11.0,44.0,0.6859937814753461,0.3363636363636363,0.6636363636363636,17.60482698845055,38.663458124951504,0.6227272727272727,0.20633262308842182,0.11461302783933516,5.291012009846185
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,LightGBM,70/30,20,17.0,38.0,-0.24099872998904326,0.10294117647058823,0.2852941176470588,39.86105763410339,84.9947381424032,0.5205882352941176,0.27378233838528726,0.06847986489348193,5.80683827585518
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,CatBoost,80/20,20,11.0,44.0,0.8966243537672526,0.7863636363636364,0.940909090909091,7.534585145772089,21.33183257784373,0.5363636363636364,0.09356139470488083,0.15403800731962083,3.0929205853415245
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,CatBoost,70/30,20,17.0,38.0,0.8954554113479377,0.7705882352941176,0.9264705882352942,8.098175802109022,23.29102530751846,0.5529411764705883,0.06818143895331787,0.14269053947776641,3.2889027053427387
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,GPR_Matern,80/20,20,11.0,44.0,0.943179960704232,0.8454545454545453,0.9681818181818181,5.946424834019569,16.09709569714837,0.5590909090909092,0.041104635452117066,0.11075289024140501,1.8409580392234774
D7_Hardik_straight_R123,55,R-123,horizontal_tube,reduced,GPR_Matern,70/30,20,17.0,38.0,0.9477769656370814,0.8147058823529412,0.9470588235294117,6.356772412500877,16.798503715333702,0.5323529411764705,0.0274011134626675,0.08593492601814011,1.6195510130004191
D6_Hardik_helical_water,156,water,helical_coil,local,Linear,80/20,20,32.0,124.0,0.9355235848959614,0.7796875,0.9546875,7.731316827863276,143.91747550188626,0.5203125,0.03388406675871707,0.06450325751668018,1.4214635341229156
D6_Hardik_helical_water,156,water,helical_coil,local,Linear,70/30,20,47.0,109.0,0.9413334002800366,0.7946808510638297,0.9542553191489362,7.595350044737931,142.67106661096165,0.5117021276595745,0.02193495949541757,0.04541077122229374,1.0070975327006513
D6_Hardik_helical_water,156,water,helical_coil,local,Linear,LOSO,6,26.0,130.0,0.8599498330511707,0.7170163479715463,0.9619948090470892,8.23719505528107,136.71093658895387,0.4851570717071392,0.13313872810739083,0.12161881125930733,2.671204897135313
D6_Hardik_helical_water,156,water,helical_coil,local,Poly2_Ridge,80/20,20,32.0,124.0,0.9580733738171958,0.8953125,0.9453125,6.706213908214403,114.60357519784984,0.5046875,0.026539545041896366,0.05485758325691603,3.3212703269283037
D6_Hardik_helical_water,156,water,helical_coil,local,Poly2_Ridge,70/30,20,47.0,109.0,0.9619757068888773,0.8893617021276597,0.9500000000000002,6.55967082313728,113.8440288583583,0.5148936170212765,0.016703030086751745,0.043984874404004407,2.0858238654363785
D6_Hardik_helical_water,156,water,helical_coil,local,Poly2_Ridge,LOSO,6,26.0,130.0,0.82742187068903,0.7694490204548662,0.8458238296947975,11.30850607150441,149.83395764018047,0.4231839852624176,0.14920078373088347,0.1776786539792499,8.369214344374248
D6_Hardik_helical_water,156,water,helical_coil,local,kNN_k5,80/20,20,32.0,124.0,0.9057606087276575,0.6953125,0.896875,11.632272672665955,177.7451531263945,0.4515625,0.030636520095489596,0.07015241278628158,4.5584276201617255
D6_Hardik_helical_water,156,water,helical_coil,local,kNN_k5,70/30,20,47.0,109.0,0.9045734031718853,0.6627659574468086,0.8904255319148936,11.92090015611734,183.6150546466765,0.47659574468085103,0.023321617193069338,0.058278578803649526,2.970462458961811
D6_Hardik_helical_water,156,water,helical_coil,local,kNN_k5,LOSO,6,26.0,130.0,0.6682377752865568,0.48304844132359337,0.8253152745673987,13.989667871610783,209.33578433829223,0.39886704197522366,0.2679200498183302,0.1685582442349815,7.224281237302911
D6_Hardik_helical_water,156,water,helical_coil,local,RandomForest,80/20,20,32.0,124.0,0.9353262606164238,0.765625,0.915625,8.371323992888657,146.59343415847817,0.4984375,0.021632988320172276,0.06531490016994994,2.1907780619353923
D6_Hardik_helical_water,156,water,helical_coil,local,RandomForest,70/30,20,47.0,109.0,0.9296596039592581,0.7446808510638298,0.9191489361702129,8.896241234061227,156.2998437101408,0.5074468085106383,0.02464268798200363,0.060179300526514684,1.4703829200108471
