dataset,n,fluid,model,split,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac,n_seeds,R2_sd
D7_Hardik_straight_R123,55,R-123,PHYS_KattoOhno,all_rows_no_fitting,55.0,0.0,0.636181943386427,0.2,0.5272727272727272,28.161430281341765,45.029881131145565,0.05454545454545454,,
D7_Hardik_straight_R123,55,R-123,PIML_dimensionless,80/20,11.0,44.0,0.8261747378841854,0.3545454545454546,0.7818181818181817,14.285275168792188,27.80400994132331,0.5,10.0,0.08001468747372123
D7_Hardik_straight_R123,55,R-123,BOUND_Katto_x1.5,80/20,11.0,44.0,0.8847506425372675,0.6272727272727274,0.8363636363636363,11.661881365138994,23.092658826570236,0.5181818181818182,10.0,0.04252886764003172
D7_Hardik_straight_R123,55,R-123,BOUND_Katto_x2.0,80/20,11.0,44.0,0.8847506425372675,0.6272727272727274,0.8363636363636363,11.661881365138994,23.092658826570236,0.5181818181818182,10.0,0.04252886764003172
D7_Hardik_straight_R123,55,R-123,BOUND_Katto_x3.0,80/20,11.0,44.0,0.8847506425372675,0.6272727272727274,0.8363636363636363,11.661881365138994,23.092658826570236,0.5181818181818182,10.0,0.04252886764003172
D7_Hardik_straight_R123,55,R-123,BOUND_Katto_unbounded,80/20,11.0,44.0,0.8847506425372675,0.6272727272727274,0.8363636363636363,11.661881365138994,23.092658826570236,0.5181818181818182,10.0,0.04252886764003172
D7_Hardik_straight_R123,55,R-123,ITER_closure_GB,80/20,11.0,44.0,0.6926583183638169,0.32727272727272727,0.6727272727272726,17.997382160671453,37.73508185400558,0.5909090909090909,10.0,0.1286822612296999
D7_Hardik_straight_R123,55,R-123,PIML_dimensionless,70/30,17.0,38.0,0.6207750281841113,0.2941176470588235,0.611764705882353,19.836264367589706,42.86797929862851,0.49411764705882355,10.0,0.15456552006790716
D7_Hardik_straight_R123,55,R-123,BOUND_Katto_x1.5,70/30,17.0,38.0,0.7834252722915315,0.4117647058823529,0.788235294117647,16.563892537930077,33.35088299660007,0.6411764705882353,10.0,0.03806661050723988
D7_Hardik_straight_R123,55,R-123,BOUND_Katto_x2.0,70/30,17.0,38.0,0.7834252722915315,0.4117647058823529,0.788235294117647,16.563892537930077,33.35088299660007,0.6411764705882353,10.0,0.03806661050723988
D7_Hardik_straight_R123,55,R-123,BOUND_Katto_x3.0,70/30,17.0,38.0,0.7834252722915315,0.4117647058823529,0.788235294117647,16.563892537930077,33.35088299660007,0.6411764705882353,10.0,0.03806661050723988
D7_Hardik_straight_R123,55,R-123,BOUND_Katto_unbounded,70/30,17.0,38.0,0.7834252722915315,0.4117647058823529,0.788235294117647,16.563892537930077,33.35088299660007,0.6411764705882353,10.0,0.03806661050723988
