held_out,arm,target,actual
D1_NRC,PIPE,0.9,0.9952542650247514
D1_NRC,PIPE_nospread,0.9,0.9911222026756127
D2_Zhao2020,PIPE,0.9,0.12439678284182305
D2_Zhao2020,PIPE_nospread,0.9,0.12278820375335121
D3_KAERI_uniform,PIPE,0.9,0.6589861751152074
D3_KAERI_uniform,PIPE_nospread,0.9,0.6589861751152074
D4_KAERI_nonuniform,PIPE,0.9,0.5484234234234234
D4_KAERI_nonuniform,PIPE_nospread,0.9,0.5484234234234234
D5_Helical_R123,PIPE,0.9,0.48638132295719844
D5_Helical_R123,PIPE_nospread,0.9,0.48638132295719844
D6_Hardik_helical_water,PIPE,0.9,0.7307692307692307
D6_Hardik_helical_water,PIPE_nospread,0.9,0.7243589743589743
D7_Hardik_straight_R123,PIPE,0.9,0.6
D7_Hardik_straight_R123,PIPE_nospread,0.9,0.6
D8_Pioro_R134a,PIPE,0.9,0.3694029850746269
D8_Pioro_R134a,PIPE_nospread,0.9,0.3694029850746269
