split,model,target,r2,mape
B,Linear,raw,0.6151060874679115,362.6698888694324
B,Linear,log,0.8469409786787854,47.241736541751955
B,Poly2_Ridge,raw,0.8638868601627592,222.73480542883988
B,Poly2_Ridge,log,0.8707118446752273,34.906574676384125
B,Poly4_Ridge,raw,0.9827552069419215,73.9762782166956
B,Poly4_Ridge,log,0.9471006261191183,21.712753099035798
B,KNN_k3,raw,0.9904974272049099,8.549469594328777
B,KNN_k3,log,0.9906357085972357,8.031915857674983
B,RandomForest,raw,0.9877350525949209,11.063583436641531
B,RandomForest,log,0.9873812089430165,10.845662198166787
B,ExtraTrees,raw,0.9989298275029993,2.8686700533913045
B,ExtraTrees,log,0.9986168407959657,2.906213506504198
B,XGBoost,raw,0.987951044140495,13.96083446359621
B,XGBoost,log,0.9876268916175592,11.027294848336435
B,LightGBM,raw,0.9881196137148369,12.91387272590036
B,LightGBM,log,0.9878733529475052,10.801079394266054
B,GPR_Matern52,raw,0.997244158553514,9.1390062386259
B,GPR_Matern52,log,0.9954633443492915,5.463941954032374
B,MLP,raw,0.9893400499397433,31.928712996857534
B,MLP,log,0.9885770005606637,7.569048814531966
B,GridInterp,raw,0.9989624031151958,2.8012538568902787
B,GridInterp,log,0.9986797623051085,2.8694540876407895
