iter	RMSE
0	0.8487810244
1	0.821033352
2	0.7939555009
3	0.7688868434
4	0.7444722884
5	0.7210411358
6	0.6991445614
7	0.6781776245
8	0.6584044001
9	0.6383012742
10	0.6212118309
11	0.6040829052
12	0.5884555956
13	0.5731771801
14	0.559176432
15	0.5455074248
16	0.5321929326
17	0.5197535443
18	0.5076426538
19	0.4961752595
20	0.4866349832
21	0.4765721854
22	0.4671584133
23	0.4581434156
24	0.4501344753
25	0.44234282
26	0.4348357826
27	0.4278779113
28	0.4215411045
29	0.4149951782
30	0.409043806
31	0.4037450911
32	0.3984774966
33	0.3937515861
34	0.3891778886
35	0.3844629934
36	0.3800792426
37	0.3759118024
38	0.3723301702
39	0.3685622483
40	0.3651627543
41	0.3619145138
42	0.3586250388
43	0.3556485157
44	0.3529900639
45	0.350197054
46	0.3478283542
47	0.3453463801
48	0.3430373295
49	0.3408960633
50	0.3386959158
51	0.336807791
52	0.3341433124
53	0.332069335
54	0.3302548956
55	0.3284081288
56	0.3266253265
57	0.3250800486
58	0.3235813147
59	0.3221968623
60	0.3208784792
61	0.3192840294
62	0.3180609356
63	0.3169658294
64	0.3157577554
65	0.3145472858
66	0.3134594998
67	0.3121109213
68	0.3112597867
69	0.310365529
70	0.3091675334
71	0.3083409156
72	0.3074855436
73	0.3067473841
74	0.3056466037
75	0.3046690141
76	0.3038265753
77	0.3030466011
78	0.302396142
79	0.3017218376
80	0.3011341748
81	0.300507934
82	0.2998202304
83	0.2989684337
84	0.2983304884
85	0.2977174412
86	0.2968518332
87	0.2962485571
88	0.2955968999
89	0.2951256045
90	0.2946543752
91	0.2942547087
92	0.293387226
93	0.2928576613
94	0.2924594438
95	0.2917647706
96	0.2912363754
97	0.2907846999
98	0.2901889572
99	0.2898985868
100	0.2894646675
101	0.2891086436
102	0.2888065938
103	0.2883112397
104	0.2878634753
105	0.2874431018
106	0.2871550499
107	0.2868527308
108	0.286212636
109	0.2859587457
110	0.2853618918
111	0.2850815615
112	0.2848437666
113	0.2845031659
114	0.2842937593
115	0.2840581533
116	0.283663221
117	0.2834210448
118	0.2832075628
119	0.2826686896
120	0.2823899692
121	0.2819167466
122	0.2816307665
123	0.2813549168
124	0.2810633481
125	0.2806077213
126	0.2804457968
127	0.2798959305
128	0.2796486879
129	0.2793585255
130	0.2792148669
131	0.2789292164
132	0.2786053106
133	0.2783455502
134	0.2780100695
135	0.2777460614
136	0.2774674536
137	0.2772642235
138	0.2771279328
139	0.2768326498
140	0.276530298
141	0.276372034
142	0.2762481823
143	0.2760995549
144	0.2759813315
145	0.2756958896
146	0.2753066015
147	0.2748538931
148	0.2746997952
149	0.2745866143
150	0.2742647453
151	0.2739981242
152	0.2738440361
153	0.2736238275
154	0.2731955948
155	0.2728861837
156	0.2725137022
157	0.2723090796
158	0.2720776127
159	0.2719172724
160	0.2715375308
161	0.2713097441
162	0.271052021
163	0.2708248084
164	0.2705944509
165	0.2703583015
166	0.2701634067
167	0.2699677002
168	0.269790412
169	0.2696035427
170	0.2694439992
171	0.2693108306
172	0.2689695122
173	0.2687304481
174	0.2685207077
175	0.2683934605
176	0.2682778338
177	0.2680276991
178	0.267876181
179	0.2675869467
180	0.2675000636
181	0.2673309691
182	0.2671178446
183	0.2669803567
184	0.2667663696
185	0.2665358212
186	0.2663330297
187	0.266206974
188	0.2660277075
189	0.2657910727
190	0.2656079188
191	0.2654324127
192	0.2651754743
193	0.2650238961
194	0.2648858123
195	0.2647011475
196	0.2646126756
197	0.2644525299
198	0.264348363
199	0.264195598
200	0.2639894031
201	0.2638868919
202	0.2637143004
203	0.2635754243
204	0.2633994422
205	0.2632810097
206	0.2631280773
207	0.2630461892
208	0.2629057856
209	0.2627070987
210	0.2625919419
211	0.2624580978
212	0.2622443106
213	0.2620942319
214	0.2619811392
215	0.2618283838
216	0.2616541559
217	0.2615395701
218	0.2614543098
219	0.2613685849
