Sr_no,Coil_No,L_mm,G_kg_m2s,P_bar,xe,Q_W,CHF_kW_m2,CHF_ratio
1,Coil_1,503.5,568,4.33,0.410,22054,2324,1.260
2,Coil_1,503.5,569,4.38,0.434,22896,2412,1.352
3,Coil_1,503.5,576,4.11,0.374,21000,2213,1.175
4,Coil_1,503.5,589,3.97,0.363,21000,2213,1.172
5,Coil_1,503.5,590,4.25,0.387,22054,2324,1.227
6,Coil_1,503.5,753,4.91,0.356,27104,2856,1.465
7,Coil_1,503.5,760,4.83,0.311,25281,2664,1.324
8,Coil_1,503.5,779,4.83,0.332,26862,2830,1.405
9,Coil_1,503.5,811,4.91,0.276,25281,2664,1.161
10,Coil_1,503.5,855,4.75,0.242,24824,2616,1.005
11,Coil_1,503.5,929,4.45,0.207,24824,2616,0.894
12,Coil_1,722.7,272,2.64,0.809,16783,1232,1.979
13,Coil_1,722.7,338,3.22,0.762,20008,1469,2.082
14,Coil_1,722.7,352,3.04,0.746,20501,1505,2.089
15,Coil_1,722.7,455,3.94,0.675,24752,1817,1.989
16,Coil_1,722.7,555,4.75,0.661,30000,2202,2.387
17,Coil_1,722.7,592,4.70,0.604,30000,2202,1.962
18,Coil_1,722.7,743,5.60,0.528,34668,2545,1.693
19,Coil_1,722.7,744,5.48,0.519,34240,2513,1.626
20,Coil_1,722.7,784,5.42,0.480,34240,2513,1.455
21,Coil_1,722.7,878,5.57,0.389,33696,2474,1.155
22,Coil_1,722.7,881,5.48,0.391,33904,2489,1.191
23,Coil_1,722.7,1081,5.96,0.322,37496,2752,0.963
24,Coil_1,845,228,2.69,0.893,15300,961,2.020
25,Coil_1,845,235,2.62,0.862,15300,961,1.832
26,Coil_1,845,300,3.47,0.862,19686,1236,2.219
27,Coil_1,845,312,3.47,0.824,19686,1236,2.005
28,Coil_1,855,354,3.47,0.766,21141,1312,1.899
29,Coil_1,845,417,4.51,0.772,25249,1585,2.418
30,Coil_1,845,440,4.47,0.718,25249,1585,2.106
31,Coil_1,855,506,4.81,0.735,29646,1839,2.671
32,Coil_1,845,579,5.52,0.631,30550,1918,1.789
33,Coil_1,855,581,4.80,0.640,30738,1907,1.940
34,Coil_1,845,593,6.31,0.743,35400,2223,3.322
35,Coil_1,845,629,6.23,0.670,34825,2186,2.519
36,Coil_1,845,635,6.16,0.661,34825,2186,2.464
37,Coil_1,845,640,6.32,0.668,35400,2223,2.580
38,Coil_1,845,657,6.36,0.644,35400,2223,2.407
