Sr_no,D_mm,L_mm,P_bar,Tin_C,G_kg_m2s,xe,CHF_kW_m2
1,5.5,500,1.99,33.5,400.5,0.624,126.8
2,5.5,500,1.83,32.5,431.5,0.577,130.3
3,5.5,500,2.17,33.2,835.2,0.375,184.3
4,5.5,500,2.46,33.0,854.3,0.346,181.4
5,5.5,500,2.71,33.7,1054.9,0.299,210.1
6,5.5,500,2.48,33.4,1255.8,0.289,242.4
7,5.5,500,2.95,33.9,1281.7,0.260,243.4
8,5.5,500,2.65,34.1,1479.3,0.245,262.9
9,5.5,1000,2.02,32.8,416.4,0.810,83.8
10,5.5,1000,2.59,33.7,880.0,0.548,133.1
11,5.5,1000,2.59,33.7,898.0,0.501,126.7
12,5.5,1000,2.82,33.4,1055.9,0.485,149.6
13,5.5,1000,2.78,33.4,1078.7,0.443,142.4
14,5.5,1000,3.12,34.5,1312.1,0.427,173.4
15,5.5,1000,3.19,34.6,1327.1,0.450,183.0
16,7.5,500,1.83,31.7,448.1,0.546,158.4
17,7.5,500,2.05,32.3,665.9,0.462,209.4
18,7.5,500,2.04,29.3,682.7,0.389,217.9
19,7.5,500,2.08,28.2,687.5,0.282,172.2
20,7.5,500,2.17,30.4,979.0,0.328,247.8
21,7.5,500,2.39,31.0,1151.5,0.330,301.6
22,7.5,500,2.55,29.9,1162.0,0.251,290.3
23,7.5,500,2.37,31.0,1175.6,0.316,292.6
24,7.5,500,2.64,31.2,1619.8,0.160,328.3
25,7.5,500,2.92,31.2,1643.8,0.152,337.3
26,7.5,1000,2.04,29.9,381.8,0.849,107.0
27,7.5,1000,2.03,29.9,386.0,0.820,102.9
28,7.5,1000,2.32,29.5,531.8,0.722,130.2
29,7.5,1000,2.31,29.5,543.1,0.704,132.9
30,7.5,1000,2.20,29.0,684.1,0.492,143.8
31,7.5,1000,2.22,29.0,719.7,0.488,136.7
32,7.5,1000,2.19,29.0,720.3,0.461,130.7
33,7.5,1000,2.60,29.9,753.1,0.549,155.0
34,7.5,1000,2.54,29.8,763.9,0.492,144.0
35,7.5,1000,2.66,30.0,1152.9,0.337,177.0
36,7.5,1000,2.44,30.0,1163.2,0.350,180.5
37,9.5,500,1.62,28.8,406.2,0.197,89.4
38,9.5,500,1.65,29.6,427.6,0.187,88.4
39,9.5,500,1.77,29.2,712.3,0.158,139.3
40,9.5,500,1.85,29.4,714.5,0.202,170.9
41,9.5,500,2.35,32.1,1005.2,0.212,265.7
42,9.5,500,1.98,29.3,1007.5,0.247,286.0
43,9.5,500,2.36,29.1,1282.8,0.172,327.0
44,9.5,500,2.55,29.1,1289.2,0.162,328.9
45,9.5,1000,1.82,29.1,424.3,0.355,74.6
46,9.5,1000,1.71,30.3,432.5,0.364,74.5
47,9.5,1000,2.10,31.7,707.6,0.370,130.6
48,9.5,1000,2.70,31.4,1272.8,0.231,193.5
49,9.5,1000,2.69,31.5,1301.1,0.233,198.3
50,12,1000,1.67,29.5,262.6,0.518,78.1
51,12,1000,1.69,29.6,267.3,0.540,82.6
52,12,1000,1.82,31.2,350.4,0.438,90.8
53,12,1000,1.85,31.3,358.8,0.450,95.4
54,12,1000,1.96,33.1,435.2,0.371,98.5
55,12,1000,1.99,33.1,445.2,0.383,103.9
