TestID,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,InletTemperature,InletEnthalpy,HeatFlux,CHFLocation,Shape,Fluid,Source,Continuous,Quality,QualityPosition,WallPower,WallMesh
1,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,42979.3,1356.3,0.1343,328.9,1513796.52,665700,0.991,inlet,water,Swenson,yes,-0.045,0.0,0.522,0.046
2,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,47666.5,1356.3,0.1343,313.9,1418007.48,738300,0.838,inlet,water,Swenson,yes,-0.134,0.0,0.522,0.046
3,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,42779.1,1356.3,0.1343,329.4,1517258.59,662600,0.762,inlet,water,Swenson,yes,-0.042,0.0,0.522,0.046
4,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,41145.7,949.4,0.094,325.7,1492140.53,637300,0.876,inlet,water,Swenson,yes,-0.065,0.0,0.522,0.046
5,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,48273.4,949.4,0.094,310.6,1398485.69,747700,0.876,inlet,water,Swenson,yes,-0.152,0.0,0.522,0.046
6,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,51127.1,949.4,0.094,301.4,1346088.93,791900,0.838,inlet,water,Swenson,yes,-0.2,0.0,0.522,0.046
7,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,56828,949.4,0.094,288.9,1278579.37,880200,0.838,inlet,water,Swenson,yes,-0.263,0.0,0.522,0.046
8,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,64162.3,949.4,0.094,274.1,1202604.38,993800,0.876,inlet,water,Swenson,yes,-0.333,0.0,0.522,0.046
9,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,44812.9,1763.2,0.1746,328.6,1511730.07,694100,0.914,inlet,water,Swenson,yes,-0.047,0.0,0.522,0.046
10,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,54180.9,1763.2,0.1746,315.4,1427030.96,839200,0.914,inlet,water,Swenson,yes,-0.125,0.0,0.522,0.046
