n_test,R2,RMSE,MAE,MAPE_pct,train_seconds,model,split_tag,held_out_source,gpr_train_rows_used,n_test_with_tier1_correction,tier1_families_fitted
257,-142030.32413448757,29819.196413887483,29819.091439688716,20192.377919316288,16.549177169799805,ANN,strategy4_fold=helical_coil_r123,helical_coil_r123,,,
257,-0.5309378610369397,97.89999045383874,81.22544618947347,58.85708051403562,11.927492141723633,RandomForest,strategy4_fold=helical_coil_r123,helical_coil_r123,,,
257,0.24120502676659017,68.92330432755284,49.51273413284539,25.79507578120556,2.1980621814727783,HistGB,strategy4_fold=helical_coil_r123,helical_coil_r123,,,
257,-142030.32413448757,29819.196413887483,29819.091439688716,20192.377919316288,15.182732105255127,PINN,strategy4_fold=helical_coil_r123,helical_coil_r123,,,
257,-0.796708595801972,106.05781863973566,90.91084325181012,48.41663868963616,1.1141679286956787,GPR,strategy4_fold=helical_coil_r123,helical_coil_r123,800.0,,
257,0.24120502676659017,68.92330432755284,49.51273413284539,25.79507578120556,2.6163787841796875,Proposed_Hierarchy,strategy4_fold=helical_coil_r123,helical_coil_r123,,0.0,"pin_fin_pool_boiling,flat_heater_pool_boiling"
888,-0.17757154820918153,2562.6285199842937,2116.6888846459033,165.01452291565988,11.611659049987793,ANN,strategy4_fold=kaeri_nonuniform,kaeri_nonuniform,,,
888,0.23541011680097723,2064.9344834349786,1542.6873037703956,97.0244933230541,11.391165018081665,RandomForest,strategy4_fold=kaeri_nonuniform,kaeri_nonuniform,,,
888,0.3525763666560918,1900.1429626426125,1606.4725645649717,114.71110139795422,2.1979880332946777,HistGB,strategy4_fold=kaeri_nonuniform,kaeri_nonuniform,,,
888,-0.3370826417378334,2730.682006359523,2186.7849559699357,146.7060926706172,16.924014806747437,PINN,strategy4_fold=kaeri_nonuniform,kaeri_nonuniform,,,
888,0.058158212976276547,2291.822510126565,1642.413106861784,104.95463269927382,1.1278338432312012,GPR,strategy4_fold=kaeri_nonuniform,kaeri_nonuniform,800.0,,
888,0.3525763666560918,1900.1429626426125,1606.4725645649717,114.71110139795422,3.398437261581421,Proposed_Hierarchy,strategy4_fold=kaeri_nonuniform,kaeri_nonuniform,,0.0,"pin_fin_pool_boiling,helical_coil,flat_heater_pool_boiling"
651,0.8530553027528722,564.1560309889016,340.4331379587733,21.513600569870334,8.071451187133789,ANN,strategy4_fold=kaeri_uniform,kaeri_uniform,,,
651,0.8216054429451294,621.6029628181178,393.89659643005496,17.491723293012257,11.868536710739136,RandomForest,strategy4_fold=kaeri_uniform,kaeri_uniform,,,
651,0.812850945959194,636.6725036866231,424.3717778700319,18.32000429803296,2.1924867630004883,HistGB,strategy4_fold=kaeri_uniform,kaeri_uniform,,,
651,0.7618088363637932,718.265652695243,433.653070734662,33.10492114538491,9.911803245544434,PINN,strategy4_fold=kaeri_uniform,kaeri_uniform,,,
651,0.8812562147507915,507.1398297717509,354.2684566863266,20.515425637355893,0.9862570762634277,GPR,strategy4_fold=kaeri_uniform,kaeri_uniform,800.0,,
651,0.812850945959194,636.6725036866231,424.3717778700319,18.32000429803296,2.674849033355713,Proposed_Hierarchy,strategy4_fold=kaeri_uniform,kaeri_uniform,,0.0,"pin_fin_pool_boiling,helical_coil,flat_heater_pool_boiling"
55,-57.15130904797398,11653.279859775836,9445.500742709693,670.2674483109545,8.052525043487549,ANN,strategy4_fold=mentor_master,mentor_master,,,
55,-0.6798667938297704,1980.6413942035413,1438.8054584735219,43.93163429331919,11.734813928604126,RandomForest,strategy4_fold=mentor_master,mentor_master,,,
55,0.026540649710094177,1507.7430632793719,1136.5917835263303,41.853990929686674,2.1529579162597656,HistGB,strategy4_fold=mentor_master,mentor_master,,,
55,-167.5471070522579,19839.424952204336,15410.911994649332,534.4120705799976,14.628748893737793,PINN,strategy4_fold=mentor_master,mentor_master,,,
55,-2.9453800360099986,3035.378474095295,2622.6425200106796,99.95093097734345,0.9855070114135742,GPR,strategy4_fold=mentor_master,mentor_master,800.0,,
55,0.026540649710094177,1507.7430632793719,1136.5917835263303,41.853990929686674,2.66325306892395,Proposed_Hierarchy,strategy4_fold=mentor_master,mentor_master,,0.0,"pin_fin_pool_boiling,helical_coil"
24579,0.7842218322879377,739.3390556365822,503.6379545043362,31.899406750379118,1.8341889381408691,ANN,strategy4_fold=nrc_groeneveld_24579pt,nrc_groeneveld_24579pt,,,
24579,0.11010694373583807,1501.442852938355,548.0923629631686,74.8087039910215,1.2873749732971191,RandomForest,strategy4_fold=nrc_groeneveld_24579pt,nrc_groeneveld_24579pt,,,
24579,0.806401798346313,700.3103700940277,488.5959226368658,32.59009373845517,1.3470189571380615,HistGB,strategy4_fold=nrc_groeneveld_24579pt,nrc_groeneveld_24579pt,,,
24579,0.4793402363959094,1148.4627310293024,673.6115934306214,38.75120290478718,2.4412930011749268,PINN,strategy4_fold=nrc_groeneveld_24579pt,nrc_groeneveld_24579pt,,,
24579,0.5504516275623501,1067.1564970691363,687.4855793595983,74.65562041271141,0.938676118850708,GPR,strategy4_fold=nrc_groeneveld_24579pt,nrc_groeneveld_24579pt,800.0,,
24579,0.806401798346313,700.3103700940277,488.5959226368658,32.59009373845517,1.655479907989502,Proposed_Hierarchy,strategy4_fold=nrc_groeneveld_24579pt,nrc_groeneveld_24579pt,,0.0,"pin_fin_pool_boiling,helical_coil,flat_heater_pool_boiling"
175,-592.5402397012126,11058.092695990099,5171.697920136201,600.224289694197,13.103049993515015,ANN,strategy4_fold=pinfin_chf_water_fc72,pinfin_chf_water_fc72,,,
175,-0.18591389394123925,494.2898822659561,451.59277529997536,90.42857577891917,11.263384103775024,RandomForest,strategy4_fold=pinfin_chf_water_fc72,pinfin_chf_water_fc72,,,
175,-0.036009847833746056,461.994796517457,426.11159632308414,89.58281013195605,1.8070521354675293,HistGB,strategy4_fold=pinfin_chf_water_fc72,pinfin_chf_water_fc72,,,
175,-1.0705965812050464,653.1348967618524,501.97016472348776,79.9421037235765,14.142762899398804,PINN,strategy4_fold=pinfin_chf_water_fc72,pinfin_chf_water_fc72,,,
175,-1.69411312967729,745.0116370881409,590.9810505057544,99.99045881144714,0.9235830307006836,GPR,strategy4_fold=pinfin_chf_water_fc72,pinfin_chf_water_fc72,800.0,,
