row_id,fold
nrc_groeneveld_24579pt__0,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__1,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__2,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__3,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__4,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__5,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__6,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__7,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__8,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__9,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__10,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__11,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__12,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__13,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__14,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__15,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__16,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__17,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__18,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__19,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__20,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__21,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__22,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__23,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__24,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__25,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__26,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__27,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__28,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__29,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__30,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__31,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__32,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__33,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__34,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__35,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__36,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__37,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__38,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__39,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__40,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__41,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__42,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__43,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__44,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__45,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__46,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__47,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__48,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__49,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__50,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__51,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__52,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__53,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__54,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__55,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__56,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__57,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__58,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__59,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__60,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__61,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__62,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__63,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__64,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__65,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__66,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__67,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__68,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__69,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__70,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__71,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__72,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__73,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__74,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__75,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__76,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__77,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__78,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__79,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__80,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__81,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__82,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__83,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__84,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__85,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__86,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__87,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__88,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__89,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__90,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__91,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__92,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__93,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__94,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__95,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__96,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__97,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__98,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__99,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__100,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__101,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__102,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__103,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__104,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__105,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__106,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__107,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__108,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__109,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__110,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__111,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__112,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__113,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__114,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__115,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__116,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__117,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__118,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__119,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__120,nrc_groeneveld_24579pt
nrc_groeneveld_24579pt__121,nrc_groeneveld_24579pt
